Season,Team,Cmp,G,W,L,T,W-L%,Pts,PtsO,PtDif,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C
2006,Michigan,206,13,11,2,0,.846,380,207,173,206,331,125,62.2,2538,22,8,6.6,2.4,143.7,7.7,7.91,12.3
2001,Purdue,206,11,6,6,0,.500,223,245,-22,206,402,196,51.2,2246,11,13,2.7,3.2,100.7,5.6,4.68,10.9
2022,Nebraska,205,12,4,8,0,.333,271,331,-60,205,340,135,60.3,2650,17,13,5.0,3.8,134.6,7.8,7.07,12.9
2017,Wisconsin,204,14,13,1,0,.929,473,195,278,204,325,121,62.8,2689,25,15,7.7,4.6,148.4,8.3,7.74,13.2
2015,Ohio State,203,13,12,1,0,.923,464,196,268,203,324,121,62.7,2454,19,9,5.9,2.8,140.1,7.6,7.50,12.1
2016,Wisconsin,202,14,11,3,0,.786,397,218,179,202,323,121,62.5,2507,14,10,4.3,3.1,135.8,7.8,7.24,12.4
2015,Rutgers,202,12,4,8,0,.333,325,419,-94,202,336,134,60.1,2485,19,12,5.7,3.6,133.8,7.4,6.92,12.3
2010,Wisconsin,202,13,11,2,0,.846,539,267,272,202,276,74,73.2,2593,17,6,6.2,2.2,168.1,9.4,9.65,12.8
2000,Northwestern,202,11,8,4,0,.667,424,334,90,202,346,144,58.4,2402,19,7,5.5,2.0,130.8,6.9,7.13,11.9
2016,Nebraska,201,13,9,4,0,.692,345,311,34,201,400,199,50.3,2752,18,9,4.5,2.3,118.4,6.9,6.77,13.7
2004,Illinois,201,11,3,8,0,.273,240,323,-83,201,354,153,56.8,2032,13,8,3.7,2.3,112.6,5.7,5.46,10.1
2005,Wisconsin,200,13,10,3,0,.769,446,309,137,200,337,137,59.3,2969,22,9,6.5,2.7,149.6,8.8,8.91,14.8
2021,Indiana,199,12,2,10,0,.167,207,399,-192,199,390,191,51.0,2106,9,15,2.3,3.8,96.3,5.4,4.13,10.6
2017,Iowa,199,13,8,5,0,.615,367,259,108,199,355,156,56.1,2468,27,6,7.6,1.7,136.2,7.0,7.71,12.4
2014,Rutgers,199,13,8,5,0,.615,347,392,-45,199,357,158,55.7,2956,22,13,6.2,3.6,138.3,8.3,7.87,14.9
2009,Minnesota,199,13,6,7,0,.462,272,309,-37,199,385,186,51.7,2691,15,16,3.9,4.2,114.9,7.0,5.90,13.5
2007,Iowa,199,12,6,6,0,.500,222,225,-3,199,376,177,52.9,2281,17,7,4.5,1.9,115.1,6.1,6.13,11.5
2007,Wisconsin,199,13,9,4,0,.692,383,301,82,199,347,148,57.3,2704,17,11,4.9,3.2,132.6,7.8,7.35,13.6
2020,Rutgers,198,9,3,6,0,.333,240,289,-49,198,316,118,62.7,1789,14,9,4.4,2.8,119.1,5.7,5.27,9.0
2019,Illinois,198,13,6,7,0,.462,347,340,7,198,365,167,54.2,2409,19,9,5.2,2.5,121.9,6.6,6.53,12.2
2003,Penn State,198,12,3,9,0,.250,233,255,-22,198,396,198,50.0,2296,11,10,2.8,2.5,102.8,5.8,5.22,11.6
2002,Penn State,198,13,9,4,0,.692,446,227,219,198,351,153,56.4,2536,17,11,4.8,3.1,126.8,7.2,6.78,12.8
2010,Purdue,197,12,4,8,0,.333,236,345,-109,197,354,157,55.6,1809,13,17,3.7,4.8,101.1,5.1,3.68,9.2
2016,Maryland,196,13,6,7,0,.462,335,384,-49,196,342,146,57.3,2317,15,9,4.4,2.6,123.4,6.8,6.47,11.8
2005,Ohio State,196,12,10,2,0,.833,392,183,209,196,302,106,64.9,2708,18,5,6.0,1.7,156.6,9.0,9.41,13.8
2006,Wisconsin,195,13,12,1,0,.923,380,157,223,195,331,136,58.9,2749,21,9,6.3,2.7,144.2,8.3,8.35,14.1
2001,Michigan,195,11,8,4,0,.667,303,192,111,195,364,169,53.6,2355,18,13,4.9,3.6,117.1,6.5,5.85,12.1
2019,Nebraska,194,12,5,7,0,.417,336,333,3,194,323,129,60.1,2551,12,9,3.7,2.8,133.1,7.9,7.39,13.1
2008,Indiana,193,12,3,9,0,.250,246,423,-177,193,358,165,53.9,2175,11,11,3.1,3.1,108.9,6.1,5.31,11.3
2022,Iowa,192,13,8,5,0,.615,230,173,57,192,349,157,55.0,2037,7,7,2.0,2.0,106.6,5.8,5.34,10.6
2001,Iowa,191,11,7,5,0,.583,372,242,130,191,297,106,64.3,2457,20,13,6.7,4.4,147.3,8.3,7.65,12.9
2024,Michigan,190,13,8,5,0,.615,286,259,27,190,308,118,61.7,1678,12,13,3.9,4.2,111.9,5.4,4.33,8.8
2018,Minnesota,190,13,7,6,0,.538,376,345,31,190,346,156,54.9,2714,20,14,5.8,4.0,131.8,7.8,7.18,14.3
2014,Nebraska,190,12,9,4,0,.692,491,343,148,190,359,169,52.9,2757,24,12,6.7,3.3,132.8,7.7,7.51,14.5
2024,Purdue,189,12,1,11,0,.083,189,479,-290,189,329,140,57.4,2207,13,9,4.0,2.7,121.4,6.7,6.27,11.7
2014,Michigan,189,12,5,7,0,.417,251,269,-18,189,326,137,58.0,2042,10,18,3.1,5.5,109.7,6.3,4.39,10.8
2009,Michigan,189,12,5,7,0,.417,354,330,24,189,329,140,57.4,2380,15,15,4.6,4.6,124.1,7.2,6.09,12.6
2022,Wisconsin,188,13,7,6,0,.538,342,263,79,188,326,138,57.7,2390,21,11,6.4,3.4,133.8,7.3,7.10,12.7
2006,Northwestern,188,12,4,8,0,.333,198,314,-116,188,332,144,56.6,2028,8,17,2.4,5.1,105.6,6.1,4.29,10.8
2008,Iowa,187,13,9,4,0,.692,394,169,225,187,320,133,58.4,2362,16,11,5.0,3.4,130.1,7.4,6.83,12.6
2000,Minnesota,186,11,6,6,0,.500,345,280,65,186,322,136,57.8,2584,20,8,6.2,2.5,140.7,8.0,8.15,13.9
2020,Penn State,185,9,4,5,0,.444,268,249,19,185,307,122,60.3,2304,17,9,5.5,2.9,135.7,7.5,7.29,12.5
2017,Michigan,185,13,8,5,0,.615,328,245,83,185,346,161,53.5,2226,9,10,2.6,2.9,110.3,6.4,5.65,12.0
2005,Minnesota,185,12,7,5,0,.583,429,348,81,185,323,138,57.3,2660,20,10,6.2,3.1,140.7,8.2,8.08,14.4
2009,Illinois,184,12,3,9,0,.250,290,362,-72,184,331,147,55.6,2317,15,12,4.5,3.6,122.1,7.0,6.27,12.6
2003,Wisconsin,184,13,7,6,0,.538,355,306,49,184,332,148,55.4,2833,18,13,5.4,3.9,137.2,8.5,7.86,15.4
2016,Illinois,183,12,3,9,0,.250,236,383,-147,183,358,175,51.1,2095,13,9,3.6,2.5,107.2,5.9,5.45,11.4
2015,Maryland,183,12,3,9,0,.250,296,413,-117,183,388,205,47.2,2092,15,29,3.9,7.5,90.3,5.4,2.80,11.4
2000,Penn State,183,12,5,7,0,.417,264,293,-29,183,355,172,51.5,2201,15,9,4.2,2.5,112.5,6.2,5.90,12.0
2007,Illinois,182,13,9,4,0,.692,362,283,79,182,323,141,56.3,2187,15,15,4.6,4.6,119.3,6.8,5.61,12.0
2004,Penn State,182,11,4,7,0,.364,195,168,27,182,353,171,51.6,1989,10,19,2.8,5.4,97.5,5.6,3.78,10.9
2002,Iowa,182,13,11,2,0,.846,484,256,228,182,314,132,58.0,2734,27,5,8.6,1.6,156.3,8.7,9.71,15.0
2001,Penn State,182,11,5,6,0,.455,248,281,-33,182,361,179,50.4,2487,13,18,3.6,5.0,110.2,6.9,5.37,13.7
2016,Minnesota,181,13,9,4,0,.692,381,287,94,181,328,147,55.2,2257,9,12,2.7,3.7,114.7,6.9,5.78,12.5
2011,Penn State,181,13,9,4,0,.692,251,218,33,181,376,195,48.1,2301,10,12,2.7,3.2,101.9,6.1,5.22,12.7
2008,Wisconsin,180,13,7,6,0,.538,357,345,12,180,333,153,54.1,2445,11,11,3.3,3.3,120.0,7.3,6.52,13.6
2018,Wisconsin,179,13,8,5,0,.615,386,294,92,179,304,125,58.9,2050,19,14,6.3,4.6,126.9,6.7,5.92,11.5
2003,Northwestern,178,13,6,7,0,.462,263,326,-63,178,335,157,53.1,2121,4,13,1.2,3.9,102.5,6.3,4.82,11.9
2021,Wisconsin,177,13,9,4,0,.692,330,210,120,177,300,123,59.0,2082,11,13,3.7,4.3,120.7,6.9,5.72,11.8
2018,Illinois,177,12,4,8,0,.333,312,473,-161,177,328,151,54.0,1988,10,14,3.0,4.3,106.4,6.1,4.75,11.2
2014,Wisconsin,177,14,11,3,0,.786,484,291,193,177,322,145,55.0,2082,15,16,4.7,5.0,114.7,6.5,5.16,11.8
2020,Purdue,176,6,2,4,0,.333,163,179,-16,176,261,85,67.4,1854,15,4,5.7,1.5,143.0,7.1,7.56,10.5
2003,Minnesota,176,13,10,3,0,.769,503,285,218,176,287,111,61.3,2671,18,7,6.3,2.4,155.3,9.3,9.46,15.2
2017,Maryland,175,12,4,8,0,.333,289,445,-156,175,318,143,55.0,1940,15,8,4.7,2.5,116.8,6.1,5.91,11.1
2016,Iowa,175,13,8,5,0,.615,324,245,79,175,310,135,56.5,1991,17,10,5.5,3.2,122.0,6.4,6.07,11.4
2012,Minnesota,175,13,6,7,0,.462,287,321,-34,175,330,155,53.0,2203,19,15,5.8,4.5,119.0,6.7,5.78,12.6
2005,Penn State,175,12,11,1,0,.917,413,204,209,175,331,156,52.9,2505,18,10,5.4,3.0,128.3,7.6,7.30,14.3
2000,Michigan,175,11,9,3,0,.750,373,201,172,175,300,125,58.3,2478,24,5,8.0,1.7,150.8,8.3,9.11,14.2
2020,Northwestern,174,9,7,2,0,.778,222,143,79,174,284,110,61.3,1781,12,8,4.2,2.8,122.3,6.3,5.85,10.2
2015,Northwestern,174,13,10,3,0,.769,254,242,12,174,352,178,49.4,1801,8,13,2.3,3.7,92.5,5.1,3.91,10.4
2009,Ohio State,174,13,11,2,0,.846,377,163,214,174,316,142,55.1,2257,19,11,6.0,3.5,127.9,7.1,6.78,13.0
2003,Indiana,174,12,2,10,0,.167,177,388,-211,174,330,156,52.7,1998,4,9,1.2,2.7,102.1,6.1,5.07,11.5
2002,Minnesota,174,13,8,5,0,.615,376,319,57,174,333,159,52.3,2384,21,11,6.3,3.3,126.6,7.2,6.93,13.7
2002,Ohio State,173,14,14,0,0,1.000,410,183,227,173,280,107,61.8,2425,14,7,5.0,2.5,146.0,8.7,8.54,14.0
2000,Michigan State,173,11,5,6,0,.455,197,233,-36,173,320,147,54.1,2161,10,16,3.1,5.0,111.1,6.8,5.13,12.5
2022,Minnesota,172,13,9,4,0,.692,367,180,187,172,281,109,61.2,2369,12,9,4.3,3.2,139.7,8.4,7.84,13.8
2019,Maryland,172,12,3,9,0,.250,303,416,-113,172,342,170,50.3,2088,16,12,4.7,3.5,110.0,6.1,5.46,12.1
2018,Rutgers,171,12,1,11,0,.083,162,377,-215,171,350,179,48.9,1586,5,22,1.4,6.3,79.1,4.5,1.99,9.3
2004,Wisconsin,171,12,9,3,0,.750,249,185,64,171,325,154,52.6,2006,9,7,2.8,2.2,109.3,6.2,5.76,11.7
2003,Iowa,171,13,10,3,0,.769,373,210,163,171,321,150,53.3,2095,19,10,5.9,3.1,121.4,6.5,6.31,12.3
2002,Wisconsin,171,14,8,6,0,.571,372,322,50,171,322,151,53.1,2303,15,8,4.7,2.5,123.6,7.2,6.97,13.5
2023,Iowa,170,14,10,4,0,.714,216,207,9,170,348,178,48.9,1661,9,11,2.6,3.2,91.2,4.8,3.87,9.8
2012,Wisconsin,170,14,8,6,0,.571,414,268,146,170,291,121,58.4,2197,15,6,5.2,2.1,134.7,7.5,7.65,12.9
2001,Minnesota,170,11,4,7,0,.364,308,299,9,170,311,141,54.7,2250,19,11,6.1,3.5,128.5,7.2,6.86,13.2
2012,Michigan,169,13,8,5,0,.615,388,258,130,169,318,149,53.1,2591,20,19,6.3,6.0,130.4,8.1,6.72,15.3
2022,Rutgers,168,12,4,8,0,.333,209,351,-142,168,332,164,50.6,1847,11,14,3.3,4.2,99.8,5.6,4.33,11.0
2020,Indiana,168,8,6,2,0,.750,231,162,69,168,292,124,57.5,2007,16,5,5.5,1.7,129.9,6.9,7.20,11.9
2017,Illinois,168,12,2,10,0,.167,185,378,-193,168,339,171,49.6,2098,8,19,2.4,5.6,98.1,6.2,4.14,12.5
2014,Indiana,168,12,4,8,0,.333,301,394,-93,168,313,145,53.7,1697,7,9,2.2,2.9,100.8,5.4,4.58,10.1
2004,Ohio State,166,12,8,4,0,.667,290,219,71,166,310,144,53.5,2105,14,9,4.5,2.9,119.7,6.8,6.39,12.7
2001,Wisconsin,166,12,5,7,0,.417,313,346,-33,166,329,163,50.5,2556,17,13,5.2,4.0,124.9,7.8,7.02,15.4
2021,Illinois,165,12,5,7,0,.417,242,263,-21,165,322,157,51.2,1874,13,6,4.0,1.9,109.7,5.8,5.79,11.4
2010,Illinois,165,13,7,6,0,.538,423,305,118,165,284,119,58.1,1963,18,12,6.3,4.2,128.6,6.9,6.28,11.9
2008,Michigan,165,12,3,9,0,.250,243,347,-104,165,338,173,48.8,1718,11,12,3.3,3.6,95.2,5.1,4.14,10.4
2023,Minnesota,164,13,6,7,0,.462,272,347,-75,164,312,148,52.6,1864,16,11,5.1,3.5,112.6,6.0,5.41,11.4
2011,Nebraska,164,13,9,4,0,.692,379,304,75,164,293,129,56.0,2115,13,8,4.4,2.7,125.8,7.2,6.88,12.9
2024,Iowa,163,13,8,5,0,.615,360,232,128,163,260,97,62.7,1711,10,8,3.8,3.1,124.5,6.6,5.97,10.5
2004,Indiana,162,11,3,8,0,.273,262,343,-81,162,293,131,55.3,2049,13,9,4.4,3.1,122.5,7.0,6.50,12.6
2012,Ohio State,161,12,12,0,0,1.000,446,274,172,161,278,117,57.9,2178,17,7,6.1,2.5,138.9,7.8,7.92,13.5
2008,Ohio State,160,13,10,3,0,.769,359,181,178,160,267,107,59.9,1953,17,6,6.4,2.2,137.9,7.3,7.58,12.2
2016,Rutgers,159,12,2,10,0,.167,188,450,-262,159,332,173,47.9,1659,11,7,3.3,2.1,96.6,5.0,4.71,10.4
2020,Ohio State,158,8,7,1,0,.875,328,206,122,158,225,67,70.2,2100,22,6,9.8,2.7,175.6,9.3,10.09,13.3
2000,Ohio State,158,11,8,4,0,.667,324,198,126,158,305,147,51.8,2292,14,12,4.6,3.9,122.2,7.5,6.66,14.5
2020,Nebraska,156,8,3,5,0,.375,185,235,-50,156,229,73,68.1,1521,5,9,2.2,3.9,123.3,6.6,5.31,9.8
2019,Northwestern,156,12,3,9,0,.250,196,283,-87,156,312,156,50.0,1404,6,15,1.9,4.8,84.5,4.5,2.72,9.0
2011,Michigan,155,13,11,2,0,.846,433,226,207,155,284,129,54.6,2377,22,16,7.7,5.6,139.2,8.4,7.38,15.3
2019,Rutgers,154,12,2,10,0,.167,159,440,-281,154,278,124,55.4,1672,7,15,2.5,5.4,103.4,6.0,4.09,10.9
2021,Minnesota,152,13,9,4,0,.692,331,225,106,152,257,105,59.1,2106,12,9,4.7,3.5,136.4,8.2,7.55,13.9
2000,Wisconsin,147,12,9,4,0,.692,307,245,62,147,263,116,55.9,1977,14,9,5.3,3.4,129.8,7.5,7.04,13.4
2023,Rutgers,142,13,7,6,0,.538,302,276,26,142,294,152,48.3,1788,10,8,3.4,2.7,105.2,6.1,5.54,12.6
2020,Iowa,141,8,6,2,0,.750,254,128,126,141,248,107,56.9,1581,9,5,3.6,2.0,118.3,6.4,6.19,11.2
2000,Indiana,141,11,3,8,0,.273,337,427,-90,141,298,157,47.3,1900,11,15,3.7,5.0,103.0,6.4,4.85,13.5
2006,Illinois,140,12,2,10,0,.167,235,321,-86,140,332,192,42.2,1878,11,14,3.3,4.2,92.2,5.7,4.42,13.4
2013,Minnesota,137,12,8,5,0,.615,334,289,45,137,267,130,51.3,1925,12,7,4.5,2.6,121.5,7.2,6.93,14.1
2001,Indiana,137,11,5,6,0,.455,305,298,7,137,264,127,51.9,1824,10,5,3.8,1.9,118.6,6.9,6.81,13.3
2023,Nebraska,136,12,5,7,0,.417,216,219,-3,136,261,125,52.1,1631,10,16,3.8,6.1,105.0,6.2,4.26,12.0
2017,Rutgers,135,12,4,8,0,.333,216,340,-124,135,275,140,49.1,1387,7,11,2.5,4.0,91.9,5.0,3.75,10.3
2011,Minnesota,134,12,3,9,0,.250,221,380,-159,134,274,140,48.9,1804,10,10,3.6,3.6,109.0,6.6,5.67,13.5
2020,Michigan State,132,7,2,5,0,.286,126,246,-120,132,242,110,54.5,1672,11,12,4.5,5.0,117.7,6.9,5.59,12.7
2004,Minnesota,128,12,7,5,0,.583,361,273,88,128,269,141,47.6,2178,17,9,6.3,3.3,129.8,8.1,7.86,17.0
2014,Minnesota,127,13,8,5,0,.615,369,314,55,127,254,127,50.0,1844,12,9,4.7,3.5,119.5,7.3,6.61,14.5
2001,Ohio State,126,11,7,5,0,.583,284,213,71,126,249,123,50.6,1966,10,10,4.0,4.0,122.1,7.9,6.89,15.6
2018,Maryland,125,12,5,7,0,.417,342,344,-2,125,241,116,51.9,1695,12,5,5.0,2.1,123.2,7.0,7.10,13.6
2011,Ohio State,125,13,6,7,0,.462,318,273,45,125,245,120,51.0,1651,18,5,7.3,2.0,127.8,6.7,7.29,13.2
2020,Wisconsin,124,7,4,3,0,.571,176,122,54,124,202,78,61.4,1267,10,7,5.0,3.5,123.5,6.3,5.70,10.2
2020,Michigan,123,6,2,4,0,.333,170,207,-37,123,213,90,57.7,1502,9,4,4.2,1.9,127.2,7.1,7.05,12.2
2017,Minnesota,110,12,5,7,0,.417,265,274,-9,110,233,123,47.2,1513,9,11,3.9,4.7,105.1,6.5,5.14,13.8
2020,Minnesota,107,7,3,4,0,.429,191,211,-20,107,184,77,58.2,1394,7,5,3.8,2.7,128.9,7.6,7.11,13.0
2020,Maryland,98,5,2,3,0,.400,118,160,-42,98,159,61,61.6,1320,9,9,5.7,5.7,138.7,8.3,6.89,13.5
2020,Illinois,91,8,2,6,0,.250,161,279,-118,91,194,103,46.9,1223,10,4,5.2,2.1,112.7,6.3,6.41,13.4
2007,Texas Tech,544,13,9,4,0,.692,532,337,195,544,763,219,71.3,6114,51,15,6.7,2.0,156.7,8.0,8.47,11.2
2002,Texas Tech,515,14,9,5,0,.643,537,439,98,515,770,255,66.9,5444,50,15,6.5,1.9,143.8,7.1,7.49,10.6
2003,Texas Tech,506,13,8,5,0,.615,552,442,110,506,780,274,64.9,6179,53,23,6.8,2.9,147.9,7.9,7.95,12.2
2008,Texas Tech,465,13,11,2,0,.846,569,362,207,465,662,197,70.2,5371,47,10,7.1,1.5,158.8,8.1,8.85,11.6
2013,Texas Tech,453,13,8,5,0,.615,465,397,68,453,714,261,63.4,5107,35,18,4.9,2.5,134.7,7.2,7.00,11.3
2009,Texas Tech,448,13,9,4,0,.692,481,292,189,448,669,221,67.0,5028,38,17,5.7,2.5,143.8,7.5,7.51,11.2
2006,Texas Tech,438,13,8,5,0,.615,422,326,96,438,655,217,66.9,4803,39,11,6.0,1.7,144.8,7.3,7.77,11.0
2016,Texas Tech,428,12,5,7,0,.417,524,522,2,428,653,225,65.5,5556,47,11,7.2,1.7,157.4,8.5,9.19,13.0
2011,Oklahoma State,428,13,12,1,0,.923,633,348,285,428,595,167,71.9,5034,40,13,6.7,2.2,160.8,8.5,8.82,11.8
2004,Texas Tech,426,12,8,4,0,.667,434,314,120,426,651,225,65.4,4796,34,18,5.2,2.8,139.0,7.4,7.17,11.3
2012,Texas Tech,418,13,8,5,0,.615,487,413,74,418,594,176,70.4,4627,44,16,7.4,2.7,154.9,7.8,8.06,11.1
2010,Oklahoma,414,14,12,2,0,.857,521,305,216,414,633,219,65.4,4807,38,12,6.0,1.9,145.2,7.6,7.94,11.6
2011,Texas Tech,409,12,5,7,0,.417,406,471,-65,409,600,191,68.2,4145,31,10,5.2,1.7,139.9,6.9,7.19,10.1
2010,Texas Tech,406,13,8,5,0,.615,430,402,28,406,617,211,65.8,4146,39,11,6.3,1.8,139.5,6.7,7.18,10.2
2008,Missouri,404,14,10,4,0,.714,591,381,210,404,565,161,71.5,4625,41,18,7.3,3.2,157.8,8.2,8.20,11.4
2007,Missouri,394,14,12,2,0,.857,558,326,232,394,582,188,67.7,4397,34,13,5.8,2.2,146.0,7.6,7.72,11.2
2005,Texas Tech,391,12,9,3,0,.750,473,226,247,391,588,197,66.5,4666,34,12,5.8,2.0,148.2,7.9,8.17,11.9
2001,Texas Tech,391,11,7,5,0,.583,386,262,124,391,570,179,68.6,3710,27,11,4.7,1.9,135.0,6.5,6.59,9.5
2015,Texas Tech,389,13,7,6,0,.538,586,567,19,389,620,231,62.7,5046,39,15,6.3,2.4,147.0,8.1,8.31,13.0
2012,West Virginia,378,13,7,6,0,.538,513,495,18,378,537,159,70.4,4292,44,7,8.2,1.3,162.0,8.0,9.04,11.4
2012,Oklahoma,376,13,10,3,0,.769,496,331,165,376,571,195,65.8,4374,30,11,5.3,1.9,143.7,7.7,7.84,11.6
2000,Texas Tech,373,12,7,6,0,.538,303,238,65,373,614,241,60.7,3554,21,18,3.4,2.9,114.8,5.8,5.15,9.5
2011,Oklahoma,365,13,10,3,0,.769,514,287,227,365,583,218,62.6,4542,29,16,5.0,2.7,139.0,7.8,7.55,12.4
2009,Texas,362,14,13,1,0,.929,550,234,316,362,540,178,67.0,3831,29,16,5.4,3.0,138.4,7.1,6.84,10.6
2018,Texas Tech,361,12,5,7,0,.417,448,373,75,361,535,174,67.5,4231,28,15,5.2,2.8,145.6,7.9,7.69,11.7
2010,Oklahoma State,357,13,11,2,0,.846,575,343,232,357,532,175,67.1,4496,36,14,6.8,2.6,155.2,8.5,8.62,12.6
2024,Colorado,353,13,9,4,0,.692,428,300,128,353,482,129,73.2,4134,37,10,7.7,2.1,166.5,8.6,9.18,11.7
2017,Texas Tech,353,13,6,7,0,.462,446,419,27,353,541,188,65.2,4338,35,12,6.5,2.2,149.5,8.0,8.31,12.3
2008,Oklahoma,350,14,12,2,0,.857,716,343,373,350,517,167,67.7,4891,51,9,9.9,1.7,176.2,9.5,10.65,14.0
2022,Texas Tech,348,13,8,5,0,.615,445,379,66,348,569,221,61.2,3932,26,18,4.6,3.2,128.0,6.9,6.40,11.3
2023,Oklahoma State,344,14,10,4,0,.714,414,400,14,344,570,226,60.4,3871,18,16,3.2,2.8,122.2,6.8,6.16,11.3
2008,Texas,343,13,12,1,0,.923,551,244,307,343,447,104,76.7,4008,36,8,8.1,1.8,175.0,9.0,9.77,11.7
2019,Texas Tech,342,12,4,8,0,.333,366,364,2,342,531,189,64.4,3896,24,8,4.5,1.5,137.9,7.3,7.56,11.4
2014,West Virginia,340,13,7,6,0,.538,435,359,76,340,534,194,63.7,4121,26,10,4.9,1.9,140.8,7.7,7.85,12.1
2024,Texas Tech,336,13,8,5,0,.615,489,453,36,336,536,200,62.7,3857,31,11,5.8,2.1,138.1,7.2,7.43,11.5
2008,Kansas,333,13,8,5,0,.615,434,375,59,333,500,167,66.6,3973,33,13,6.6,2.6,149.9,7.9,8.10,11.9
2014,Texas Tech,332,12,4,8,0,.333,366,495,-129,332,559,227,59.4,4213,40,18,7.2,3.2,139.9,7.5,7.52,12.7
2011,Texas A&M,331,13,7,6,0,.538,508,366,142,331,537,206,61.6,3784,29,15,5.4,2.8,133.1,7.0,6.87,11.4
2024,Texas Christian,326,13,9,4,0,.692,435,320,115,326,488,162,66.8,4068,29,11,5.9,2.3,151.9,8.3,8.51,12.5
2017,Oklahoma State,325,13,10,3,0,.769,585,382,203,325,503,178,64.6,5059,37,10,7.4,2.0,169.4,10.1,10.63,15.6
2015,Oklahoma State,325,13,10,3,0,.769,514,396,118,325,517,192,62.9,4591,35,10,6.8,1.9,155.9,8.9,9.36,14.1
2015,Texas Christian,325,13,11,2,0,.846,547,354,193,325,516,191,63.0,4516,39,15,7.6,2.9,155.6,8.8,8.96,13.9
2014,Texas Christian,325,13,12,1,0,.923,604,247,357,325,529,204,61.4,4240,37,11,7.0,2.1,147.7,8.0,8.48,13.0
2014,Baylor,323,13,11,2,0,.846,627,332,295,323,519,196,62.2,4757,38,8,7.3,1.5,160.3,9.2,9.94,14.7
2007,Kansas State,322,12,5,7,0,.417,422,370,52,322,510,188,63.1,3425,21,12,4.1,2.4,128.4,6.7,6.48,10.6
2009,Kansas,320,12,5,7,0,.417,353,341,12,320,506,186,63.2,3724,22,10,4.3,2.0,135.5,7.4,7.34,11.6
2023,Texas Christian,319,12,5,7,0,.417,376,334,42,319,503,184,63.4,3746,27,15,5.4,3.0,137.7,7.4,7.18,11.7
2023,Texas,317,14,12,2,0,.857,501,265,236,317,475,158,66.7,4047,25,9,5.3,1.9,151.9,8.5,8.72,12.8
2019,Iowa State,315,13,7,6,0,.538,418,337,81,315,483,168,65.2,4047,29,9,6.0,1.9,151.7,8.4,8.74,12.8
2022,Iowa State,313,12,4,8,0,.333,242,243,-1,313,479,166,65.3,3141,19,15,4.0,3.1,127.3,6.6,5.94,10.0
2021,Iowa State,313,13,7,6,0,.538,407,267,140,313,446,133,70.2,3430,22,9,4.9,2.0,147.0,7.7,7.77,11.0
2010,Baylor,313,13,7,6,0,.538,405,396,9,313,471,158,66.5,3649,23,8,4.9,1.7,144.2,7.7,7.96,11.7
2012,Oklahoma State,312,13,8,5,0,.615,594,367,227,312,495,183,63.0,4312,34,16,6.9,3.2,152.4,8.7,8.63,13.8
2010,Missouri,312,13,10,3,0,.769,388,209,179,312,490,178,63.7,3292,17,10,3.5,2.0,127.5,6.7,6.49,10.6
2010,Texas A&M,311,13,9,4,0,.692,406,285,121,311,515,204,60.4,3599,28,15,5.4,2.9,131.2,7.0,6.77,11.6
2023,Oklahoma,310,13,10,3,0,.769,542,305,237,310,453,143,68.4,4223,34,9,7.5,2.0,167.5,9.3,9.93,13.6
2018,Texas,310,14,10,4,0,.714,435,362,73,310,476,166,65.1,3615,28,6,5.9,1.3,145.8,7.6,8.20,11.7
2017,Oklahoma,309,14,12,2,0,.857,632,379,253,309,433,124,71.4,5065,47,6,10.9,1.4,202.7,11.7,13.24,16.4
2007,Baylor,309,12,3,9,0,.250,218,444,-226,309,561,252,55.1,3281,23,27,4.1,4.8,108.1,5.8,4.50,10.6
2011,Baylor,307,13,10,3,0,.769,589,484,105,307,424,117,72.4,4569,40,6,9.4,1.4,191.2,10.8,12.03,14.9
2006,Baylor,307,12,4,8,0,.333,283,391,-108,307,510,203,60.2,3300,24,17,4.7,3.3,123.4,6.5,5.91,10.7
2019,Texas,306,13,8,5,0,.615,458,357,101,306,470,164,65.1,3761,32,10,6.8,2.1,150.5,8.0,8.41,12.3
2009,Texas A&M,302,13,6,7,0,.462,427,436,-9,302,509,207,59.3,3661,30,8,5.9,1.6,136.1,7.2,7.66,12.1
2007,Kansas,302,13,12,1,0,.923,556,213,343,302,476,174,63.4,3783,36,7,7.6,1.5,152.2,7.9,8.80,12.5
2017,Iowa State,300,13,8,5,0,.615,380,272,108,300,477,177,62.9,3548,27,9,5.7,1.9,140.3,7.4,7.72,11.8
2009,Oklahoma,300,13,8,5,0,.615,404,189,215,300,519,219,57.8,3760,28,15,5.4,2.9,130.7,7.2,7.02,12.5
2001,Oklahoma,299,12,11,2,0,.846,387,166,221,299,500,201,59.8,2967,21,16,4.2,3.2,117.1,5.9,5.33,9.9
2017,Texas,298,13,7,6,0,.538,383,276,107,298,497,199,60.0,3365,18,11,3.6,2.2,124.4,6.8,6.50,11.3
2003,Oklahoma,298,14,12,2,0,.857,601,214,387,298,479,181,62.2,4098,43,11,9.0,2.3,159.1,8.6,9.32,13.8
2018,Baylor,296,13,7,6,0,.538,384,412,-28,296,485,189,61.0,3770,22,13,4.5,2.7,135.9,7.8,7.47,12.7
