Rank,Class Rk,Year,Player Name,Tier,WR Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Year,Draft Age,Type,Build,Separator,Height,Weight,BMI,40 Time,Draft Cap,DOM1,DOM2,DOM3,DOM4,DOM5,TDOM,DOM+,Breakout,Y/RR,YAC/R,aDOT,EPA/P,aYPTPA,CTPRR,UCTPRR,Drop%,CC%,Wide %,Slot %,Speed,HaSS
75,8,2021,Amon-Ra St. Brown,Upside,9.94,87.80,0.86,USC,5,10/24/99,25.95,JR,21.53,Hybrid,BALL HOG,Poor Earner,73,202,26.65,4.5,4,0.00%,0.00%,38.46%,28.41%,24.95%,31.70%,30.12%,18.87,2.65,5.40,10.90,0.68,2.03,4%,16%,8.90%,0.0%,37.30%,61.35%,98.52,97.52
76,3,2018,Christian Kirk,Upside,9.89,87.60,0.84,Texas A&M,1,11/18/96,28.88,JR,21.45,Slot,BALL HOG,Elite Earner,71,201,28.03,4.46,2,0.00%,0.00%,30.36%,27.98%,28.14%,29.25%,29.25%,18.79,2.30,6.70,10.20,0.53,2.05,5%,23%,7.80%,0.0%,2.55%,93.70%,101.60,96.46
77,6,2015,Devin Smith,Upside,9.87,87.40,0.82,Ohio State,2,3/3/92,33.59,SR,23.16,Wide,DEEP,N/A,73,197,25.99,4.42,2,0.00%,17.81%,28.37%,23.19%,25.12%,26.75%,26.75%,20.51,3.62,7.00,23.80,0.00,0.00,N/A,N/A,0.00%,0.0%,76.90%,22.30%,103.23,102.18
78,7,2015,Jaelen Strong,Upside,9.84,87.30,0.81,Arizona State,5,1/25/94,31.69,RS JR,21.27,Hybrid,BALL HOG,N/A,74,217,27.86,4.44,3,0.00%,0.00%,0.00%,30.14%,32.77%,32.77%,31.13%,19.61,2.71,5.20,13.90,0.00,0.00,N/A,N/A,8.00%,0.0%,74.70%,25.30%,111.68,112.82
79,6,2019,Deebo Samuel,Upside,9.83,87.10,0.80,South Carolina,1,1/15/96,29.72,SR,23.29,Wide,PROTO Z,Elite Earner,72,216,29.29,4.48,2,0.00%,0.48%,28.26%,8.95%,24.87%,26.56%,26.56%,20.64,2.75,9.50,11.00,0.86,2.66,6%,21%,6.10%,0.0%,81.30%,17.80%,107.24,103.98
80,12,2022,Wan'Dale Robinson,Upside,9.81,86.90,0.79,Kentucky,2,1/15/01,24.72,JR,21.30,Slot,RAT,Elite Earner,71,185,25.80,4.38,2,0.00%,0.00%,17.88%,30.31%,45.48%,45.48%,45.48%,19.65,3.44,5.80,10.40,0.60,3.64,4%,32%,6.30%,0.0%,19.70%,71.85%,100.53,95.45
81,8,2015,Dorial Green-Beckham,Upside,9.78,86.80,0.77,Missouri,1,4/12/93,32.48,JR,22.05,N/A,SLOB,N/A,77,237,28.10,4.49,2,0.00%,0.00%,16.50%,24.94%,0.00%,24.94%,24.94%,20.40,2.50,6.00,0.00,0.00,0.00,N/A,N/A,0.00%,0.0%,0.00%,0.00%,116.63,125.05
82,8,2025,Kyle Williams,Upside,9.77,86.60,0.77,Washington State,5,11/13/02,22.89,RS SR,22.47,Wide,RAT,Elite Separator,71,190,26.50,4.40,3,38.21%,29.68%,27.96%,20.83%,33.32%,35.77%,33.98%,17.82,2.71,8.40,11.50,1.23,0.00,4%,19%,6.70%,0.0%,81.70%,17.75%,101.38,96.26
83,8,2020,Jalen Reagor,Upside,9.76,86.50,0.76,TCU,3,1/2/99,26.75,JR,21.32,Wide,BALL HOG,Poor Separator,71,197,27.48,4.47,1,0.00%,0.00%,16.79%,38.60%,25.00%,31.80%,30.21%,19.67,2.68,6.00,14.90,0.38,2.57,5%,17%,14.00%,0.0%,85.00%,13.95%,98.69,93.70
84,9,2023,Jalin Hyatt,Upside,9.74,86.30,0.75,Tennessee,1,9/25/01,24.02,JR,21.60,Slot,BALL HOG,Elite Separator,72,176,23.87,4.4,3,0.00%,0.00%,13.48%,6.76%,29.89%,29.89%,29.89%,20.93,3.27,8.00,13.60,0.99,3.22,1%,22%,6.90%,0.0%,7.20%,91.75%,93.91,91.05
85,9,2021,Nico Collins,Upside,9.73,86.10,0.75,Michigan,2,3/19/99,26.55,SR,22.13,Hybrid,PROTO X,Poor Separator,76,215,26.08,4.45,3,0.00%,1.21%,22.54%,22.36%,0.00%,22.45%,22.45%,19.47,2.45,6.80,14.80,0.84,1.88,8%,14%,9.80%,0.0%,49.30%,0.70%,109.65,115.59
86,9,2020,Bryan Edwards,Upside,9.71,86.00,0.73,South Carolina,1,11/13/98,26.89,SR,21.46,Wide,SLOB,Elite Earner,75,215,26.87,4.53,3,0.00%,21.29%,28.38%,23.85%,30.60%,30.60%,30.60%,17.81,2.58,7.60,12.20,0.64,2.08,4%,30%,4.10%,0.0%,77.50%,22.35%,102.11,105.25
87,6,2017,Cooper Kupp,Upside,9.70,85.60,0.73,Eastern Washington,11,6/15/93,32.31,SR,23.88,N/A,PROTO Z,N/A,74,194,24.91,4.59,3,0.00%,32.23%,29.11%,42.25%,30.28%,36.27%,21.76%,20.22,4.10,10.90,15.00,0.00,0.00,N/A,N/A,0.00%,0.0%,0.00%,0.00%,87.41,88.31
87,7,2024,Xavier Legette,Upside,9.70,85.60,0.73,South Carolina,1,1/29/01,24.68,RS SR,23.26,Hybrid,PROTO X,Poor Separator,73,221,29.16,4.39,1,3.27%,10.06%,2.85%,4.94%,37.62%,37.62%,37.62%,22.59,3.15,7.30,13.80,0.99,0.99,5%,19%,2.70%,0.0%,63.30%,34.60%,119.00,117.79
89,4,2018,D.J. Chark,Upside Lite,9.68,85.50,0.72,LSU,1,9/23/96,29.03,SR,21.60,Hybrid,DEEP,Poor Separator,76,198,24.10,4.34,3,0.00%,0.00%,0.51%,20.43%,33.04%,33.04%,33.04%,19.95,2.92,5.70,20.30,0.84,2.91,5%,18%,4.80%,0.0%,68.30%,30.90%,111.62,117.36
90,5,2018,Michael Gallup,Upside Lite,9.65,85.30,0.70,Colorado State,7,3/4/96,29.59,SR,22.16,Wide,BALL HOG,Elite Earner,73,205,27.05,4.45,3,0.00%,0.00%,0.00%,39.99%,37.33%,38.66%,29.38%,20.51,4.34,7.70,13.30,0.69,3.52,8%,29%,7.40%,0.0%,87.05%,12.80%,104.55,103.49
91,10,2020,Chase Claypool,Upside Lite,9.61,85.20,0.68,Notre Dame,2,7/7/98,27.24,SR,21.81,Wide,PROTO X,Poor Separator,76,238,28.97,4.42,2,0.00%,2.65%,17.28%,19.09%,31.64%,31.64%,31.64%,21.18,2.26,5.20,13.00,0.66,2.49,6%,18%,9.60%,0.0%,87.65%,12.35%,124.71,131.13
92,10,2021,Dyami Brown,Upside Lite,9.59,85.00,0.66,North Carolina,4,11/1/99,25.92,JR,21.51,Wide,DEEP,Poor Separator,72,185,25.09,4.45,3,0.00%,0.00%,6.31%,27.83%,30.38%,30.38%,28.87%,19.84,3.11,6.30,18.40,0.91,3.33,6%,17%,5.20%,0.0%,98.25%,1.75%,94.35,91.48
93,11,2021,Kadarius Toney,Upside Lite,9.56,84.80,0.65,Florida,1,1/27/99,26.68,SR,22.27,Slot,RAT,Elite Separator,72,193,26.45,4.38,1,0.00%,7.70%,9.37%,4.96%,21.19%,21.19%,21.19%,21.62,2.52,6.60,7.70,0.82,2.30,2%,20%,2.80%,0.0%,9.80%,87.65%,104.88,100.90
94,13,2022,Tyquan Thornton,Upside Lite,9.55,84.70,0.64,Baylor,3,8/7/00,25.16,SR,21.74,Wide,PROTO X,Elite Earner,75,183,22.87,4.28,2,0.00%,9.39%,21.90%,8.01%,33.35%,33.35%,31.68%,19.08,2.68,3.20,15.40,0.81,2.60,5%,23%,4.60%,0.0%,90.45%,9.55%,109.07,112.43
95,8,2024,Ricky Pearsall,Upside Lite,9.54,84.50,0.64,Florida,1,11/28/00,24.85,RS SR,23.43,Slot,DEEP,Poor Earner,73,189,24.94,4.41,1,3.96%,11.07%,22.91%,22.99%,30.95%,30.95%,30.95%,20.77,2.42,5.80,17.00,1.00,1.81,2%,18%,3.00%,0.0%,34.70%,64.30%,99.94,98.92
96,9,2025,Jaylin Noel,Upside Lite,9.52,84.30,0.63,Iowa State,3,9/4/02,23.08,SR,22.66,Slot,RAT,Elite Earner,70,194,27.84,4.39,3,0.00%,7.84%,18.21%,27.89%,33.32%,33.32%,31.66%,20.99,2.62,6.90,12.20,0.96,0.96,5%,21%,4.80%,0.0%,29.65%,68.10%,104.47,97.09
97,8,2026,KC Concepcion,Upside Lite,9.52,84.20,0.62,Texas A&M,1,9/24/04,21.02,JR,21.60,Hybrid,DEEP,Elite Separator,71,187,26.08,4.46,2,0.00%,0.00%,33.52%,16.46%,23.40%,28.46%,28.46%,18.95,2.64,7.30,16.90,0.00,0.00,2%,23%,11.70%,0.0%,62.20%,36.70%,94.52,89.74
98,12,2021,Anthony Schwartz,Upside Lite,9.52,84.00,0.62,Auburn,1,9/5/00,25.08,JR,20.66,Hybrid,RAT,Elite Separator,72,179,24.28,4.27,3,0.00%,0.00%,12.34%,16.31%,26.25%,26.25%,26.25%,20.01,2.78,9.00,8.60,0.72,2.04,1%,30%,10.00%,0.0%,52.80%,46.30%,107.69,104.41
99,7,2019,Andy Isabella,Upside Lite,9.52,83.90,0.62,UMass,11,11/18/96,28.88,SR,22.45,Hybrid,RAT,Elite Earner,69,187,27.61,4.31,2,0.00%,0.00%,26.01%,28.57%,47.47%,47.47%,28.48%,19.80,4.15,7.30,12.60,0.58,4.13,6%,30%,5.60%,0.0%,60.05%,38.50%,108.38,98.58
100,5,2016,Sterling Shepard,Upside Lite,9.51,83.70,0.62,Oklahoma,3,2/10/93,32.65,SR,23.22,Hybrid,DEEP,N/A,70,194,27.84,4.48,2,0.00%,14.20%,25.24%,39.72%,32.18%,35.95%,34.15%,20.57,3.85,6.70,16.40,0.00,0.00,N/A,N/A,4.40%,0.0%,55.70%,44.30%,96.32,89.52
101,6,2016,Laquon Treadwell,Upside Lite,9.50,83.40,0.61,Ole Miss,1,6/14/95,30.31,JR,20.88,Wide,SLOB,N/A,74,221,28.37,4.64,1,0.00%,0.00%,16.51%,26.89%,26.38%,26.64%,26.64%,19.23,2.44,6.40,11.20,0.00,0.00,N/A,N/A,9.90%,0.0%,91.40%,8.35%,95.36,96.33
101,9,2024,Keon Coleman,Upside Lite,9.50,83.40,0.61,Florida State,4,5/17/03,22.38,JR,20.96,Wide,SLOB,Poor Separator,75,213,26.62,4.61,2,0.00%,0.00%,1.52%,27.71%,21.81%,24.76%,23.52%,19.29,2.07,6.30,12.40,0.44,1.94,8%,15%,3.80%,0.0%,81.90%,17.50%,94.32,97.22
103,10,2024,Adonai Mitchell,Upside Lite,9.48,83.20,0.60,Texas,3,10/8/02,22.99,JR,21.57,Wide,DEEP,Poor Earner,74,205,26.32,4.34,2,0.00%,0.00%,11.33%,7.55%,20.88%,20.88%,19.83%,20.90,1.72,3.90,16.00,0.81,0.94,2%,15%,1.80%,0.0%,85.90%,14.10%,115.56,116.75
104,10,2025,Dont'e Thornton Jr.,Upside Lite,9.44,83.00,0.58,Tennessee,1,11/30/02,22.84,SR,22.42,Wide,DEEP,Poor Earner,77,205,24.31,4.30,4,0.00%,8.79%,11.59%,10.23%,23.03%,23.03%,23.03%,21.76,3.72,10.70,16.50,1.68,0.00,2%,17%,7.10%,0.0%,95.70%,4.30%,119.93,128.59
105,7,2017,Zay Jones,Upside Lite,9.44,82.90,0.58,ECU,6,3/30/95,30.52,SR,22.09,Hybrid,RAT,N/A,74,201,25.81,4.46,2,0.00%,14.16%,17.17%,32.56%,43.48%,43.48%,36.95%,20.44,2.96,5.50,8.50,0.52,3.12,N/A,N/A,3.70%,0.0%,68.70%,62.85%,101.60,102.64
106,11,2024,Troy Franklin,Upside Lite,9.43,82.70,0.57,Oregon,5,2/6/03,22.65,JR,21.24,Wide,BALL HOG,Elite Earner,74,176,22.60,4.41,4,0.00%,0.00%,9.44%,24.07%,30.67%,30.67%,29.13%,19.57,3.32,6.60,12.80,1.26,2.06,5%,23%,10.00%,0.0%,77.65%,21.90%,93.07,94.02
107,11,2020,Laviska Shenault Jr.,Upside Lite,9.42,82.60,0.57,Colorado,5,10/5/98,27.00,JR,21.56,Hybrid,SLOB,Elite Earner,74,227,29.14,4.58,2,0.00%,0.00%,5.38%,33.76%,26.73%,30.24%,28.73%,19.92,3.44,7.50,10.10,0.73,3.27,5%,26%,5.10%,0.0%,59.15%,34.75%,103.18,104.23
108,14,2022,Justyn Ross,Upside Lite,9.40,82.40,0.56,Clemson,4,12/15/99,25.80,RS JR,22.38,Slot,SLOB,Elite Earner,75,210,26.25,4.55,0,0.00%,23.89%,20.00%,0.00%,20.68%,22.29%,21.18%,18.73,4.98,9.60,12.90,0.54,1.79,5%,24%,2.10%,0.0%,22.55%,27.10%,97.99,101.01
109,7,2016,Josh Doctson,Upside Lite,9.37,82.20,0.54,TCU,3,12/3/92,32.84,SR,23.41,Wide,SLOB,N/A,74,202,25.93,4.50,1,14.62%,0.00%,19.44%,24.01%,34.73%,34.73%,32.99%,21.76,4.08,5.60,15.20,0.00,0.00,N/A,N/A,7.10%,0.0%,96.10%,3.75%,98.52,99.53
110,13,2021,D'Wayne Eskridge,Upside Lite,9.33,82.10,0.51,Western Michigan,9,3/23/97,28.53,RS SR,24.12,Wide,RAT,Elite Earner,69,186,27.67,4.4,2,3.42%,25.59%,25.15%,2.33%,44.68%,44.68%,31.27%,20.45,4.94,14.40,20.00,1.32,4.95,7%,24%,8.10%,0.0%,81.55%,18.45%,99.25,89.79
111,8,2017,John Ross,Upside Lite,9.32,81.90,0.51,Washington,5,11/27/95,29.85,SR,21.43,Wide,RAT,N/A,71,190,26.50,4.22,1,0.00%,6.15%,13.25%,0.00%,31.74%,31.74%,30.15%,20.79,3.43,4.80,16.20,0.63,2.82,N/A,N/A,4.70%,0.0%,89.30%,5.25%,119.82,113.76
112,12,2020,KJ Hamler,Upside Lite,9.30,81.70,0.50,Penn State,2,7/8/99,26.24,JR,20.81,Slot,RAT,Elite Separator,69,178,26.29,4.36,2,0.00%,0.00%,0.00%,26.60%,31.42%,31.42%,31.42%,19.16,2.53,7.80,14.40,0.47,2.45,3%,23%,16.40%,0.0%,6.60%,93.25%,98.52,89.61
113,9,2015,Sammie Coates,Upside Lite,9.30,81.60,0.50,Auburn,1,3/31/93,32.52,JR,22.09,Wide,DEEP,N/A,73,212,27.97,4.43,3,0.00%,0.00%,6.07%,37.24%,26.91%,32.07%,32.07%,20.43,2.82,3.80,21.50,0.00,0.00,N/A,N/A,12.80%,0.0%,89.90%,10.10%,110.09,108.97
114,9,2026,Elijah Sarratt,Upside Lite,9.29,81.40,0.49,Indiana,5,5/28/03,22.35,SR,22.93,Wide,SLOB,Poor Separator,74,209,26.83,4.5,1,0.00%,24.18%,32.64%,28.17%,22.88%,27.76%,26.37%,19.28,2.92,5.70,10.20,0.00,0.00,8%,17%,7.00%,0.0%,88.50%,11.50%,101.94,102.98
115,8,2019,Hakeem Butler,Upside Lite,9.27,81.30,0.48,Iowa State,3,5/16/96,29.39,RS JR,22.96,Hybrid,DEEP,Poor Separator,77,227,26.92,4.48,4,0.00%,0.00%,4.31%,19.64%,42.08%,42.08%,39.98%,22.31,3.04,7.10,16.50,0.87,3.63,7%,17%,15.50%,0.0%,41.05%,58.95%,112.71,120.85
116,13,2020,Devin Duvernay,Upside Lite,9.25,81.10,0.47,Texas,3,9/12/97,28.06,SR,22.63,Hybrid,BALL HOG,Elite Earner,71,200,27.89,4.39,3,0.00%,13.62%,3.68%,15.10%,36.85%,36.85%,35.01%,21.99,2.94,6.90,15.50,0.89,2.95,4%,23%,2.80%,0.0%,45.85%,53.95%,107.70,102.25
117,15,2022,David Bell,Upside Lite,9.24,80.90,0.46,Purdue,2,12/14/00,24.80,JR,21.38,Wide,SLOB,Elite Earner,74,205,26.32,4.65,3,0.00%,0.00%,27.83%,33.71%,27.84%,30.77%,30.77%,18.72,2.70,5.80,11.70,0.87,2.64,5%,22%,5.10%,0.0%,86.65%,13.20%,87.69,88.59
118,10,2015,Kevin White,Upside Lite,9.22,80.80,0.45,West Virginia,3,6/25/92,33.28,SR,22.85,Wide,BALL HOG,N/A,74,190,24.39,4.35,1,0.00%,0.00%,0.00%,19.34%,35.11%,35.11%,33.36%,22.20,2.59,6.20,11.10,0.00,0.00,N/A,N/A,7.60%,0.0%,90.70%,7.60%,106.13,107.21
119,6,2018,Tre'Quan Smith,Upside Lite,9.18,80.60,0.43,UCF,6,1/7/96,29.74,JR,22.32,Wide,SLOB,Poor Separator,74,209,26.83,4.49,3,0.00%,0.00%,32.24%,31.29%,27.15%,29.69%,25.24%,19.66,2.81,5.80,15.20,1.09,2.76,5%,15%,9.20%,0.0%,84.20%,15.80%,102.85,103.90
120,11,2015,Stefon Diggs,Upside Lite,9.16,80.40,0.42,Maryland,2,11/29/93,31.85,JR,21.42,Slot,PROTO Z,N/A,72,190,25.77,4.46,5,0.00%,0.00%,38.87%,33.75%,27.67%,33.27%,33.27%,18.77,2.24,8.30,10.70,0.00,0.00,N/A,N/A,6.80%,0.0%,7.00%,90.40%,96.04,93.11
121,14,2021,Tutu Atwell,Upside Lite,9.12,80.30,0.40,Louisville,4,10/7/99,25.99,JR,21.58,Slot,RAT,Elite Earner,69,155,22.97,4.39,2,0.00%,0.00%,16.03%,41.73%,23.27%,32.50%,30.88%,19.91,4.17,11.50,11.60,0.70,4.23,4%,23%,4.20%,0.0%,16.15%,83.50%,83.46,75.72
122,10,2023,Puka Nacua,Upside Lite,9.10,80.10,0.38,BYU,3,5/29/01,24.35,RS JR,21.93,Hybrid,PROTO Z,Elite Earner,73,205,27.05,4.55,5,0.00%,5.31%,20.83%,23.45%,27.81%,27.81%,26.42%,19.28,3.53,7.40,12.00,1.00,2.31,6%,32%,5.90%,0.0%,69.60%,29.10%,95.66,94.69
123,7,2018,James Washington,Upside Lite,9.08,80.00,0.37,Oklahoma State,3,4/2/96,29.51,SR,22.08,Wide,DEEP,Elite Earner,72,205,27.80,4.54,2,0.00%,14.48%,23.68%,32.77%,30.62%,31.70%,30.11%,19.42,3.48,7.20,18.90,0.87,3.08,6%,21%,6.30%,0.0%,89.40%,10.10%,96.51,93.57
124,11,2023,Tank Dell,Upside Lite,9.06,79.80,0.36,Houston,6,10/29/99,25.93,RS SR,23.51,Hybrid,RAT,Elite Separator,68,165,25.09,4.42,3,37.41%,0.00%,20.13%,34.98%,34.25%,35.83%,30.45%,18.85,2.84,6.60,11.60,1.10,2.90,2%,25%,8.50%,0.0%,41.20%,58.70%,86.46,76.94
125,15,2021,Tylan Wallace,Upside Lite,9.06,79.60,0.36,Oklahoma State,3,5/13/99,26.39,SR,21.98,Wide,PROTO Z,Elite Earner,71,194,26.77,4.5,4,0.00%,2.33%,37.02%,30.97%,34.99%,36.00%,34.20%,19.32,3.48,9.80,14.80,0.76,3.41,9%,26%,6.30%,0.0%,87.10%,12.75%,94.62,90.56
126,9,2017,Taywan Taylor,Upside Lite,9.05,79.50,0.35,Western Kentucky,10,3/2/95,30.59,SR,22.17,Wide,BALL HOG,N/A,71,205,28.59,4.50,3,0.00%,10.92%,15.76%,28.15%,36.69%,36.69%,25.68%,20.51,4.08,9.40,14.40,0.82,3.67,N/A,N/A,7.50%,0.0%,81.30%,24.90%,99.98,94.93
127,8,2018,Justin Watson,Upside Lite,9.04,79.30,0.35,Penn,11,4/4/96,29.50,SR,22.07,N/A,DEEP,Poor Earner,75,225,28.12,4.46,5,0.00%,18.12%,44.55%,48.97%,50.51%,50.51%,30.31%,19.42,3.13,8.90,16.20,0.00,0.00,0%,0%,0.00%,0.0%,0.00%,0.00%,113.73,117.23
128,8,2016,Rashard Higgins,Upside Lite,9.04,79.10,0.35,Colorado State,7,10/7/94,30.99,JR,21.57,Wide,BALL HOG,N/A,73,196,25.86,4.64,5,0.00%,0.00%,22.44%,45.32%,38.82%,42.07%,31.97%,18.91,4.54,9.60,12.40,0.00,0.00,N/A,N/A,3.80%,0.0%,86.45%,13.25%,84.57,83.71
129,10,2017,Jalen Robinette,Upside Lite,9.03,79.00,0.34,Air Force,7,6/30/95,30.27,SR,21.84,Wide,SLOB,N/A,75,220,27.50,4.53,0,0.00%,23.11%,42.58%,34.70%,54.74%,54.74%,41.60%,18.18,5.51,7.90,19.70,1.26,6.85,N/A,N/A,2.80%,0.0%,92.70%,7.45%,104.49,107.70
130,9,2016,Leonte Carroo,Upside Lite,9.03,78.80,0.34,Rutgers,2,1/24/94,31.70,SR,22.27,Wide,PROTO Z,N/A,71,211,29.43,4.50,3,0.00%,0.00%,15.61%,36.74%,48.77%,48.77%,48.77%,20.62,4.16,7.40,15.40,0.00,0.00,N/A,N/A,4.90%,0.0%,92.90%,7.10%,102.91,97.71
131,10,2026,Zachariah Branch,Upside Lite,8.99,78.60,0.32,Georgia,1,3/29/04,21.51,JR,22.09,Slot,RAT,Elite Separator,70,180,25.83,4.35,3,0.00%,0.00%,8.74%,14.36%,22.58%,22.58%,22.58%,21.44,2.90,15.80,0.90,0.00,0.00,3%,20%,6.00%,0.0%,20.10%,78.70%,100.54,93.45
132,11,2017,Josh Malone,Upside Lite,8.98,78.50,0.32,Tennessee,1,3/21/96,29.54,JR,21.12,Wide,PROTO X,N/A,75,205,25.62,4.40,4,0.00%,0.00%,7.93%,15.69%,31.35%,31.35%,31.35%,20.47,2.44,5.80,15.90,0.97,2.56,N/A,N/A,5.70%,0.0%,89.30%,8.80%,109.39,112.75
133,16,2022,Jalen Tolbert,Upside Lite,8.97,78.30,0.31,South Alabama,8,2/27/99,26.60,RS SR,23.18,Wide,DEEP,Elite Earner,75,190,23.75,4.44,3,0.00%,2.46%,27.33%,39.90%,47.98%,47.98%,36.47%,20.52,3.16,7.10,17.10,0.98,3.62,6%,22%,8.90%,0.0%,82.35%,17.65%,97.78,100.79
134,12,2017,ArDarius Stewart,Upside Lite,8.95,78.20,0.30,Alabama,1,12/8/93,31.82,JR,23.40,Hybrid,PROTO Z,N/A,72,205,27.80,4.49,3,0.00%,0.00%,3.83%,20.55%,27.39%,27.39%,27.39%,21.74,2.87,10.50,13.90,0.71,2.67,N/A,N/A,6.90%,0.0%,73.70%,23.10%,100.88,97.81
135,11,2026,Nyck Harbor,Upside Lite,8.94,78.00,0.29,South Carolina,1,7/5/05,20.24,JR,20.82,Wide,DEEP,Poor Earner,77,245,29.05,4.35,3,0.00%,0.00%,5.85%,12.95%,23.84%,23.84%,23.84%,20.17,2.23,4.70,17.60,0.00,0.00,3%,12%,3.70%,0.0%,85.60%,14.40%,136.85,146.74
136,13,2017,Kenny Golladay,Upside Lite,8.93,77.80,0.28,Northern Illinois,9,11/3/93,31.92,SR,23.50,Wide,SLOB,N/A,76,214,26.05,4.50,3,15.67%,32.29%,0.00%,38.69%,43.01%,43.01%,30.10%,19.84,2.93,5.50,14.60,0.40,2.91,N/A,N/A,4.40%,0.0%,92.40%,11.80%,104.37,109.74
137,14,2020,Denzel Mims,Upside Lite,8.92,77.70,0.28,Baylor,3,10/10/97,27.98,SR,22.55,Wide,PROTO X,Poor Separator,75,207,25.87,4.38,2,0.00%,0.66%,31.49%,21.06%,28.56%,30.03%,28.52%,19.91,2.68,3.20,14.90,0.84,2.45,11%,19%,9.60%,0.0%,97.60%,2.30%,112.49,115.95
138,9,2018,Courtland Sutton,Upside Lite,8.91,77.50,0.27,SMU,6,10/10/95,29.99,RS JR,22.56,Wide,SLOB,Elite Earner,76,216,26.29,4.54,2,0.00%,0.00%,32.90%,39.33%,28.38%,33.86%,28.78%,19.90,2.85,5.30,15.30,0.76,2.73,6%,20%,6.80%,0.0%,82.00%,18.00%,101.69,106.92
139,10,2016,Malcolm Mitchell,Upside Lite,8.86,77.30,0.25,Georgia,1,7/20/93,32.21,RS SR,22.79,Wide,PROTO Z,N/A,72,198,26.85,4.45,4,24.73%,15.43%,0.00%,13.84%,35.95%,35.95%,35.95%,18.13,2.67,4.90,13.40,0.00,0.00,N/A,N/A,4.90%,0.0%,85.10%,14.30%,100.98,97.91
140,12,2023,Kayshon Boutte,Upside Lite,8.84,77.20,0.24,LSU,1,5/7/02,23.41,JR,20.99,Hybrid,PROTO Z,Poor Earner,71,195,27.20,4.5,6,0.00%,0.00%,23.54%,15.38%,14.27%,18.91%,18.91%,18.35,2.27,7.00,9.70,0.89,2.18,3%,17%,12.70%,0.0%,40.25%,59.75%,95.11,90.30
141,12,2024,Jalen McMillan,Upside Lite,8.84,77.00,0.23,Washington,3,12/7/01,23.82,JR,22.40,Slot,BALL HOG,Elite Separator,73,197,25.99,4.47,3,0.00%,1.77%,17.41%,22.84%,14.63%,18.73%,17.80%,20.73,2.32,6.40,13.10,0.70,1.91,0%,26%,10.00%,0.0%,5.70%,90.85%,98.69,97.68
142,11,2016,Ricardo Louis,Upside Lite,8.83,76.70,0.23,Auburn,1,3/23/94,31.54,SR,22.11,Hybrid,PROTO Z,N/A,74,215,27.60,4.43,4,0.00%,2.09%,13.42%,9.48%,31.78%,31.78%,31.78%,21.45,3.51,7.60,15.80,0.00,0.00,N/A,N/A,11.50%,0.0%,69.35%,26.95%,111.65,112.79
142,10,2018,Dante Pettis,Upside Lite,8.83,76.70,0.23,Washington,5,10/23/95,29.95,SR,22.52,Wide,PROTO Z,Elite Earner,73,194,25.59,4.32,2,0.00%,9.25%,13.31%,22.69%,26.34%,26.34%,25.02%,20.87,2.57,4.50,14.70,1.10,2.19,6%,27%,4.60%,0.0%,84.50%,15.10%,111.40,110.27
144,17,2022,Khalil Shakir,Upside Lite,8.82,76.50,0.22,Boise State,7,2/3/00,25.67,SR,22.25,Hybrid,BALL HOG,Elite Earner,72,190,25.77,4.35,5,0.00%,4.48%,23.80%,42.47%,35.72%,39.10%,29.71%,19.59,3.32,6.10,10.70,0.91,3.25,5%,24%,11.50%,0.0%,41.45%,54.35%,106.13,102.90
145,13,2023,Jonathan Mingo,Upside Lite,8.80,76.40,0.21,Ole Miss,1,4/20/01,24.45,SR,22.03,Hybrid,SLOB,Poor Separator,74,220,28.25,4.51,2,0.00%,12.67%,13.74%,17.64%,27.62%,27.62%,27.62%,21.37,2.15,7.30,14.50,0.84,2.35,4%,17%,7.30%,0.0%,71.85%,23.60%,106.35,107.44
146,12,2015,Devin Funchess,Upside Lite,8.80,76.20,0.21,Michigan,2,5/21/94,31.38,JR,20.95,Hybrid,SLOB,N/A,77,230,27.27,4.70,2,0.00%,0.00%,9.03%,23.22%,35.89%,35.89%,35.89%,19.29,2.21,4.30,9.70,0.00,0.00,N/A,N/A,8.80%,0.0%,57.70%,39.40%,94.27,101.08
147,13,2024,Malachi Corley,Upside Lite,8.79,76.00,0.21,Western Kentucky,10,3/21/02,23.54,RS JR,22.12,Slot,RAT,Elite Earner,70,215,30.85,4.49,3,0.00%,13.11%,11.27%,26.00%,27.69%,27.69%,19.39%,20.45,2.78,9.70,6.10,0.82,2.08,5%,28%,7.10%,0.0%,10.60%,88.30%,105.80,98.33
148,14,2023,Parker Washington,Upside Lite,8.75,75.90,0.18,Penn State,2,3/21/02,23.54,JR,21.12,Slot,PROTO Z,Elite Separator,70,204,29.27,4.45,6,0.00%,0.00%,21.22%,23.49%,24.20%,24.20%,24.20%,18.47,2.18,6.30,10.30,0.93,1.80,2%,21%,6.10%,0.0%,18.50%,81.15%,104.04,96.70
149,11,2025,Tai Felton,Upside Lite,8.74,75.70,0.18,Maryland,2,3/15/03,22.55,SR,22.13,Hybrid,BALL HOG,Elite Separator,72,183,24.82,4.37,3,0.00%,2.09%,9.13%,20.19%,33.82%,33.82%,33.82%,20.47,2.32,6.50,14.60,1.01,0.00,4%,26%,7.70%,0.0%,74.15%,25.85%,100.36,97.30
