Rank,Class Rk,Year,Player Name,Tier,RB Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Class,Draft Age,Build,Type,Height,Weight,BMI,40 Time,Draft Cap,RDOM1,RDOM2,RDOM3,RDOM4,RDOM5,TDOM,RDOM+,DOM1,DOM2,ADOM,DOM+,BOUT,Speed,BMI,MTF/A,YPC,YPR,RPT,ELU,YCO/A,Break %
73,5,2019,Devin Singletary,Upside,9.33,77.60,0.56,FAU,1,9/3/97,28.08,JR,21.65,BELL CALF,#DIV/0!,67,203,31.79,4.66,3,0.00%,0.00%,24.98%,30.11%,23.86%,26.99%,26.99%,6.81%,1.27%,4.04%,4.04%,19.01,86.10,31.79,0.36,6.70,#DIV/0!,#DIV/0!,138.30,3.89,48.30
74,4,2021,Rhamondre Stevenson,Upside,9.27,77.30,0.54,Oklahoma,3,2/23/98,27.61,SR,23.19,BRUISER,#DIV/0!,72,231,31.33,4.64,4,0.00%,16.27%,22.50%,8.00%,16.10%,19.30%,17.37%,2.09%,6.09%,6.09%,5.48%,19.53,99.67,31.33,0.36,8.00,#DIV/0!,#DIV/0!,140.60,5.86,67.20
75,4,2022,Isaiah Spiller,Upside,9.26,77.00,0.53,Texas A&M,1,8/9/01,24.15,JR,20.73,BELL COW,#DIV/0!,72,217,29.43,4.63,4,0.00%,0.00%,22.62%,27.89%,25.64%,26.77%,26.77%,8.24%,7.55%,7.90%,7.90%,18.07,94.44,29.43,0.31,5.70,#DIV/0!,#DIV/0!,120.00,4.19,45.60
76,6,2019,Damien Harris,Upside,9.19,76.70,0.50,Alabama,1,2/11/97,28.64,SR,22.21,BELL CALF,#DIV/0!,70,216,30.99,4.57,3,0.00%,2.67%,16.62%,17.53%,13.73%,15.63%,15.63%,3.36%,4.20%,4.20%,4.20%,19.57,99.04,30.99,0.24,7.40,#DIV/0!,#DIV/0!,125.20,4.84,45.80
77,7,2023,Kendre Miller,Upside,9.09,76.40,0.46,TCU,3,6/11/02,23.31,JR,20.89,BELL COW,#DIV/0!,71,215,29.99,4.58,3,0.00%,0.00%,9.44%,14.32%,22.20%,22.20%,19.98%,4.12%,2.95%,3.54%,3.18%,20.25,97.73,29.98,0.34,7.50,#DIV/0!,#DIV/0!,181.10,5.06,60.50
78,7,2015,Ameer Abdullah,Upside Lite,8.94,76.10,0.40,Nebraska,2,6/13/93,32.31,SR,21.88,BELL CALF,#DIV/0!,69,205,30.27,4.60,2,0.00%,3.26%,20.38%,35.85%,32.02%,33.94%,33.94%,9.07%,9.76%,9.76%,9.76%,19.23,91.57,30.27,0.22,6.14,#DIV/0!,#DIV/0!,71.30,3.08,45.90
79,5,2021,Michael Carter,Upside Lite,8.92,75.80,0.39,North Carolina,4,5/7/99,26.41,SR,21.99,BELL CALF,#DIV/0!,68,201,30.56,4.54,4,0.00%,14.86%,14.99%,18.78%,23.45%,23.45%,21.11%,4.14%,7.38%,7.38%,6.64%,20.33,94.62,30.56,0.30,7.90,#DIV/0!,#DIV/0!,135.10,4.47,62.70
80,8,2023,Israel Abanikanda,Upside Lite,8.89,75.50,0.38,Pitt,4,10/5/02,22.99,JR,20.57,FREAK,#DIV/0!,71,216,30.13,4.41,5,0.00%,0.00%,2.54%,12.42%,29.81%,29.81%,26.83%,4.17%,5.04%,5.04%,4.54%,19.93,114.22,30.12,0.33,5.90,#DIV/0!,#DIV/0!,117.60,3.60,44.20
81,5,2016,Jordan Howard,Upside Lite,8.88,75.20,0.37,Indiana,2,11/2/94,30.92,JR,21.50,BRUISER,#DIV/0!,72,230,31.19,4.57,5,0.00%,0.00%,22.28%,32.17%,29.06%,30.62%,30.62%,2.74%,4.01%,4.01%,4.01%,18.84,105.46,31.19,0.22,6.19,#DIV/0!,#DIV/0!,67.70,3.69,37.30
82,6,2024,Jaylen Wright,Upside Lite,8.88,74.90,0.37,Tennessee,1,4/1/03,22.51,JR,21.09,DYNAMIC,#DIV/0!,70,210,30.13,4.38,4,0.00%,0.00%,10.08%,6.10%,21.41%,21.41%,21.41%,0.19%,4.83%,4.83%,4.83%,20.44,114.12,30.13,0.32,7.40,#DIV/0!,#DIV/0!,132.20,4.35,52.10
83,7,2024,Blake Corum,Upside Lite,8.87,74.60,0.37,Michigan,2,11/25/00,24.85,SR,23.44,BELL CALF,#DIV/0!,68,205,31.17,4.53,3,0.00%,6.56%,20.41%,28.03%,23.72%,25.87%,25.87%,3.11%,3.65%,3.65%,3.65%,20.78,97.36,31.17,0.34,5.89,#DIV/0!,#DIV/0!,132.60,3.84,47.00
84,5,2022,James Cook,Upside Lite,8.83,74.30,0.35,Georgia,1,9/25/99,26.02,SR,22.61,JITTERBUG,#DIV/0!,71,199,27.75,4.42,2,0.00%,5.73%,5.60%,12.40%,15.09%,15.09%,15.09%,8.92%,7.25%,8.09%,8.09%,21.96,104.28,27.75,0.24,6.70,#DIV/0!,#DIV/0!,86.60,3.91,39.80
85,9,2023,Zach Evans,Upside Lite,8.81,74.00,0.34,Ole Miss,1,5/30/01,24.35,JR,21.92,DYNAMIC,#DIV/0!,71,202,28.17,4.46,6,0.00%,0.00%,13.23%,29.70%,17.61%,23.65%,23.65%,9.04%,4.14%,6.59%,6.59%,20.28,102.10,28.17,0.28,7.00,#DIV/0!,#DIV/0!,126.60,4.30,45.90
86,8,2024,Audric Estime,Upside Lite,8.80,73.70,0.34,Notre Dame,2,9/6/03,22.07,JR,20.65,BELL COW,#DIV/0!,71,221,30.82,4.59,5,0.00%,0.00%,7.03%,20.21%,28.59%,28.59%,28.59%,5.01%,4.80%,4.91%,4.91%,19.01,99.58,30.82,0.31,6.40,#DIV/0!,#DIV/0!,126.50,4.27,44.10
87,12,2025,Dylan Sampson,Upside Lite,8.79,73.30,0.33,Tennessee,1,9/14/04,21.05,JR,20.63,DYNAMIC,#DIV/0!,68,200,30.41,4.42,4,0.00%,0.00%,7.90%,14.51%,28.06%,28.06%,28.06%,6.00%,4.97%,5.48%,5.48%,19.99,104.80,30.41,0.29,5.77,#DIV/0!,#DIV/0!,107.50,3.60,36.40
88,7,2019,Tony Pollard,Upside Lite,8.72,73.00,0.30,Memphis,6,4/30/97,28.43,RS JR,22.00,BELL CALF,#DIV/0!,70,210,30.13,4.52,4,0.00%,0.00%,7.58%,11.07%,13.89%,13.89%,10.41%,12.31%,13.45%,13.45%,10.09%,N/A,100.62,30.13,0.30,7.70,#DIV/0!,#DIV/0!,120.40,4.97,60.40
89,6,2021,Chuba Hubbard,Upside Lite,8.65,72.40,0.27,Oklahoma State,3,6/11/99,26.32,JR,21.90,BELL COW,#DIV/0!,72,210,28.48,4.51,4,0.00%,0.00%,15.12%,38.67%,14.46%,26.57%,23.91%,6.58%,1.97%,4.28%,3.85%,19.24,101.52,28.48,0.23,6.40,#DIV/0!,#DIV/0!,96.00,3.96,49.20
89,8,2019,Bryce Love,Upside Lite,8.65,72.40,0.27,Stanford,5,7/8/97,28.24,SR,21.81,JITTERBUG,#DIV/0!,69,200,29.53,4.35,4,0.00%,7.74%,18.05%,39.50%,16.82%,28.16%,23.93%,1.27%,2.79%,2.79%,2.37%,19.16,111.71,29.53,0.29,8.10,#DIV/0!,#DIV/0!,134.10,4.60,66.40
91,13,2025,Jordan James,Upside Lite,8.43,72.10,0.18,Oregon,2,3/29/04,21.51,JR,21.09,BELL CALF,#DIV/0!,69,205,30.27,4.55,5,0.00%,0.00%,3.94%,12.04%,24.09%,24.09%,24.09%,2.72%,5.29%,5.29%,5.29%,20.45,95.66,30.27,0.31,7.07,#DIV/0!,#DIV/0!,108.30,4.04,37.40
92,7,2018,Ronald Jones,Upside Lite,8.30,71.80,0.13,USC,5,8/3/97,28.17,JR,20.74,BELL COW,#DIV/0!,72,200,27.12,4.65,2,0.00%,1.46%,16.67%,18.66%,25.68%,25.68%,21.83%,2.12%,4.46%,4.46%,3.79%,18.09,85.56,27.12,0.22,6.40,#DIV/0!,#DIV/0!,84.30,3.90,48.20
93,10,2017,Samaje Perine,Upside Lite,8.27,71.50,0.11,Oklahoma,3,9/16/95,30.05,JR,21.63,BRUISER,#DIV/0!,71,233,32.50,4.66,4,0.00%,0.00%,30.14%,21.15%,16.21%,23.18%,20.86%,2.60%,2.56%,2.58%,2.32%,18.97,98.82,32.49,0.28,6.00,#DIV/0!,#DIV/0!,100.40,3.61,47.30
94,9,2019,Benny Snell Jr.,Upside Lite,8.25,71.20,0.10,Kentucky,1,2/27/98,27.60,JR,21.17,BELL CALF,#DIV/0!,70,224,32.14,4.66,4,0.00%,0.00%,20.67%,30.89%,33.17%,33.17%,33.17%,2.90%,5.00%,5.00%,5.00%,18.52,95.00,32.14,0.24,5.90,#DIV/0!,#DIV/0!,94.50,4.04,39.00
95,14,2025,Devin Neal,Upside Lite,8.22,70.90,0.09,Kansas,3,8/12/03,22.14,JR,21.72,BELL COW,#DIV/0!,71,213,29.71,4.58,6,0.00%,21.24%,22.38%,26.32%,30.30%,30.30%,27.27%,9.42%,10.62%,10.62%,9.55%,18.07,96.82,29.70,0.30,5.79,#DIV/0!,#DIV/0!,106.30,3.73,48.00
96,6,2022,Brian Robinson Jr.,Upside Lite,8.22,70.60,0.09,Alabama,1,3/22/99,26.54,RS SR,23.12,BRUISER,#DIV/0!,74,225,28.89,4.53,3,2.65%,3.47%,8.49%,7.21%,22.38%,22.38%,22.38%,0.56%,5.83%,5.83%,5.83%,22.47,106.86,28.89,0.29,5.30,#DIV/0!,#DIV/0!,100.30,4.05,34.30
97,10,2019,Trayveon Williams,Upside Lite,8.21,70.30,0.09,Texas A&M,1,10/18/97,27.96,JR,21.53,BELL CALF,#DIV/0!,68,206,31.32,4.51,6,0.00%,0.00%,18.88%,18.74%,33.24%,33.24%,33.24%,5.88%,8.59%,8.59%,8.59%,18.88,99.58,31.32,0.26,6.80,#DIV/0!,#DIV/0!,91.40,3.79,48.70
98,8,2018,John Kelly,Upside Lite,8.19,70.00,0.08,Tennessee,1,10/4/96,29.00,JR,21.57,BELL CALF,#DIV/0!,70,216,30.99,4.64,6,0.00%,0.00%,3.01%,11.44%,30.83%,30.83%,30.83%,1.65%,14.35%,14.35%,14.35%,20.93,93.20,30.99,0.32,6.20,#DIV/0!,#DIV/0!,131.60,4.28,39.40
99,10,2023,Chase Brown,Upside Lite,8.16,69.70,0.07,Illinois,2,3/21/00,25.54,RS SR,23.12,DYNAMIC,#DIV/0!,69,209,30.86,4.43,5,7.40%,0.42%,21.56%,28.99%,37.99%,37.99%,37.99%,7.58%,8.72%,8.72%,8.72%,20.46,108.53,30.86,0.26,5.90,#DIV/0!,#DIV/0!,116.90,4.14,41.30
100,6,2016,Jonathan Williams,Upside Lite,8.16,69.40,0.06,Arkansas,1,2/2/94,31.67,SR,22.25,BELL COW,#DIV/0!,71,220,30.68,4.56,5,0.00%,9.50%,22.68%,24.59%,0.00%,24.59%,24.59%,4.26%,0.00%,2.13%,2.13%,19.59,101.76,30.68,0.31,5.66,#DIV/0!,#DIV/0!,101.90,3.48,34.30
101,7,2016,Paul Perkins,Upside Lite,8.14,69.10,0.06,UCLA,5,11/16/94,30.88,JR,21.46,BELL CALF,#DIV/0!,70,208,29.84,4.54,5,0.00%,0.00%,14.92%,29.11%,26.10%,27.60%,23.46%,5.99%,6.58%,6.58%,5.59%,19.81,97.92,29.84,0.31,6.30,#DIV/0!,#DIV/0!,115.60,3.58,41.90
102,15,2025,Jaydon Blue,Upside Lite,8.08,68.80,0.03,Texas,1,1/8/04,21.73,JR,21.32,JITTERBUG,#DIV/0!,69,196,28.94,4.28,5,0.00%,0.00%,0.85%,8.00%,16.65%,16.65%,16.65%,3.38%,8.73%,8.73%,8.73%,20.67,116.82,28.94,0.28,6.12,#DIV/0!,#DIV/0!,113.10,3.83,39.60
103,7,2021,Khalil Herbert,Upside Lite,8.06,68.50,0.02,Virginia Tech,4,4/21/98,27.45,RS SR,23.04,DYNAMIC,#DIV/0!,69,210,31.01,4.5,6,4.30%,14.10%,11.66%,7.64%,27.87%,27.87%,25.08%,-0.04%,8.11%,8.11%,7.30%,22.39,102.42,31.01,0.43,9.20,#DIV/0!,#DIV/0!,218.30,5.21,72.70
104,11,2017,Jeremy McNichols,Upside Lite,8.05,68.10,0.02,Boise State,7,12/26/95,29.78,JR,21.35,DYNAMIC,#DIV/0!,69,212,31.31,4.49,5,0.00%,0.00%,4.45%,27.73%,35.49%,35.49%,23.07%,11.46%,12.45%,12.45%,8.10%,19.69,104.32,31.30,0.21,9.40,#DIV/0!,#DIV/0!,68.90,3.54,52.40
105,11,2023,Roschon Johnson,Upside Lite,8.03,67.80,0.01,Texas,3,1/31/01,24.67,SR,22.25,BELL COW,#DIV/0!,72,219,29.70,4.58,4,0.00%,13.34%,9.87%,12.79%,14.12%,14.12%,12.71%,3.07%,4.42%,4.42%,3.98%,N/A,99.54,29.70,0.49,5.90,#DIV/0!,#DIV/0!,198.00,4.28,39.60
106,8,2016,Kenneth Dixon,Upside Lite,8.02,67.50,0.01,Louisiana Tech,10,1/21/94,31.70,SR,22.28,BELL CALF,#DIV/0!,70,215,30.85,4.56,4,0.00%,17.72%,27.36%,29.90%,29.10%,29.50%,17.70%,10.90%,13.53%,13.53%,8.12%,18.62,99.45,30.85,0.28,5.40,#DIV/0!,#DIV/0!,98.80,3.33,49.20
107,12,2023,Evan Hull,Upside Lite,7.99,67.20,-0.01,Northwestern,2,10/26/00,24.94,RS JR,22.52,DYNAMIC,#DIV/0!,70,209,29.99,4.47,5,0.00%,7.99%,7.70%,32.91%,36.02%,36.02%,36.02%,12.41%,21.24%,21.24%,21.24%,20.87,104.70,29.99,0.26,5.10,#DIV/0!,#DIV/0!,97.40,3.60,43.80
108,7,2026,Jadarian Price,Upside Lite,7.92,66.90,-0.04,Notre Dame,2,10/9/03,21.98,RS JR,22.56,DYNAMIC,+RECEIVER,71,210,29.29,4.41,3,0.00%,0.00%,5.87%,11.61%,13.97%,12.79%,12.79%,0.32%,0.00%,0.32%,0.32%,N/A,111.04,29.29,0.26,6.93,#DIV/0!,#DIV/0!,97.30,4.50,58.30
109,9,2016,Alex Collins,Upside Lite,7.86,66.60,-0.06,Arkansas,1,8/26/94,31.11,JR,21.68,BELL CALF,#DIV/0!,70,217,31.14,4.59,5,0.00%,0.00%,25.41%,21.14%,27.11%,27.11%,27.11%,0.37%,1.84%,1.84%,1.84%,19.03,97.78,31.13,0.21,5.83,#DIV/0!,#DIV/0!,65.60,3.38,38.90
110,9,2018,Kerryon Johnson,Upside Lite,7.86,66.30,-0.06,Auburn,1,6/30/97,28.26,JR,20.84,BELL COW,#DIV/0!,71,213,29.71,4.54,2,0.00%,0.00%,6.86%,17.80%,25.10%,25.10%,25.10%,5.67%,5.91%,5.91%,5.91%,19.18,100.27,29.70,0.21,4.90,#DIV/0!,#DIV/0!,67.50,2.98,32.00
111,12,2017,Donnel Pumphrey,Upside Lite,7.85,66.00,-0.06,San Diego State,7,12/6/94,30.83,SR,22.41,JITTERBUG,#DIV/0!,68,176,26.76,4.48,4,0.00%,17.85%,39.37%,39.76%,41.52%,41.52%,26.99%,20.93%,11.67%,16.30%,10.59%,18.75,87.38,26.76,0.26,6.10,#DIV/0!,#DIV/0!,69.30,3.39,47.00
112,9,2024,Ray Davis,Upside Lite,7.76,65.70,-0.10,Kentucky,1,11/11/99,25.90,RS SR,24.48,BELL CALF,#DIV/0!,68,211,32.08,4.52,4,23.82%,32.76%,25.36%,29.11%,32.98%,32.98%,32.98%,7.52%,11.78%,11.78%,11.78%,19.82,101.10,32.08,0.27,5.70,#DIV/0!,#DIV/0!,96.60,3.81,44.70
113,10,2020,Anthony McFarland Jr.,Upside Lite,7.76,65.40,-0.10,Maryland,2,3/4/98,27.59,RS SO,22.15,DYNAMIC,#DIV/0!,68,208,31.63,4.44,4,0.00%,0.00%,0.00%,24.81%,17.96%,21.39%,21.39%,4.31%,6.03%,6.03%,6.03%,20.51,107.04,31.62,0.25,7.90,#DIV/0!,#DIV/0!,85.00,3.91,63.10
114,8,2021,Trey Sermon,Upside Lite,7.74,65.10,-0.11,Ohio State,2,1/30/99,26.68,SR,22.26,BELL COW,#DIV/0!,72,215,29.16,4.61,3,0.00%,10.44%,14.07%,6.06%,23.23%,23.23%,23.23%,1.71%,4.52%,4.52%,4.52%,21.61,95.21,29.16,0.31,7.50,#DIV/0!,#DIV/0!,116.90,4.04,53.10
115,8,2026,Le'Veon Moss,Upside Lite,7.73,64.80,-0.11,Texas A&M,1,11/15/02,22.88,SR,23.46,FREAK,+RECEIVER,72,215,29.16,4.34,4,0.00%,4.83%,15.51%,24.78%,11.39%,18.09%,18.09%,7.40%,-0.21%,3.60%,3.60%,20.82,121.20,29.16,0.23,6.32,#DIV/0!,#DIV/0!,90.80,4.40,39.00
116,10,2016,Devontae Booker,Upside Lite,7.70,64.50,-0.13,Utah,5,5/27/92,33.36,SR,23.93,BELL COW,#DIV/0!,71,219,30.54,4.56,4,0.00%,0.00%,0.00%,35.76%,43.36%,43.36%,36.86%,11.91%,17.63%,17.63%,14.99%,22.28,101.30,30.54,0.21,5.15,#DIV/0!,#DIV/0!,71.70,3.18,34.90
117,9,2026,Demond Claiborne,Upside Lite,7.67,64.20,-0.14,Wake Forest,4,10/9/03,21.98,SR,22.56,DYNAMIC,SLASHER,69,192,28.35,4.50,5,0.00%,1.18%,18.95%,29.29%,22.86%,26.08%,23.47%,8.68%,4.19%,6.44%,5.79%,19.92,93.64,28.35,0.32,9.88,#DIV/0!,#DIV/0!,134.40,3.92,72.50
118,13,2017,Marlon Mack,Upside Lite,7.65,63.90,-0.15,South Florida,6,3/7/96,29.58,JR,21.15,DYNAMIC,#DIV/0!,71,213,29.71,4.5,4,0.00%,0.00%,33.07%,26.09%,21.25%,27.16%,19.01%,4.38%,7.72%,7.72%,5.40%,18.50,103.89,29.70,0.24,6.80,#DIV/0!,#DIV/0!,93.40,3.85,52.10
119,10,2024,Will Shipley,Upside Lite,7.57,63.60,-0.18,Clemson,4,8/29/02,23.10,JR,21.68,BELL COW,#DIV/0!,71,206,28.73,4.55,4,0.00%,0.00%,23.73%,24.51%,22.16%,23.34%,21.00%,7.28%,8.43%,8.43%,7.59%,19.02,96.13,28.73,0.24,5.55,#DIV/0!,#DIV/0!,76.50,3.37,34.80
120,10,2018,Ito Smith,Upside Lite,7.53,63.30,-0.20,Southern Miss,8,9/11/95,30.07,SR,22.64,DYNAMIC,#DIV/0!,70,202,28.98,4.45,4,0.00%,13.84%,23.01%,31.13%,32.72%,32.72%,21.27%,11.76%,12.56%,12.56%,8.16%,19.98,103.02,28.98,0.27,6.60,#DIV/0!,#DIV/0!,107.20,3.68,59.10
121,13,2023,Sean Tucker,Upside Lite,7.52,62.60,-0.20,Syracuse,4,10/25/01,23.94,JR,21.52,BELL CALF,#DIV/0!,69,207,30.57,4.54,0,0.00%,0.00%,25.06%,40.08%,27.15%,33.62%,30.26%,13.54%,8.69%,11.11%,10.00%,18.86,97.45,30.57,0.27,6.10,#DIV/0!,#DIV/0!,108.40,4.11,46.10
121,16,2025,Jacory Croskey-Merritt,Upside Lite,7.52,62.60,-0.20,Arizona,3,4/12/01,24.48,RS SR,24.06,DYNAMIC,#DIV/0!,71,207,28.87,4.45,7,9.85%,14.24%,16.98%,25.63%,29.90%,29.90%,26.91%,6.94%,2.75%,4.85%,4.36%,21.41,105.57,28.87,0.34,8.15,#DIV/0!,#DIV/0!,211.20,3.98,66.00
123,17,2025,Kalel Mullings,Upside Lite,7.41,62.30,-0.25,Michigan,2,10/4/02,23.00,RS SR,22.58,BRUISER,#DIV/0!,73,226,29.82,4.55,6,0.00%,0.00%,0.00%,5.10%,28.61%,28.61%,28.61%,1.15%,2.26%,2.26%,2.26%,21.93,105.46,29.81,0.42,6.17,#DIV/0!,#DIV/0!,108.90,4.14,39.00
124,14,2017,Elijah Hood,Upside Lite,7.34,62.00,-0.28,North Carolina,4,4/22/96,29.45,JR,21.03,BRUISER,#DIV/0!,70,232,33.29,4.57,7,0.00%,0.00%,4.69%,22.58%,17.52%,20.05%,18.04%,1.96%,3.73%,3.73%,3.35%,19.37,106.38,33.28,0.32,6.70,#DIV/0!,#DIV/0!,117.00,4.10,51.50
125,11,2019,Ty Johnson,Upside Lite,7.31,61.70,-0.29,Maryland,2,9/17/97,28.05,SR,21.62,JITTERBUG,#DIV/0!,69,209,30.86,4.34,6,0.00%,6.22%,24.64%,24.10%,11.82%,18.23%,18.23%,3.09%,1.30%,2.20%,2.20%,18.97,117.82,30.86,0.22,9.10,#DIV/0!,#DIV/0!,108.60,5.26,68.70
126,10,2026,Quintrevion Wisner,Upside Lite,7.29,61.40,-0.30,Texas,1,5/9/05,20.40,JR,20.98,DYNAMIC,+RECEIVER,72,194,26.31,4.50,4,0.00%,0.00%,1.09%,20.89%,25.30%,25.30%,25.30%,7.44%,2.94%,5.19%,5.19%,19.33,94.62,26.31,0.25,5.00,#DIV/0!,#DIV/0!,67.20,3.08,30.80
127,7,2022,Kyren Williams,Upside Lite,7.28,61.10,-0.31,Notre Dame,2,8/26/00,25.10,JR,21.68,DYNAMIC,#DIV/0!,69,194,28.65,4.65,5,0.00%,0.00%,0.52%,26.66%,24.35%,25.50%,25.50%,10.92%,9.78%,10.35%,10.35%,20.04,82.99,28.65,0.28,5.30,#DIV/0!,#DIV/0!,108.60,3.71,36.90
128,11,2024,Tyrone Tracy,Upside Lite,7.22,60.80,-0.33,Purdue,2,11/23/99,25.86,RS SR,24.44,DYNAMIC,#DIV/0!,71,209,29.15,4.48,5,13.18%,5.97%,8.57%,6.00%,20.37%,20.37%,20.37%,5.07%,5.94%,5.94%,5.94%,23.80,103.77,29.15,0.47,8.12,#DIV/0!,#DIV/0!,163.50,4.44,52.90
129,9,2021,Kenneth Gainwell,Upside Lite,7.21,60.50,-0.33,Memphis,6,3/14/99,26.56,JR,22.14,DYNAMIC,#DIV/0!,68,201,30.56,4.47,5,0.00%,0.00%,1.95%,30.57%,0.00%,15.28%,11.46%,14.60%,0.00%,14.60%,10.95%,20.48,100.69,30.56,0.24,6.40,#DIV/0!,#DIV/0!,93.80,3.45,50.90
130,12,2024,Isaac Guerendo,Upside Lite,7.20,60.20,-0.34,Louisville,4,6/28/00,25.27,RS SR,23.85,FREAK,#DIV/0!,72,221,29.97,4.33,4,0.92%,10.42%,19.58%,11.46%,17.96%,18.77%,16.90%,5.21%,7.06%,7.06%,6.36%,21.19,125.74,29.97,0.26,6.14,#DIV/0!,#DIV/0!,104.20,4.11,60.60
131,11,2020,Jason Huntley,Upside Lite,7.18,59.90,-0.35,New Mexico State,10,4/20/98,27.46,SR,22.02,JITTERBUG,#DIV/0!,69,194,28.65,4.37,5,0.00%,4.00%,13.68%,22.99%,29.49%,29.49%,17.70%,16.25%,6.89%,11.57%,6.94%,20.38,106.39,28.65,0.33,6.90,#DIV/0!,#DIV/0!,111.90,3.78,57.80
132,15,2017,Elijah McGuire,Upside Lite,7.13,59.60,-0.37,ULL,8,6/1/94,31.35,SR,22.92,BELL CALF,#DIV/0!,70,214,30.71,4.53,6,0.00%,23.02%,31.94%,29.68%,29.46%,30.70%,19.95%,11.56%,10.31%,10.94%,7.11%,19.26,101.64,30.70,0.29,5.10,#DIV/0!,#DIV/0!,127.50,4.20,50.40
133,11,2016,DeAndre Washington,Upside Lite,7.12,59.30,-0.37,Texas Tech,3,2/22/93,32.62,SR,23.19,DYNAMIC,#DIV/0!,68,204,31.02,4.49,5,8.41%,0.00%,11.73%,23.51%,24.96%,24.96%,22.46%,7.76%,7.71%,7.73%,6.96%,21.54,100.39,31.01,0.29,6.48,#DIV/0!,#DIV/0!,107.30,3.53,43.10
134,8,2022,Dameon Pierce,Upside Lite,7.09,59.00,-0.38,Florida,1,2/19/00,25.62,SR,22.20,BELL CALF,#DIV/0!,70,218,31.28,4.59,4,0.00%,7.97%,6.87%,10.74%,15.22%,15.22%,15.22%,3.43%,6.54%,6.54%,6.54%,21.56,98.23,31.28,0.39,5.70,#DIV/0!,#DIV/0!,138.00,3.65,31.40
135,11,2026,Kyson Brown,Upside Lite,7.08,58.70,-0.39,Arizona State,3,3/22/05,20.53,JR,21.11,DYNAMIC,+RECEIVER,73,205,27.05,4.50,0,0.00%,0.00%,4.01%,8.98%,18.73%,18.73%,16.85%,5.88%,21.24%,21.24%,19.12%,20.46,99.98,27.04,0.33,9.33,#DIV/0!,#DIV/0!,118.50,3.56,59.50
136,12,2016,Dwayne Washington,Upside Lite,7.06,58.40,-0.40,Washington,5,4/24/94,31.45,JR,22.02,FREAK,#DIV/0!,73,220,29.03,4.44,7,0.00%,0.00%,6.14%,15.63%,18.21%,18.21%,15.48%,3.61%,16.46%,16.46%,13.99%,20.37,113.22,29.02,0.28,5.79,#DIV/0!,#DIV/0!,58.60,2.64,60.70
137,18,2025,Damien Martinez,Upside Lite,7.03,58.10,-0.41,Miami,4,1/31/04,21.67,JR,21.25,FREAK,#DIV/0!,72,217,29.43,4.51,7,0.00%,0.00%,13.17%,17.35%,17.33%,17.34%,15.61%,4.34%,4.51%,4.51%,4.06%,19.61,104.90,29.43,0.29,6.29,#DIV/0!,#DIV/0!,126.10,4.46,38.80
138,9,2022,Hassan Haskins,Outlier,6.99,57.70,-0.43,Michigan,2,11/26/99,25.85,SR,22.44,BRUISER,#DIV/0!,74,228,29.27,4.58,4,0.00%,0.00%,12.68%,16.37%,23.50%,23.50%,23.50%,0.00%,4.09%,4.09%,4.09%,20.79,103.63,29.27,0.23,6.10,#DIV/0!,#DIV/0!,99.70,4.34,54.10
139,11,2018,Josh Adams,Outlier,6.96,57.40,-0.44,Notre Dame,2,10/29/96,28.93,JR,21.50,DYNAMIC,#DIV/0!,74,213,27.35,4.48,0,0.00%,0.00%,14.75%,22.47%,26.29%,26.29%,26.29%,6.33%,4.34%,5.33%,5.33%,19.85,105.75,27.34,0.21,6.90,#DIV/0!,#DIV/0!,106.20,4.95,56.00
140,10,2022,Tyler Badie,Outlier,6.94,57.10,-0.45,Missouri,1,2/7/00,25.65,SR,22.24,JITTERBUG,#DIV/0!,68,197,29.95,4.45,6,0.00%,9.05%,18.10%,14.30%,36.02%,36.02%,36.02%,12.48%,10.97%,11.72%,11.72%,19.58,100.47,29.95,0.21,5.90,#DIV/0!,#DIV/0!,72.20,3.38,47.50
141,14,2023,Deuce Vaughn,Outlier,6.92,56.80,-0.46,Kansas State,3,11/2/01,23.92,JR,21.50,JITTERBUG,#DIV/0!,65,179,29.79,4.44,6,0.00%,0.00%,31.89%,39.85%,32.99%,36.42%,32.78%,18.01%,12.66%,15.33%,13.80%,18.84,92.12,29.78,0.21,6.00,#DIV/0!,#DIV/0!,71.20,3.06,51.90
142,12,2018,Bo Scarbrough,Outlier,6.90,56.50,-0.47,Alabama,1,9/29/96,29.01,JR,21.59,BRUISER,#DIV/0!,74,228,29.27,4.52,7,0.00%,0.00%,1.62%,12.23%,11.34%,11.78%,11.78%,0.70%,4.03%,4.03%,4.03%,N/A,109.25,29.27,0.32,6.50,#DIV/0!,#DIV/0!,147.30,4.75,48.50
143,13,2024,Michael Wiley,Outlier,6.90,56.20,-0.47,Arizona,5,11/10/00,24.90,RS SR,23.48,BELL CALF,#DIV/0!,70,210,30.13,4.51,0,5.60%,13.81%,41.18%,22.18%,13.75%,27.47%,23.35%,9.96%,10.02%,10.02%,8.52%,20.82,101.52,30.13,0.39,7.01,#DIV/0!,#DIV/0!,204.00,4.66,46.30
