Rank,Class Rk,Year,Player Name,Tier,TE Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Year,Draft Age,Height,Weight,BMI,40 Time,Draft,DOM1,DOM2,DOM3,DOM4,DOM5,TDOM,DOM+,BOUT,Y/RR,Y/REC,YAC/R,aDOT,EPA/P,aYPTPA,CC%,Drop %,Speed,HaSS
88,10,2017,Scott Orndoff,Outlier,7.37,58.40,-0.44,Pittsburgh,4,12/16/93,31.80,SR,23.38,77,253,30.00,4.84,0,0.00%,0.00%,3.23%,11.64%,21.76%,21.76%,20.68%,22.74,2.39,#DIV/0!,9.20,13.40,0.00,0.00,0.00,12.5%,92.21,98.87
88,10,2017,Jordan Leggett,Outlier,7.37,58.40,-0.44,Clemson,4,1/31/95,30.68,SR,22.25,78,258,29.81,4.71,5,0.00%,7.55%,6.83%,12.01%,16.96%,16.96%,16.11%,21.61,1.54,#DIV/0!,7.40,10.80,0.00,0.00,0.00,0.0%,104.85,114.62
90,10,2019,Kaden Smith,Outlier,7.22,57.90,-0.50,Stanford,5,4/24/97,28.45,JR,22.02,77,255,30.24,4.92,6,0.00%,0.00%,0.00%,20.20%,25.84%,25.84%,24.54%,20.37,2.65,#DIV/0!,4.30,15.50,0.00,0.00,0.00,7.8%,87.04,93.33
91,12,2017,Darrell Daniels,Outlier,7.09,57.40,-0.55,Washington,5,11/22/94,30.87,SR,22.44,75,247,30.87,4.55,0,0.00%,0.00%,14.24%,10.45%,11.86%,13.05%,12.40%,N/A,2.14,#DIV/0!,8.90,13.80,0.00,0.00,0.00,5.6%,115.26,118.81
92,9,2020,Colby Parkinson,Outlier,7.06,57.00,-0.56,Stanford,5,1/8/99,26.74,JR,21.30,79,252,28.39,4.77,4,0.00%,0.00%,8.68%,13.66%,18.71%,18.71%,17.77%,20.67,1.44,#DIV/0!,5.30,13.70,0.00,0.00,0.00,0.0%,97.35,108.48
93,11,2019,Foster Moreau,Outlier,6.94,56.50,-0.62,LSU,1,5/6/97,28.41,SR,21.98,76,253,30.80,4.66,4,0.00%,0.00%,5.94%,11.38%,11.90%,11.90%,11.90%,N/A,1.39,#DIV/0!,8.40,6.80,0.00,0.00,0.00,4.3%,107.30,112.82
94,8,2025,Mason Taylor,Outlier,6.89,56.00,-0.63,LSU,1,5/8/04,21.40,JR,20.98,77,251,29.76,4.65,2,0.00%,0.00%,10.98%,8.56%,14.44%,14.44%,14.44%,N/A,1.23,9.93,6.20,8.60,0.00,0.00,0.00,1.8%,107.37,115.13
95,9,2025,Mitchell Evans,Outlier,6.86,55.60,-0.65,Notre Dame,2,3/18/03,22.55,SR,22.13,77,258,30.59,4.74,5,0.00%,0.57%,2.35%,21.40%,13.19%,17.29%,17.29%,20.46,2.18,9.72,5.90,6.70,0.00,0.00,0.00,6.5%,102.22,109.61
96,10,2025,Moliki Matavao,Outlier,6.84,55.10,-0.65,UCLA,2,3/17/03,23.76,SR,22.13,78,260,30.05,4.82,7,0.00%,2.42%,3.92%,9.50%,18.99%,18.99%,18.99%,20.46,1.89,12.34,9.10,7.80,0.00,0.00,0.00,2.4%,96.34,105.32
97,13,2017,Eric Saubert,Outlier,6.79,54.60,-0.68,Drake,11,5/9/94,31.41,RS SR,22.98,77,253,30.00,4.69,5,0.00%,0.00%,0.00%,25.27%,27.57%,27.57%,16.54%,21.33,2.06,#DIV/0!,4.90,0.00,0.00,0.00,0.00,0.0%,104.58,112.14
98,10,2020,Josiah Deguara,Outlier,6.74,54.20,-0.70,Cincinnati,6,2/14/97,28.64,RS SR,23.20,74,242,31.07,4.72,3,0.00%,4.59%,9.06%,16.44%,21.27%,21.27%,18.08%,21.56,1.49,#DIV/0!,5.90,11.40,0.00,0.00,0.00,7.1%,97.52,98.51
99,9,2026,RJ Maryland,Outlier,6.74,53.70,-0.70,SMU,4,12/13/02,22.81,SR,23.39,76,237,28.85,4.6,5,0.00%,7.19%,13.29%,19.58%,6.75%,13.17%,12.51%,21.72,2.70,14.96,6.10,6.50,0.00,0.00,0.10,10586.4%,111.31,2.00
100,7,2018,Chris Herndon,Outlier,6.71,53.20,-0.71,Miami,4,2/23/96,29.61,SR,22.19,76,253,30.80,4.86,4,0.00%,0.00%,8.59%,9.37%,17.88%,17.88%,16.99%,21.55,1.62,#DIV/0!,9.30,6.00,0.00,0.00,0.00,7.0%,90.70,95.37
101,4,2015,AJ Derby,Outlier,6.64,52.80,-0.74,Arkansas,1,9/20/91,34.04,SR,23.62,77,240,28.46,4.72,6,0.00%,0.00%,0.00%,0.00%,14.65%,14.65%,14.65%,N/A,2.71,13.77,8.40,8.70,0.00,0.00,0.04,9671.0%,103.70,4.00
102,10,2026,Michael Trigg,Outlier,6.63,52.30,-0.74,Baylor,3,6/27/02,23.27,RS SR,23.85,76,246,29.94,4.7,4,6.09%,9.29%,7.59%,13.64%,16.40%,16.40%,15.58%,23.18,1.88,13.07,6.10,8.40,0.00,0.00,0.14,10082.6%,106.01,4.00
103,8,2018,Troy Fumagalli,Outlier,6.61,51.80,-0.75,Wisconsin,2,2/17/95,30.63,SR,23.20,77,247,29.29,4.84,5,0.00%,8.79%,15.23%,24.91%,23.73%,24.32%,24.32%,20.55,1.98,#DIV/0!,5.30,9.60,0.00,0.00,0.00,6.1%,90.02,96.53
104,9,2023,Brenton Strange,Outlier,6.54,51.40,-0.78,Penn State,2,12/27/00,24.77,SR,22.35,76,253,30.80,4.7,2,0.00%,1.81%,9.15%,7.62%,11.03%,11.03%,11.03%,N/A,1.44,#DIV/0!,7.30,5.20,0.00,0.00,0.00,3.0%,103.70,109.03
105,9,2018,Tyler Conklin,Outlier,6.39,50.90,-0.84,Central Michigan,9,7/30/95,30.18,SR,22.76,75,254,31.75,4.8,5,0.00%,0.00%,3.95%,16.90%,24.64%,24.64%,17.25%,21.10,1.87,#DIV/0!,4.90,12.80,0.00,0.00,0.00,14.6%,95.70,98.64
106,11,2026,Joe Royer,Outlier,6.31,50.40,-0.88,Cincinnati,3,6/1/02,23.34,RS SR,23.92,77,255,30.24,4.7,7,0.47%,0.67%,0.46%,21.91%,18.06%,19.98%,18.98%,22.25,2.19,10.44,9.90,7.40,0.00,0.00,0.00,10451.5%,112.07,6.00
107,12,2019,Isaac Nauta,Outlier,6.26,50.00,-0.89,Georgia,1,5/21/97,28.37,JR,21.94,75,244,30.50,4.91,7,0.00%,0.00%,16.96%,8.06%,13.54%,15.25%,15.25%,19.30,2.01,#DIV/0!,6.70,8.60,0.00,0.00,0.00,3.2%,83.96,86.55
108,13,2019,Trevon Wesco,Outlier,6.23,49.50,-0.91,West Virginia,4,9/12/95,30.06,SR,23.63,75,267,33.37,4.89,4,0.00%,0.00%,0.00%,0.00%,10.42%,10.42%,9.90%,N/A,1.91,#DIV/0!,9.00,4.50,0.00,0.00,0.00,10.3%,93.39,96.26
109,5,2015,Tyler Kroft,Outlier,6.21,49.00,-0.92,Rutgers,2,10/15/92,32.97,JR,22.55,78,252,29.12,4.67,3,0.00%,0.00%,2.57%,18.71%,9.10%,13.90%,13.90%,20.89,0.97,11.21,4.40,8.80,0.00,0.00,0.16,10596.5%,115.84,3.00
110,11,2022,Peyton Hendershot,Outlier,6.19,48.50,-0.93,Indiana,2,4/23/99,26.45,SR,23.03,76,250,30.43,4.8,0,0.00%,6.32%,15.77%,7.27%,28.13%,28.13%,28.13%,20.37,1.85,#DIV/0!,5.70,7.40,0.00,0.00,0.00,2.1%,94.19,99.04
111,11,2025,Luke Lachey,Outlier,6.18,48.10,-0.93,Iowa,2,6/29/01,24.26,RS JR,23.84,78,251,29.01,4.71,7,0.00%,5.68%,18.75%,36.82%,14.63%,25.72%,25.72%,21.20,1.11,8.25,5.60,6.30,0.00,0.00,0.00,3.4%,102.00,111.51
112,12,2025,Brant Kuithe,Outlier,6.16,47.60,-0.94,Utah,5,12/14/99,25.81,RS SR,25.39,74,236,30.30,4.74,0,21.87%,20.37%,20.67%,0.00%,28.14%,28.14%,26.73%,20.73,2.55,14.43,8.50,8.10,0.00,0.00,0.00,10.3%,93.50,94.46
113,11,2020,Dalton Keene,Outlier,6.12,47.10,-0.95,Virginia Tech,4,4/14/99,26.47,JR,21.04,76,253,30.80,4.71,3,0.00%,0.00%,11.62%,12.21%,11.48%,11.85%,11.25%,N/A,1.36,#DIV/0!,10.40,4.20,0.00,0.00,0.00,4.5%,102.82,108.11
114,12,2020,Jared Pinkney,Outlier,6.11,46.70,-0.96,Vanderbilt,1,8/21/97,28.12,SR,22.69,76,257,31.28,4.96,0,0.00%,15.92%,12.73%,24.30%,16.93%,20.62%,20.62%,19.04,2.28,#DIV/0!,6.80,11.10,0.00,0.00,0.00,9.1%,84.93,89.29
115,6,2015,CJ Usomah,Outlier,6.07,46.20,-0.97,Auburn,1,1/14/93,32.72,SR,22.30,77,271,32.14,4.8,5,0.00%,0.00%,7.90%,14.84%,4.86%,9.85%,9.85%,N/A,2.06,13.18,7.47,12.10,0.00,0.00,0.13,10210.2%,109.48,1.00
116,14,2019,C.J. Conrad,Outlier,6.06,45.70,-0.98,Kentucky,1,5/9/96,29.41,SR,22.98,76,249,30.31,4.8,0,0.00%,11.86%,13.27%,21.71%,16.41%,19.06%,19.06%,21.33,2.31,#DIV/0!,12.00,8.10,0.00,0.00,0.00,3.2%,93.81,98.64
117,7,2024,Theo Johnson,Outlier,6.04,45.30,-0.99,Penn State,2,2/26/01,24.60,RS JR,23.18,78,259,29.93,4.57,4,0.00%,4.38%,6.07%,11.81%,12.20%,12.20%,12.20%,N/A,1.58,10.03,5.00,7.20,0.00,0.00,0.00,0.0%,118.76,129.83
118,12,2026,Marlin Klein,Outlier Lite,5.86,44.80,-1.06,Michigan,2,9/17/02,23.04,SR,23.62,78,250,28.89,4.7,0,0.00%,0.00%,0.37%,6.44%,22.19%,22.19%,22.19%,22.96,2.22,8.31,6.60,9.30,0.00,0.00,0.10,10246.6%,112.02,8.00
119,13,2026,Tanner Koziol,Outlier Lite,5.85,44.30,-1.07,Houston,3,6/1/03,22.34,SR,22.92,79,240,27.04,4.75,0,0.00%,13.82%,17.69%,28.57%,26.33%,27.45%,26.08%,20.25,2.51,8.94,4.10,0.00,0.00,0.00,0.00,9429.0%,105.07,9.00
120,14,2017,Jeremy Sprinkle,Outlier Lite,5.76,43.40,-1.10,Arkansas,1,8/10/94,31.15,SR,22.73,77,252,29.88,4.69,5,0.00%,11.45%,3.72%,13.19%,12.05%,12.62%,12.62%,N/A,1.83,#DIV/0!,9.70,9.10,0.00,0.00,0.00,5.7%,104.17,111.70
120,12,2022,Grant Calcaterra,Outlier Lite,5.76,43.40,-1.10,SMU,6,12/4/98,26.83,SR,23.41,76,241,29.34,4.62,6,8.96%,10.22%,8.85%,0.00%,13.88%,13.88%,11.80%,N/A,2.00,#DIV/0!,7.80,14.40,0.00,0.00,0.00,5.0%,105.80,111.24
122,15,2019,Drew Sample,Outlier Lite,5.73,42.90,-1.12,Washington,5,4/16/96,29.47,SR,23.04,77,255,30.24,4.71,2,0.00%,3.76%,5.12%,7.56%,8.13%,8.13%,7.72%,N/A,0.93,#DIV/0!,8.10,8.10,0.00,0.00,0.00,0.0%,103.63,111.12
123,8,2024,Jared Wiley,Outlier Lite,5.72,42.50,-1.12,TCU,3,11/2/00,24.92,RS SR,23.50,78,249,28.77,4.62,4,0.58%,6.58%,3.02%,6.27%,13.88%,13.88%,13.19%,N/A,1.61,10.25,6.40,6.80,0.00,0.00,0.00,0.0%,109.31,119.50
124,7,2015,Jeff Heuerman,Outlier Lite,5.70,42.00,-1.13,Ohio State,2,11/24/92,32.86,SR,22.44,77,255,30.24,4.81,3,0.00%,1.79%,4.32%,22.92%,5.98%,14.45%,14.45%,20.78,0.99,12.18,4.60,9.50,0.00,0.00,0.00,9527.7%,102.16,3.00
125,9,2024,Trey Knox,Outlier Lite,5.66,41.50,-1.14,South Carolina,1,8/14/01,24.14,RS SR,22.72,77,215,25.49,4.48,0,18.14%,2.91%,5.49%,10.51%,11.22%,14.68%,14.68%,18.06,1.27,8.43,5.90,6.30,0.00,0.00,0.00,0.0%,118.99,132.60
126,10,2023,Cameron Latu,Outlier Lite,5.65,41.10,-1.15,Alabama,1,2/24/00,25.61,RS SR,23.19,76,242,29.46,4.78,3,0.00%,0.00%,0.00%,8.64%,12.14%,12.14%,12.14%,N/A,1.31,#DIV/0!,7.60,9.80,0.00,0.00,0.00,9.1%,92.71,97.48
127,15,2017,Cole Hikutini,Outlier Lite,5.61,40.60,-1.16,Louisville,4,6/11/94,31.32,SR,22.89,76,247,30.07,4.85,0,0.00%,0.00%,0.00%,14.20%,17.58%,17.58%,16.70%,22.25,2.50,#DIV/0!,8.00,10.70,0.00,0.00,0.00,9.1%,89.28,93.87
128,10,2018,Jordan Thomas,Outlier Lite,5.58,40.10,-1.18,Mississippi State,1,8/2/96,29.17,SR,21.75,77,265,31.42,4.74,5,0.00%,0.00%,0.00%,3.81%,13.13%,13.13%,13.13%,N/A,1.85,#DIV/0!,5.20,13.40,0.00,0.00,0.00,15.4%,104.99,112.58
129,14,2026,Oscar Delp,Outlier Lite,5.54,39.70,-1.19,Georgia,1,8/4/03,22.16,SR,22.75,77,245,29.05,4.52,6,0.00%,1.59%,6.64%,6.30%,6.51%,6.57%,6.57%,N/A,1.07,11.81,9.30,0.00,0.00,0.00,0.00,11739.3%,125.88,0.00
130,11,2018,Durham Smythe,Outlier Lite,5.52,39.20,-1.20,Notre Dame,2,8/9/95,30.16,SR,22.73,77,253,30.00,4.81,4,0.00%,2.45%,1.42%,5.51%,13.64%,13.64%,13.64%,N/A,1.06,#DIV/0!,5.10,13.40,0.00,0.00,0.00,0.0%,94.53,101.36
131,9,2021,Noah Gray,Outlier Lite,5.38,38.70,-1.26,Duke,4,4/30/99,26.43,SR,22.01,75,240,30.00,4.55,5,0.00%,4.33%,10.56%,18.03%,12.80%,15.42%,14.65%,20.35,1.36,#DIV/0!,4.40,9.10,0.00,0.00,0.00,6.5%,111.99,115.44
132,12,2018,Will Dissly,Outlier Lite,5.36,38.30,-1.27,Washington,5,7/8/96,29.24,SR,21.81,76,262,31.89,4.87,4,0.00%,0.00%,0.00%,3.03%,13.01%,13.01%,12.36%,N/A,1.40,#DIV/0!,7.80,7.30,0.00,0.00,0.00,0.0%,93.16,97.95
133,13,2022,Jalen Wydermyer,Outlier Lite,5.34,37.80,-1.28,Texas A&M,1,12/20/00,24.79,JR,21.37,76,255,31.04,5.03,0,0.00%,0.00%,15.82%,21.61%,20.57%,21.09%,21.09%,18.71,1.68,#DIV/0!,4.80,9.80,0.00,0.00,0.00,16.7%,79.67,83.77
134,8,2015,Kennard Backman,Outlier Lite,5.31,36.90,-1.29,UAB,10,2/26/93,32.61,SR,22.18,75,258,32.25,4.66,6,0.00%,1.53%,6.34%,11.71%,15.24%,15.24%,10.67%,21.53,2.17,10.84,6.30,5.40,0.00,0.00,0.05,10942.2%,112.79,1.00
134,17,2017,Pharaoh Brown,Outlier Lite,5.31,36.90,-1.29,Oregon,5,5/4/94,31.42,RS SR,23.00,78,255,29.47,4.83,0,1.58%,7.03%,14.93%,0.00%,17.84%,17.84%,16.95%,22.36,1.87,#DIV/0!,8.00,10.30,0.00,0.00,0.00,10.8%,93.71,102.45
136,13,2025,Joshua Simon,Outlier Lite,5.30,36.40,-1.29,South Carolina,1,11/27/00,24.27,RS SR,24.43,76,239,29.09,4.66,0,18.65%,16.83%,5.62%,7.67%,17.87%,18.26%,18.26%,18.77,1.65,12.98,8.70,6.50,0.00,0.00,0.00,4.8%,101.36,106.58
137,16,2019,Tommy Sweeney,Outlier Lite,5.27,35.90,-1.30,Boston College,4,7/1/95,30.26,SR,23.83,76,251,30.55,4.83,7,0.00%,15.33%,22.32%,25.66%,14.69%,20.18%,19.17%,20.18,1.48,#DIV/0!,8.30,9.90,0.00,0.00,0.00,5.9%,92.24,96.99
138,14,2025,Benjamin Yurosek,Outlier Lite,5.24,35.50,-1.32,Georgia,5,3/17/02,23.55,RS SR,23.13,76,245,29.82,4.64,0,0.00%,27.67%,14.55%,17.10%,4.70%,16.19%,15.38%,19.47,1.53,12.33,6.90,7.30,0.00,0.00,0.00,6.3%,105.71,111.15
139,14,2022,Nick Muse,Outlier Lite,5.24,35.00,-1.32,South Carolina,1,11/25/98,26.86,RS SR,23.44,77,259,30.71,4.71,7,0.00%,0.00%,10.15%,25.23%,10.03%,17.63%,17.63%,21.79,1.63,#DIV/0!,6.30,10.20,0.00,0.00,0.00,9.1%,105.26,112.86
140,10,2024,Tip Reiman,Outlier Lite,5.21,34.50,-1.33,Illinois,2,9/17/01,24.04,RS JR,22.62,77,271,32.14,4.64,3,0.00%,0.00%,2.29%,6.25%,6.39%,6.39%,6.39%,N/A,0.84,9.05,6.90,6.00,0.00,0.00,0.00,0.0%,116.93,125.38
141,11,2023,Zack Kuntz,Outlier Lite,5.21,34.10,-1.33,Old Dominion,11,6/6/99,26.33,RS SR,23.91,79,255,28.73,4.55,7,3.67%,4.07%,0.00%,24.78%,11.65%,18.22%,10.93%,22.24,2.16,#DIV/0!,3.80,9.60,0.00,0.00,0.00,7.7%,118.99,132.60
142,6,2016,David Morgan,Outlier Lite,5.19,33.60,-1.34,UTSA,10,5/19/93,32.38,SR,22.96,76,265,32.26,5.02,6,0.00%,0.00%,5.69%,16.16%,24.31%,24.31%,17.02%,21.30,2.50,12.58,4.30,9.90,0.00,0.00,0.04,8345.7%,87.75,5.00
143,15,2022,Cole Turner,Outlier Lite,5.17,33.10,-1.35,Nevada,7,3/16/00,25.55,SR,22.13,78,246,28.43,4.76,5,0.00%,6.64%,5.11%,21.07%,17.78%,19.42%,14.76%,20.49,1.75,#DIV/0!,3.00,11.50,0.00,0.00,0.00,4.6%,95.84,104.77
144,16,2022,Andrew Ogletree,Outlier Lite,5.14,32.70,-1.36,Youngstown State,11,7/28/98,27.19,SR,23.77,77,261,30.95,4.76,6,0.00%,0.00%,0.00%,15.50%,21.06%,21.06%,12.64%,22.12,2.06,#DIV/0!,7.47,0.00,0.00,0.00,0.00,0.0%,101.68,109.03
145,13,2020,Sean McKeon,Outlier Lite,5.14,32.20,-1.36,Michigan,2,12/28/97,27.77,SR,22.33,77,242,28.70,4.72,0,0.00%,4.72%,14.41%,8.08%,13.39%,13.90%,13.90%,N/A,1.57,#DIV/0!,7.10,11.60,0.00,0.00,0.00,7.1%,97.52,104.56
146,10,2021,Tommy Tremble,Outlier Lite,5.12,31.70,-1.37,Notre Dame,2,6/2/00,25.34,JR,20.92,75,241,30.12,4.6,3,0.00%,0.00%,0.00%,8.06%,9.18%,9.18%,9.18%,N/A,1.25,#DIV/0!,4.90,8.80,0.00,0.00,0.00,9.5%,107.65,110.96
147,17,2022,Jeremy Ruckert,Outlier Lite,5.11,31.30,-1.37,Ohio State,2,8/11/00,25.15,SR,21.73,77,250,29.65,4.76,3,0.00%,3.62%,6.00%,11.50%,7.37%,9.44%,9.44%,N/A,1.22,#DIV/0!,5.70,9.40,0.00,0.00,0.00,3.7%,97.40,104.44
148,11,2021,Nick Eubanks,Outlier Lite,5.04,30.80,-1.40,Michigan,2,11/21/96,28.87,RS SR,24.45,76,256,31.16,4.69,0,0.00%,35.67%,12.13%,8.44%,9.35%,22.51%,22.51%,20.79,1.09,#DIV/0!,4.10,10.10,0.00,0.00,0.00,0.0%,105.82,111.27
149,11,2024,Thomas Yassmin,Purgatory,4.91,30.30,-1.46,Utah,5,12/17/99,25.80,RS SR,24.38,77,252,29.88,4.68,0,0.00%,0.00%,2.80%,9.11%,10.74%,10.74%,10.20%,N/A,2.02,11.13,15.00,6.30,0.00,0.00,0.00,0.0%,105.06,112.66
150,13,2018,Ryan Izzo,Purgatory,4.90,29.90,-1.46,Florida State,4,12/21/95,29.79,RS JR,22.36,77,256,30.36,4.94,6,0.00%,2.31%,9.12%,8.60%,18.01%,18.01%,17.11%,21.72,1.06,#DIV/0!,6.80,9.70,0.00,0.00,0.00,0.0%,85.97,92.19
151,9,2015,James O'Shaughnessy,Purgatory,4.89,29.40,-1.46,Illinois State,11,2/17/93,32.63,SR,22.20,76,245,29.82,4.68,5,0.00%,0.00%,0.00%,0.00%,16.31%,16.31%,9.79%,21.55,0.00,18.76,0.00,0.00,0.00,0.00,0.00,10214.4%,107.40,1.00
152,15,2025,Jalin Conyers,Purgatory,4.84,28.90,-1.48,Texas Tech,3,7/25/02,23.19,RS SR,22.77,75,260,32.50,4.75,0,0.00%,2.89%,13.60%,15.65%,8.30%,11.97%,11.37%,21.11,1.98,12.07,9.60,7.40,0.00,0.00,0.00,6.3%,102.15,105.29
153,16,2025,Rivaldo Fairweather,Purgatory,4.83,28.50,-1.49,Auburn,1,7/19/02,23.21,RS SR,22.79,76,251,30.55,4.72,0,26.74%,10.35%,16.38%,18.63%,11.75%,19.24%,19.24%,17.13,1.42,12.00,4.30,10.20,0.00,0.00,0.00,6.1%,101.14,106.35
154,12,2024,Tanner McLachlan,Purgatory,4.82,28.00,-1.49,Arizona,5,3/15/99,26.56,SR,25.14,77,244,28.93,4.61,6,0.00%,0.00%,0.00%,11.93%,13.22%,13.22%,12.56%,N/A,1.36,13.41,6.30,6.90,0.00,0.00,0.00,0.0%,108.05,115.86
155,12,2023,Marshon Ford,Purgatory,4.75,27.50,-1.52,Louisville,4,6/22/00,25.28,RS SR,22.86,74,240,30.81,4.79,0,0.00%,13.85%,12.65%,17.82%,16.25%,17.03%,16.18%,21.20,1.99,#DIV/0!,6.60,9.10,0.00,0.00,0.00,10.8%,91.18,92.11
156,16,2017,Blake Jarwin,Purgatory,4.71,27.10,-1.54,Oregon State,5,7/16/94,31.22,SR,22.80,77,246,29.17,4.73,0,0.00%,0.00%,6.31%,6.32%,11.06%,11.06%,10.50%,N/A,1.53,#DIV/0!,9.60,14.20,0.00,0.00,0.00,0.0%,98.29,105.40
157,17,2025,Gavin Bartholomew,Purgatory,4.58,26.60,-1.59,Pitt,4,4/30/03,22.43,SR,22.01,77,246,29.17,4.71,6,0.00%,6.90%,9.77%,15.09%,9.28%,12.19%,11.58%,19.34,1.56,8.47,6.70,4.80,0.00,0.00,0.00,7.3%,99.97,107.20
158,7,2016,Nick Vannett,Purgatory,4.56,26.10,-1.60,Ohio State,2,3/6/93,32.58,SR,23.16,78,261,30.16,4.85,3,0.00%,5.65%,7.87%,6.36%,6.60%,7.24%,7.24%,N/A,1.29,8.53,5.20,8.20,0.00,0.00,0.05,9434.2%,103.14,0.00
159,13,2023,Payne Durham,Purgatory,4.54,25.70,-1.61,Purdue,2,6/15/00,25.30,SR,22.88,78,255,29.47,4.87,5,0.00%,3.78%,8.95%,13.14%,15.45%,15.45%,15.45%,22.21,1.66,#DIV/0!,6.40,7.20,0.00,0.00,0.00,3.4%,90.67,99.12
160,15,2026,Matt Lauter,Purgatory,4.51,25.20,-1.62,Boise State,7,6/1/03,22.34,SR,22.92,75,240,30.00,4.7,0,0.00%,1.50%,5.46%,19.40%,11.77%,15.59%,11.85%,21.25,1.99,13.04,8.10,6.30,0.00,0.00,0.17,9836.7%,101.39,2.00
161,16,2026,Chamon Metayer,Purgatory,4.48,24.70,-1.63,Arizona State,3,6/1/03,22.34,RS SR,22.92,76,250,30.43,4.7,0,0.00%,2.20%,11.22%,9.52%,18.05%,18.05%,17.15%,22.25,1.71,9.56,8.00,3.50,0.00,0.00,0.00,10246.6%,107.74,5.00
162,13,2024,Mason Fairchild,Purgatory,4.43,24.20,-1.65,Kansas,3,8/30/01,24.09,RS SR,22.67,77,250,29.65,4.85,0,1.15%,4.10%,6.30%,13.40%,14.45%,14.45%,13.73%,N/A,1.77,16.70,7.60,10.80,0.00,0.00,0.00,0.0%,90.37,96.90
163,14,2023,Josh Whyle,Purgatory,4.40,23.80,-1.66,Cincinnati,6,9/8/99,26.07,SR,23.65,79,248,27.94,4.69,5,0.00%,13.99%,14.79%,10.52%,11.19%,12.99%,11.04%,N/A,1.58,#DIV/0!,6.30,8.00,0.00,0.00,0.00,3.0%,102.52,114.24
164,10,2015,Nick O'Leary,Purgatory,4.38,23.30,-1.67,Florida State,4,8/31/92,33.10,SR,22.67,75,252,31.50,4.93,6,0.00%,4.91%,7.31%,14.69%,14.44%,14.57%,13.84%,N/A,1.91,12.77,7.30,11.50,0.00,0.00,0.02,8531.8%,87.94,3.00
165,18,2017,Mason Schreck,Purgatory,4.29,22.80,-1.71,Buffalo,9,11/4/93,31.92,SR,23.49,76,253,30.80,4.76,7,0.00%,5.39%,6.82%,9.35%,27.06%,27.06%,18.94%,22.85,1.75,#DIV/0!,5.00,11.70,0.00,0.00,0.00,7.8%,98.56,103.64
166,12,2021,John Bates,Purgatory,4.26,22.40,-1.72,Boise State,7,11/6/97,27.91,SR,23.49,77,250,29.65,4.84,4,0.00%,6.47%,7.58%,9.48%,16.12%,16.12%,12.25%,22.85,1.83,#DIV/0!,5.20,8.40,0.00,0.00,0.00,0.0%,91.11,97.70
167,14,2024,Devin Culp,Purgatory,4.17,21.90,-1.76,Washington,5,2/2/00,25.67,SR,24.25,75,231,28.87,4.47,7,0.00%,3.31%,8.22%,5.53%,4.03%,6.13%,5.82%,N/A,1.65,9.17,9.40,8.10,0.00,0.00,0.00,0.0%,115.72,119.28
168,15,2024,AJ Barner,Purgatory,4.14,21.40,-1.77,Michigan,2,5/3/02,23.42,SR,22.00,78,251,29.01,4.84,4,0.00%,0.00%,7.69%,9.15%,7.77%,8.46%,8.46%,N/A,1.19,11.32,4.90,8.20,0.00,0.00,0.00,0.0%,91.48,100.01
169,15,2023,Travis Vokolek,Purgatory,4.13,21.00,-1.78,Nebraska,2,6/4/98,27.33,RS SR,24.91,78,259,29.93,4.86,0,19.88%,0.00%,9.57%,6.81%,10.87%,15.38%,15.38%,20.26,1.05,#DIV/0!,6.90,7.20,0.00,0.00,0.00,13.0%,92.85,101.51
170,16,2024,Brevyn Spann-Ford,Purgatory,4.11,20.50,-1.78,Minnesota,2,12/27/99,25.77,RS SR,24.35,78,260,30.05,4.77,0,1.23%,0.33%,11.95%,20.98%,13.89%,17.44%,17.44%,22.68,2.22,9.56,5.90,6.30,0.00,0.00,0.00,0.0%,100.45,109.81
171,17,2019,Alize Mack,Purgatory,4.04,20.00,-1.82,Notre Dame,2,3/29/97,28.52,SR,22.09,76,249,30.31,4.7,7,0.00%,12.25%,0.00%,15.46%,11.65%,13.56%,13.56%,20.44,1.25,#DIV/0!,4.50,8.00,0.00,0.00,0.00,5.3%,102.06,107.31
172,16,2023,Brayden Willis,Purgatory,4.01,19.60,-1.83,Oklahoma,3,11/11/99,25.90,RS SR,23.47,76,241,29.34,4.75,7,4.49%,4.71%,8.73%,9.00%,15.20%,15.20%,14.44%,22.81,1.37,#DIV/0!,7.20,6.80,0.00,0.00,0.00,7.1%,94.68,99.55
173,18,2025,Thomas Fidone,Purgatory,3.96,19.10,-1.85,Nebraska,2,9/20/02,22.46,RS JR,22.62,77,243,28.82,4.7,7,0.00%,0.00%,0.00%,15.94%,12.56%,14.25%,14.25%,19.95,1.41,10.36,4.50,6.90,0.00,0.00,0.00,2.7%,99.60,106.79
174,11,2015,Blake Bell,Purgatory,3.91,18.60,-1.87,Oklahoma,3,8/7/91,34.16,SR,23.74,78,252,29.12,4.8,4,0.00%,0.00%,0.00%,0.00%,8.76%,8.76%,8.33%,N/A,0.83,13.38,4.80,11.80,0.00,0.00,0.11,9494.4%,103.80,0.00
175,13,2021,Tony Poljan,Purgatory,3.81,18.20,-1.91,Virginia,4,4/25/97,28.44,SR,24.03,79,265,29.85,4.9,0,0.00%,3.45%,8.45%,16.39%,15.77%,16.39%,15.57%,22.36,1.71,#DIV/0!,7.80,10.70,0.00,0.00,0.00,2.9%,91.94,102.45
