Season,Team,Att,G,W,L,T,W-L%,Pts,PtsO,PtDif,Att,Yds,Y/A,TD
2014,Nebraska,587,12,9,4,0,.692,491,343,148,587,3123,5.3,35
2007,Wisconsin,587,13,9,4,0,.692,383,301,82,587,2610,4.4,29
2013,Minnesota,586,12,8,5,0,.615,334,289,45,586,2538,4.3,23
2002,Minnesota,586,13,8,5,0,.615,376,319,57,586,2727,4.7,22
2013,Nebraska,584,13,9,4,0,.692,415,323,92,584,2804,4.8,24
2010,Wisconsin,584,13,11,2,0,.846,539,267,272,584,3194,5.5,48
2016,Ohio State,583,13,11,2,0,.846,512,201,311,583,3188,5.5,33
2002,Purdue,582,13,7,6,0,.538,386,288,98,582,2555,4.4,26
2022,Minnesota,581,13,9,4,0,.692,367,180,187,581,2695,4.6,33
2009,Wisconsin,581,13,10,3,0,.769,413,283,130,581,2650,4.6,33
2007,Michigan State,580,13,7,6,0,.538,430,346,84,580,2576,4.4,29
2011,Northwestern,577,13,6,7,0,.462,376,360,16,577,2166,3.8,25
2021,Michigan,575,14,12,2,0,.857,501,243,258,575,3001,5.2,39
2003,Wisconsin,573,13,7,6,0,.538,355,306,49,573,2301,4.0,23
2000,Wisconsin,573,12,9,4,0,.692,307,245,62,573,2381,4.2,20
2005,Wisconsin,572,13,10,3,0,.769,446,309,137,572,2186,3.8,31
2004,Minnesota,572,12,7,5,0,.583,361,273,88,572,3082,5.4,29
2018,Wisconsin,571,13,8,5,0,.615,386,294,92,571,3554,6.2,32
2016,Michigan,571,13,10,3,0,.769,524,183,341,571,2773,4.9,41
2018,Ohio State,570,14,13,1,0,.929,593,357,236,570,2478,4.3,24
2013,Michigan State,569,14,13,1,0,.929,411,185,226,569,2433,4.3,23
2015,Iowa,568,14,12,2,0,.857,433,285,148,568,2544,4.5,35
2015,Ohio State,568,13,12,1,0,.923,464,196,268,568,3189,5.6,39
2008,Wisconsin,567,13,7,6,0,.538,357,345,12,567,2745,4.8,31
2000,Northwestern,565,11,8,4,0,.667,424,334,90,565,2830,5.0,36
2023,Michigan,563,15,15,0,0,1.000,538,156,382,563,2536,4.5,40
2021,Wisconsin,563,13,9,4,0,.692,330,210,120,563,2744,4.9,26
2011,Ohio State,563,13,6,7,0,.462,318,273,45,563,2485,4.4,20
2009,Ohio State,563,13,11,2,0,.846,377,163,214,563,2540,4.5,20
2019,Minnesota,560,13,11,2,0,.846,443,293,150,560,2323,4.1,25
2011,Michigan,560,13,11,2,0,.846,433,226,207,560,2884,5.2,31
2012,Ohio State,559,12,12,0,0,1.000,446,274,172,559,2907,5.2,37
2016,Minnesota,558,13,9,4,0,.692,381,287,94,558,2387,4.3,34
2013,Iowa,557,13,8,5,0,.615,342,246,96,557,2339,4.2,18
2013,Wisconsin,557,13,9,4,0,.692,453,212,241,557,3689,6.6,35
2010,Northwestern,557,13,7,6,0,.538,343,377,-34,557,2027,3.6,22
2010,Michigan,556,13,7,6,0,.538,426,458,-32,556,3101,5.6,35
2003,Indiana,555,12,2,10,0,.167,177,388,-211,555,1863,3.4,15
2007,Ohio State,554,13,11,2,0,.846,408,166,242,554,2560,4.6,21
2002,Iowa,553,13,11,2,0,.846,484,256,228,553,2784,5.0,24
2003,Purdue,552,13,9,4,0,.692,349,226,123,552,1936,3.5,22
2015,Michigan State,551,14,12,2,0,.857,417,304,113,551,2119,3.8,24
2011,Illinois,550,13,7,6,0,.538,294,255,39,550,2232,4.1,21
2018,Michigan,549,13,10,3,0,.769,457,252,205,549,2649,4.8,26
2010,Ohio State,547,13,12,1,0,.923,504,186,318,547,2861,5.2,27
2017,Michigan State,544,13,10,3,0,.769,319,260,59,544,2189,4.0,18
2022,Illinois,543,13,8,5,0,.615,315,166,149,543,2161,4.0,18
2001,Indiana,541,11,5,6,0,.455,305,298,7,541,2964,5.5,33
2019,Nebraska,540,12,5,7,0,.417,336,333,3,540,2454,4.5,27
2008,Ohio State,540,13,10,3,0,.769,359,181,178,540,2502,4.6,21
2007,Michigan,540,13,9,4,0,.692,354,278,76,540,2144,4.0,20
2014,Indiana,539,12,4,8,0,.333,301,394,-93,539,3163,5.9,29
2003,Michigan,538,13,10,3,0,.769,460,219,241,538,2287,4.3,29
2017,Northwestern,537,13,10,3,0,.769,380,261,119,537,2264,4.2,30
2016,Penn State,536,14,11,3,0,.786,526,356,170,536,2449,4.6,34
2006,Wisconsin,536,13,12,1,0,.923,380,157,223,536,2102,3.9,24
2011,Purdue,535,13,7,6,0,.538,350,349,1,535,2361,4.4,22
2006,Michigan,535,13,11,2,0,.846,380,207,173,535,2282,4.3,21
2024,Ohio State,534,16,14,2,0,.875,571,206,365,534,2662,5.0,34
2016,Indiana,534,13,6,7,0,.462,335,354,-19,534,1979,3.7,18
2003,Iowa,534,13,10,3,0,.769,373,210,163,534,2248,4.2,20
2016,Maryland,533,13,6,7,0,.462,335,384,-49,533,2594,4.9,26
2004,Wisconsin,532,12,9,3,0,.750,249,185,64,532,1931,3.6,18
2019,Northwestern,529,12,3,9,0,.250,196,283,-87,529,2162,4.1,17
2017,Michigan,529,13,8,5,0,.615,328,245,83,529,2310,4.4,26
2007,Penn State,528,13,9,4,0,.692,394,228,166,528,2519,4.8,27
2002,Penn State,526,13,9,4,0,.692,446,227,219,526,2972,5.7,36
2017,Minnesota,525,12,5,7,0,.417,265,274,-9,525,2189,4.2,20
2018,Minnesota,523,13,7,6,0,.538,376,345,31,523,2226,4.3,23
2016,Nebraska,522,13,9,4,0,.692,345,311,34,522,2200,4.2,24
2018,Penn State,520,13,9,4,0,.692,439,267,172,520,2663,5.1,34
2018,Northwestern,518,14,9,5,0,.643,339,325,14,518,1609,3.1,25
2024,Rutgers,517,13,7,6,0,.538,376,330,46,517,2279,4.4,28
2023,Rutgers,517,13,7,6,0,.538,302,276,26,517,2193,4.2,24
2012,Minnesota,517,13,6,7,0,.462,287,321,-34,517,1975,3.8,14
2023,Penn State,515,13,10,3,0,.769,471,175,296,515,2403,4.7,26
2011,Penn State,515,13,9,4,0,.692,251,218,33,515,2150,4.2,18
2008,Iowa,515,13,9,4,0,.692,394,169,225,515,2453,4.8,30
2014,Iowa,514,13,7,6,0,.538,367,333,34,514,2120,4.1,22
2001,Ohio State,513,11,7,5,0,.583,284,213,71,513,2093,4.1,23
2015,Wisconsin,512,13,10,3,0,.769,348,178,170,512,1954,3.8,27
2001,Wisconsin,512,12,5,7,0,.417,313,346,-33,512,2123,4.1,21
2019,Penn State,511,13,11,2,0,.846,465,208,257,511,2496,4.9,34
2008,Michigan State,511,13,9,4,0,.692,326,287,39,511,1692,3.3,24
2008,Penn State,511,13,11,2,0,.846,506,187,319,511,2676,5.2,36
2013,Northwestern,507,12,5,7,0,.417,314,325,-11,507,2069,4.1,16
2021,Iowa,506,14,10,4,0,.714,328,269,59,506,1733,3.4,18
2005,Ohio State,506,12,10,2,0,.833,392,183,209,506,2360,4.7,23
2023,Minnesota,505,13,6,7,0,.462,272,347,-75,505,2048,4.1,13
2002,Michigan,505,13,10,3,0,.769,361,265,96,505,1929,3.8,25
2009,Northwestern,503,13,8,5,0,.615,337,318,19,503,1528,3.0,18
2005,Penn State,503,12,11,1,0,.917,413,204,209,503,2553,5.1,29
2000,Indiana,503,11,3,8,0,.273,337,427,-90,503,2934,5.8,34
2016,Iowa,502,13,8,5,0,.615,324,245,79,502,2234,4.5,23
2012,Michigan,502,13,8,5,0,.615,388,258,130,502,2389,4.8,27
2024,Iowa,501,13,8,5,0,.615,360,232,128,501,2564,5.1,30
2022,Wisconsin,501,13,7,6,0,.538,342,263,79,501,2337,4.7,21
2016,Northwestern,501,13,7,6,0,.538,338,289,49,501,1991,4.0,22
2013,Penn State,501,12,7,5,0,.583,344,314,30,501,2088,4.2,22
2004,Michigan State,500,12,5,7,0,.417,353,326,27,500,2862,5.7,22
2000,Michigan,500,11,9,3,0,.750,373,201,172,500,2422,4.8,23
2024,Oregon,499,14,13,1,0,.929,488,272,216,499,2211,4.4,30
2021,Rutgers,499,13,5,8,0,.385,256,333,-77,499,1802,3.6,20
2005,Michigan,499,12,7,5,0,.583,345,244,101,499,1939,3.9,16
2001,Northwestern,499,11,4,7,0,.364,320,378,-58,499,2044,4.1,21
2013,Michigan,498,13,7,6,0,.538,419,349,70,498,1634,3.3,27
2009,Illinois,497,12,3,9,0,.250,290,362,-72,497,2405,4.8,22
2015,Nebraska,496,13,6,7,0,.462,427,362,65,496,2340,4.7,24
2009,Michigan,494,12,5,7,0,.417,354,330,24,494,2234,4.5,27
2003,Ohio State,494,13,11,2,0,.846,322,229,93,494,1639,3.3,14
2012,Michigan State,492,13,7,6,0,.538,260,212,48,492,1942,3.9,13
2011,Indiana,492,12,1,11,0,.083,257,448,-191,492,1932,3.9,18
2024,Indiana,491,13,11,2,0,.846,537,203,334,491,2146,4.4,37
2019,Michigan,491,13,9,4,0,.692,412,269,143,491,1966,4.0,26
2015,Michigan,491,13,10,3,0,.769,408,213,195,491,2057,4.2,27
2008,Northwestern,491,13,9,4,0,.692,317,262,55,491,1843,3.8,15
2021,Nebraska,490,12,3,9,0,.250,335,272,63,490,2174,4.4,31
2018,Illinois,490,12,4,8,0,.333,312,473,-161,490,2937,6.0,25
2022,Penn State,489,13,11,2,0,.846,465,237,228,489,2354,4.8,28
2019,Illinois,489,13,6,7,0,.462,347,340,7,489,1877,3.8,19
2014,Rutgers,489,13,8,5,0,.615,347,392,-45,489,2114,4.3,21
2011,Michigan State,489,14,11,3,0,.786,434,257,177,489,1931,3.9,21
2018,Iowa,488,13,9,4,0,.692,405,231,174,488,1929,4.0,19
2016,Rutgers,488,12,2,10,0,.167,188,450,-262,488,1743,3.6,8
2024,Michigan,486,13,8,5,0,.615,286,259,27,486,2043,4.2,18
2023,Iowa,486,14,10,4,0,.714,216,207,9,486,1623,3.3,11
2018,Maryland,486,12,5,7,0,.417,342,344,-2,486,2763,5.7,25
2014,Northwestern,486,12,5,7,0,.417,276,302,-26,486,1639,3.4,20
2000,Minnesota,483,11,6,6,0,.500,345,280,65,483,2063,4.3,17
2017,Iowa,481,13,8,5,0,.615,367,259,108,481,1810,3.8,17
2004,Michigan,481,12,9,3,0,.750,370,279,91,481,1843,3.8,15
2006,Ohio State,480,13,12,1,0,.923,450,166,284,480,2208,4.6,25
2023,Nebraska,478,12,5,7,0,.417,216,219,-3,478,2122,4.4,16
2000,Michigan State,478,11,5,6,0,.455,197,233,-36,478,1874,3.9,14
2021,Michigan State,477,13,11,2,0,.846,414,329,85,477,2295,4.8,23
2000,Ohio State,477,11,8,4,0,.667,324,198,126,477,1781,3.7,18
2012,Penn State,475,12,8,4,0,.667,349,229,120,475,1727,3.6,18
2012,Purdue,475,13,6,7,0,.462,373,406,-33,475,2135,4.5,16
2007,Indiana,475,13,7,6,0,.538,412,370,42,475,2046,4.3,18
2016,Michigan State,471,12,3,9,0,.250,289,333,-44,471,2072,4.4,14
2004,Indiana,471,11,3,8,0,.273,262,343,-81,471,1476,3.1,13
2015,Rutgers,470,12,4,8,0,.333,325,419,-94,470,2039,4.3,17
2011,Minnesota,470,12,3,9,0,.250,221,380,-159,470,1920,4.1,14
2022,Maryland,469,13,8,5,0,.615,366,301,65,469,1837,3.9,23
2022,Northwestern,469,12,1,11,0,.083,165,340,-175,469,1501,3.2,11
2009,Penn State,467,13,11,2,0,.846,375,159,216,467,2207,4.7,20
2006,Minnesota,467,13,6,7,0,.462,376,338,38,467,2007,4.3,25
2001,Illinois,467,11,10,2,0,.833,356,238,118,467,1653,3.5,13
2022,Ohio State,466,13,11,2,0,.846,575,273,302,466,2501,5.4,30
2022,Purdue,466,14,8,6,0,.571,372,383,-11,466,1694,3.6,17
2021,Illinois,466,12,5,7,0,.417,242,263,-21,466,2086,4.5,12
2018,Michigan State,465,13,7,6,0,.538,243,223,20,465,1623,3.5,14
2001,Minnesota,465,11,4,7,0,.364,308,299,9,465,2389,5.1,20
2019,Indiana,464,13,8,5,0,.615,413,317,96,464,1700,3.7,24
2018,Nebraska,464,12,4,8,0,.333,360,375,-15,464,2508,5.4,25
2019,Michigan State,463,13,7,6,0,.538,291,293,-2,463,1666,3.6,12
2023,Purdue,462,12,4,8,0,.333,287,365,-78,462,2029,4.4,20
2005,Northwestern,462,12,7,5,0,.583,388,407,-19,462,2323,5.0,25
2002,Illinois,461,12,5,7,0,.417,346,307,39,461,1968,4.3,13
2008,Illinois,460,12,5,7,0,.417,344,319,25,460,2034,4.4,17
2023,Northwestern,458,13,8,5,0,.615,287,293,-6,458,1325,2.9,14
2013,Indiana,458,12,5,7,0,.417,461,466,-5,458,2422,5.3,25
2006,Penn State,457,13,9,4,0,.692,290,187,103,457,1950,4.3,16
2001,Michigan State,455,11,7,5,0,.583,330,276,54,455,1644,3.6,17
2023,Wisconsin,454,13,7,6,0,.538,305,262,43,454,2093,4.6,22
2019,Rutgers,454,12,2,10,0,.167,159,440,-281,454,1612,3.6,11
2011,Iowa,454,13,7,6,0,.538,358,310,48,454,1790,3.9,18
2009,Iowa,454,13,11,2,0,.846,301,200,101,454,1485,3.3,13
2019,Iowa,453,13,10,3,0,.769,335,182,153,453,1789,3.9,17
2008,Michigan,453,12,3,9,0,.250,243,347,-104,453,1771,3.9,17
2005,Michigan State,453,11,5,6,0,.455,372,316,56,453,2220,4.9,22
2024,Illinois,452,13,10,3,0,.769,368,282,86,452,1997,4.4,22
2021,Northwestern,451,12,3,9,0,.250,199,348,-149,451,1741,3.9,12
2017,Penn State,451,13,11,2,0,.846,534,214,320,451,2212,4.9,36
2014,Penn State,451,13,7,6,0,.538,268,242,26,451,1325,2.9,13
2000,Penn State,450,12,5,7,0,.417,264,293,-29,450,1707,3.8,15
2017,Indiana,449,12,5,7,0,.417,322,304,18,449,1561,3.5,11
2010,Iowa,449,13,8,5,0,.615,376,221,155,449,1929,4.3,16
2001,Michigan,449,11,8,4,0,.667,303,192,111,449,1613,3.6,18
2024,Nebraska,448,13,7,6,0,.538,306,253,53,448,1698,3.8,22
2010,Penn State,448,13,7,6,0,.538,319,308,11,448,1853,4.1,16
2017,Purdue,447,13,7,6,0,.538,328,267,61,447,1970,4.4,12
2010,Minnesota,447,12,3,9,0,.250,278,396,-118,447,1623,3.6,14
2015,Minnesota,446,13,6,7,0,.462,292,327,-35,446,1873,4.2,17
2008,Indiana,445,12,3,9,0,.250,246,423,-177,445,2003,4.5,19
2004,Northwestern,445,12,6,6,0,.500,295,342,-47,445,2066,4.6,23
2010,Michigan State,444,13,11,2,0,.846,383,290,93,444,1978,4.5,25
2001,Iowa,444,11,7,5,0,.583,372,242,130,444,1926,4.3,28
2012,Illinois,443,12,2,10,0,.167,200,385,-185,443,1534,3.5,12
2010,Purdue,442,12,4,8,0,.333,236,345,-109,442,1930,4.4,12
2015,Maryland,441,12,3,9,0,.250,296,413,-117,441,2408,5.5,20
2004,Ohio State,441,12,8,4,0,.667,290,219,71,441,1745,4.0,11
2007,Iowa,438,12,6,6,0,.500,222,225,-3,438,1515,3.5,11
2005,Illinois,438,11,2,9,0,.182,187,435,-248,438,1740,4.0,9
2021,Penn State,437,13,7,6,0,.538,325,225,100,437,1402,3.2,11
2017,Rutgers,437,12,4,8,0,.333,216,340,-124,437,1783,4.1,19
2002,Northwestern,437,12,3,9,0,.250,272,493,-221,437,1884,4.3,25
2017,Maryland,436,12,4,8,0,.333,289,445,-156,436,1940,4.4,19
2008,Minnesota,436,13,7,6,0,.538,302,322,-20,436,1350,3.1,20
2005,Iowa,436,12,7,5,0,.583,360,240,120,436,2096,4.8,19
2000,Illinois,435,11,5,6,0,.455,294,286,8,435,1790,4.1,14
2006,Illinois,434,12,2,10,0,.167,235,321,-86,434,2266,5.2,15
2002,Indiana,434,12,3,9,0,.250,258,445,-187,434,1398,3.2,12
2023,Indiana,433,12,3,9,0,.250,266,359,-93,433,1441,3.3,13
2007,Minnesota,433,12,1,11,0,.083,315,440,-125,433,1941,4.5,15
2021,Maryland,432,13,7,6,0,.538,381,399,-18,432,1785,4.1,20
2006,Iowa,432,13,6,7,0,.462,310,269,41,432,1865,4.3,16
2023,Ohio State,431,13,11,2,0,.846,397,146,251,431,1805,4.2,20
2022,Rutgers,430,12,4,8,0,.333,209,351,-142,430,1533,3.6,11
2009,Minnesota,430,13,6,7,0,.462,272,309,-37,430,1293,3.0,13
2002,Michigan State,430,12,4,8,0,.333,316,398,-82,430,1709,4.0,14
2018,Indiana,428,12,5,7,0,.417,317,359,-42,428,1888,4.4,17
2014,Maryland,428,13,7,6,0,.538,370,392,-22,428,1584,3.7,21
2004,Iowa,428,12,10,2,0,.833,292,211,81,428,871,2.0,10
2019,Maryland,425,12,3,9,0,.250,303,416,-113,425,2033,4.8,23
2014,Michigan,425,12,5,7,0,.417,251,269,-18,425,1954,4.6,17
2005,Indiana,425,11,4,7,0,.364,248,361,-113,425,1443,3.4,9
2021,Indiana,424,12,2,10,0,.167,207,399,-192,424,1395,3.3,13
2015,Penn State,424,13,7,6,0,.538,301,284,17,424,1741,4.1,15
2004,Purdue,424,12,7,5,0,.583,381,206,175,424,1504,3.5,11
2024,Washington,423,13,6,7,0,.462,304,309,-5,423,1674,4.0,14
2024,Wisconsin,422,12,5,7,0,.417,271,277,-6,422,1844,4.4,19
2022,Iowa,422,13,8,5,0,.615,230,173,57,422,1233,2.9,12
2006,Northwestern,422,12,4,8,0,.333,198,314,-116,422,1705,4.0,16
2018,Rutgers,421,12,1,11,0,.083,162,377,-215,421,1609,3.8,12
2022,Nebraska,420,12,4,8,0,.333,271,331,-60,420,1480,3.5,17
2021,Ohio State,420,13,11,2,0,.846,594,296,298,420,2350,5.6,24
2009,Michigan State,419,13,6,7,0,.462,386,342,44,419,1779,4.2,16
2015,Purdue,417,12,2,10,0,.167,301,438,-137,417,1576,3.8,22
2005,Purdue,416,11,5,6,0,.455,330,309,21,416,2054,4.9,31
2000,Purdue,415,11,8,4,0,.667,357,232,125,415,1745,4.2,20
2014,Illinois,413,13,6,7,0,.462,337,442,-105,413,1527,3.7,16
2007,Purdue,413,13,8,5,0,.615,446,345,101,413,1674,4.1,22
2013,Illinois,411,12,4,8,0,.333,356,425,-69,411,1668,4.1,20
2004,Illinois,405,11,3,8,0,.273,240,323,-83,405,1687,4.2,15
2024,Minnesota,404,13,8,5,0,.615,340,220,120,404,1503,3.7,18
2012,Iowa,404,12,4,8,0,.333,232,275,-43,404,1476,3.7,15
2000,Iowa,404,12,3,9,0,.250,203,330,-127,404,1090,2.7,6
2020,Penn State,402,9,4,5,0,.444,268,249,19,402,1569,3.9,15
2014,Purdue,402,12,3,9,0,.250,286,380,-94,402,1886,4.7,17
2018,Purdue,400,13,6,7,0,.462,397,390,7,400,1773,4.4,20
2006,Purdue,400,14,8,6,0,.571,364,374,-10,400,1738,4.3,23
2012,Indiana,399,12,4,8,0,.333,369,423,-54,399,1570,3.9,21
2007,Northwestern,398,12,6,6,0,.500,310,372,-62,398,1437,3.6,17
2003,Penn State,397,12,3,9,0,.250,233,255,-22,397,1464,3.7,14
2001,Purdue,397,11,6,6,0,.500,223,245,-22,397,1121,2.8,10
2023,Illinois,396,12,5,7,0,.417,294,353,-59,396,1517,3.8,12
2022,Indiana,396,12,4,8,0,.333,279,407,-128,396,1330,3.4,15
2024,Michigan State,393,12,5,7,0,.417,232,313,-81,393,1396,3.6,11
2020,Northwestern,393,9,7,2,0,.778,222,143,79,393,1467,3.7,16
2008,Purdue,392,12,4,8,0,.333,296,301,-5,392,1498,3.8,19
2006,Indiana,392,12,5,7,0,.417,277,394,-117,392,1366,3.5,13
2003,Michigan State,390,13,8,5,0,.615,363,293,70,390,1266,3.2,15
2015,Illinois,388,12,5,7,0,.417,272,279,-7,388,1551,4.0,13
2009,Purdue,388,12,5,7,0,.417,334,349,-15,388,1633,4.2,17
2006,Michigan State,387,12,4,8,0,.333,302,341,-39,387,1550,4.0,15
2021,Purdue,386,13,9,4,0,.692,378,291,87,386,1103,2.9,7
2017,Illinois,386,12,2,10,0,.167,185,378,-193,386,1267,3.3,11
2001,Penn State,383,11,5,6,0,.455,248,281,-33,383,1317,3.4,16
2023,Maryland,381,13,8,5,0,.615,386,292,94,381,1409,3.7,20
2003,Illinois,375,12,1,11,0,.083,203,398,-195,375,1328,3.5,5
2024,Maryland,370,12,4,8,0,.333,284,365,-81,370,1325,3.6,15
2023,Michigan State,370,12,4,8,0,.333,191,340,-149,370,1074,2.9,7
2009,Indiana,369,12,4,8,0,.333,282,354,-72,369,1405,3.8,15
2017,Nebraska,368,12,4,8,0,.333,309,437,-128,368,1290,3.5,13
2004,Penn State,367,11,4,7,0,.364,195,168,27,367,1429,3.9,14
2024,USC,366,13,7,6,0,.538,392,313,79,366,1889,5.2,20
2022,Michigan State,361,12,5,7,0,.417,293,329,-36,361,1356,3.8,16
2016,Purdue,360,12,3,9,0,.250,295,459,-164,360,1156,3.2,12
2024,Northwestern,355,12,4,8,0,.333,214,316,-102,355,1182,3.3,12
2016,Illinois,353,12,3,9,0,.250,236,383,-147,353,1686,4.8,14
2010,Indiana,348,12,5,7,0,.417,326,408,-82,348,1204,3.5,13
2024,Purdue,347,12,1,11,0,.083,189,479,-290,347,1384,4.0,9
2020,Ohio State,345,8,7,1,0,.875,328,206,122,345,2055,6.0,19
2019,Purdue,341,12,4,8,0,.333,310,367,-57,341,1002,2.9,9
2024,UCLA,338,12,5,7,0,.417,221,303,-82,338,1039,3.1,4
2020,Rutgers,338,9,3,6,0,.333,240,289,-49,338,1282,3.8,13
2020,Nebraska,334,8,3,5,0,.375,185,235,-50,334,1611,4.8,15
2020,Illinois,326,8,2,6,0,.250,161,279,-118,326,1569,4.8,9
2013,Purdue,319,12,1,11,0,.083,179,456,-277,319,805,2.5,6
2020,Minnesota,298,7,3,4,0,.429,191,211,-20,298,1343,4.5,19
2020,Iowa,296,8,6,2,0,.750,254,128,126,296,1368,4.6,18
2020,Wisconsin,293,7,4,3,0,.571,176,122,54,293,1152,3.9,13
2020,Indiana,272,8,6,2,0,.750,231,162,69,272,894,3.3,12
2020,Michigan State,238,7,2,5,0,.286,126,246,-120,238,642,2.7,2
2020,Michigan,172,6,2,4,0,.333,170,207,-37,172,786,4.6,12
2020,Maryland,151,5,2,3,0,.400,118,160,-42,151,725,4.8,5
2020,Purdue,147,6,2,4,0,.333,163,179,-16,147,493,3.4,4
2002,Nebraska,724,14,7,7,0,.500,383,335,48,724,3762,5.2,29
2003,Nebraska,716,13,10,3,0,.769,322,188,134,716,3063,4.3,28
2015,Baylor,712,13,10,3,0,.769,625,368,257,712,4253,6.0,41
2003,Kansas State,688,15,11,4,0,.733,549,244,305,688,3429,5.0,42
2001,Nebraska,672,12,11,2,0,.846,449,189,260,672,3776,5.6,47
2002,Kansas State,655,13,11,2,0,.846,582,154,428,655,3433,5.2,53
2002,Colorado,652,14,9,5,0,.643,398,325,73,652,3259,5.0,28
2000,Nebraska,636,11,10,2,0,.833,456,213,243,636,3842,6.0,45
2010,Nebraska,634,14,10,4,0,.714,432,243,189,634,3466,5.5,32
2016,Baylor,628,13,7,6,0,.538,450,377,73,628,3143,5.0,25
2013,Baylor,626,13,11,2,0,.846,681,306,375,626,3376,5.4,47
2015,West Virginia,623,13,8,5,0,.615,442,320,122,623,2967,4.8,25
2021,Oklahoma State,619,14,12,2,0,.857,435,253,182,619,2602,4.2,27
2014,Baylor,619,13,11,2,0,.846,627,332,295,619,2802,4.5,43
2004,Texas,615,12,11,1,0,.917,423,215,208,615,3590,5.8,41
2011,Kansas State,606,13,10,3,0,.769,413,363,50,606,2411,4.0,34
2001,Kansas State,606,11,6,6,0,.500,327,179,148,606,2835,4.7,34
2005,Texas,605,13,13,0,0,1.000,652,213,439,605,3574,5.9,55
2012,Baylor,597,13,8,5,0,.615,578,484,94,597,3012,5.0,38
2016,Texas,595,12,5,7,0,.417,383,378,5,595,2882,4.8,27
2000,Kansas State,595,13,11,3,0,.786,514,240,274,595,2575,4.3,42
2004,Oklahoma State,594,12,7,5,0,.583,387,301,86,594,2844,4.8,32
2007,Oklahoma State,592,13,7,6,0,.538,450,384,66,592,3161,5.3,30
2024,Arizona State,591,14,11,3,0,.786,461,316,145,591,2799,4.7,30
2002,Oklahoma,591,14,12,2,0,.857,541,216,325,591,2668,4.5,33
2011,Missouri,589,13,8,5,0,.615,427,306,121,589,3172,5.4,30
2011,Texas,589,13,8,5,0,.615,365,289,76,589,2634,4.5,24
2008,Oklahoma,589,14,12,2,0,.857,716,343,373,589,2779,4.7,45
2003,Texas,587,13,10,3,0,.769,533,280,253,587,3023,5.1,41
2008,Oklahoma State,582,13,9,4,0,.692,530,365,165,582,3191,5.5,38
2022,Oklahoma,581,13,6,7,0,.462,427,390,37,581,2852,4.9,28
2010,Oklahoma,578,14,12,2,0,.857,521,305,216,578,1932,3.3,23
2011,Baylor,576,13,10,3,0,.769,589,484,105,576,3063,5.3,37
2007,Texas A&M,576,13,7,6,0,.538,363,337,26,576,2751,4.8,31
2001,Colorado,575,12,10,3,0,.769,396,280,116,575,2742,4.8,27
2016,West Virginia,574,13,10,3,0,.769,405,312,93,574,2969,5.2,24
2015,Oklahoma,574,13,11,2,0,.846,566,286,280,574,2887,5.0,32
2013,Texas,574,13,8,5,0,.615,381,336,45,574,2551,4.4,25
2007,Oklahoma,574,14,11,3,0,.786,592,284,308,574,2670,4.7,34
2016,Oklahoma,572,13,11,2,0,.846,571,375,196,572,3079,5.4,30
2016,Kansas State,570,13,9,4,0,.692,419,290,129,570,3019,5.3,39
2022,Kansas State,569,14,10,4,0,.714,452,306,146,569,2916,5.1,32
2022,Texas Christian,566,15,13,2,0,.867,582,435,147,566,2899,5.1,37
2023,West Virginia,565,13,9,4,0,.692,409,340,69,565,2976,5.3,32
2004,Oklahoma,565,13,12,1,0,.923,452,219,233,565,2709,4.8,22
2019,Oklahoma,564,14,12,2,0,.857,590,382,208,564,3365,6.0,38
2018,Texas,564,14,10,4,0,.714,435,362,73,564,2153,3.8,24
2014,West Virginia,563,13,7,6,0,.538,435,359,76,563,2376,4.2,18
2021,Baylor,562,14,12,2,0,.857,443,256,187,562,3086,5.5,29
2019,Oklahoma State,562,13,8,5,0,.615,422,348,74,562,2985,5.3,27
2015,Texas Christian,562,13,11,2,0,.846,547,354,193,562,2801,5.0,26
2013,Oklahoma,559,13,11,2,0,.846,427,287,140,559,2911,5.2,19
2012,Kansas,558,12,1,11,0,.083,219,433,-214,558,2540,4.6,19
2014,Oklahoma,557,13,8,5,0,.615,473,337,136,557,3395,6.1,40
2006,Oklahoma,557,14,11,3,0,.786,424,242,182,557,2480,4.5,25
2009,Oklahoma State,555,13,9,4,0,.692,369,282,87,555,2441,4.4,22
2010,Kansas State,554,13,7,6,0,.538,437,378,59,554,2593,4.7,40
2006,Nebraska,554,14,9,5,0,.643,428,256,172,554,2387,4.3,27
2002,Iowa State,554,14,7,7,0,.500,404,396,8,554,2030,3.7,30
2003,Missouri,551,12,8,5,0,.615,399,287,112,551,3087,5.6,38
2017,Oklahoma,546,14,12,2,0,.857,632,379,253,546,3049,5.6,33
2009,Texas A&M,544,13,6,7,0,.462,427,436,-9,544,2394,4.4,25
2011,Kansas,543,12,2,10,0,.167,268,525,-257,543,1913,3.5,20
2006,Texas A&M,540,13,9,4,0,.692,362,267,95,540,2689,5.0,32
2007,Texas,539,13,10,3,0,.769,484,329,155,539,2698,5.0,35
2003,Oklahoma,539,14,12,2,0,.857,601,214,387,539,2054,3.8,27
2011,Iowa State,538,13,6,7,0,.462,295,382,-87,538,2265,4.2,20
2004,Iowa State,536,12,7,5,0,.583,246,259,-13,536,1701,3.2,11
2022,Baylor,535,13,6,7,0,.462,418,349,69,535,2371,4.4,34
2023,Kansas State,533,13,9,4,0,.692,482,273,209,533,2653,5.0,32
