Rank,Class Rk,Year,Player Name,Tier,RB Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Class,Draft Age,Build,Type,Height,Weight,40 Time,Draft Cap,DOM1,DOM2,DOM3,DOM4,DOM5,TDOM,DOM+,RDOM1,RDOM2,ADOM,RDOM+,BOUT,Speed,BMI,MTF/A,YPC,YPR,RPT,ELU,YCO/A,Break %,DOM++,RDOM++,BOUT+,Speed+,MTF/A,YPC+,ELU+,YCO/A+,DC+,BAMA,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs
80,8,2023,Israel Abanikanda,Upside Lite,8.89,75.50,0.38,Pitt,4,10/5/02,22.99,JR,20.57,FREAK,SLASHER,71,216,4.41,5,0.00%,0.00%,2.54%,12.42%,29.81%,29.81%,26.83%,4.17%,5.04%,5.04%,4.54%,19.93,114.22,30.12,0.33,5.90,9.32,0.05,117.60,3.60,44.20,7.00,5.00,5.00,10.00,9.00,4.00,5.00,2.00,3.0,0.75,0,3191,0,30,0,0,0.00,0.00,0.00,0.00,0,1985,0,0,12,0,1544,0,11,0,0,0.00,0.00,0.00,0.00,0,3402,0,0,17,95,1319,1,20,28,5,3.40,42.30,2.54,0.00,11,2857,2,0,14,651,2107,7,26,123,40,5.30,117.60,3.60,33.60,197,4723,24,0,44,1426,2378,20,30,241,46,5.90,58.10,2.67,44.20,146,2895,12,0,13
81,5,2016,Jordan Howard,Upside Lite,8.88,75.20,0.37,Indiana,2,11/2/94,30.92,JR,21.50,BRUISER,PLODDER,72,230,4.57,5,0.00%,0.00%,22.28%,32.17%,29.06%,30.62%,30.62%,2.74%,4.01%,4.01%,4.01%,18.84,105.46,31.19,0.22,6.19,10.88,0.05,67.70,3.69,37.30,8.00,4.00,9.00,8.00,7.00,5.00,4.00,5.00,3.0,0.25,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,881,1965,2,15,0,0,0.00,0.00,0.00,0.00,83,2363,4,1,18,1595,2550,13,28,305,68,5.23,67.20,3.02,32.80,72,2632,9,1,16,1213,1895,9,19,196,33,6.19,67.70,3.69,37.30,106,2644,11,1,19
82,6,2024,Jaylen Wright,Upside Lite,8.88,74.90,0.37,Tennessee,1,4/1/03,22.51,JR,21.09,DYNAMIC,+RECEIVER,70,210,4.38,4,0.00%,0.00%,10.08%,6.10%,21.41%,21.41%,21.41%,0.19%,4.83%,4.83%,4.83%,20.44,114.12,30.13,0.32,7.40,5.70,0.14,132.20,4.35,52.10,4.00,5.00,4.00,10.00,8.00,8.00,7.00,6.00,4.0,0.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,409,1964,4,21,85,17,4.80,55.80,2.67,16.60,22,2314,6,0,23,409,2594,10,40,146,36,6.00,91.30,3.75,36.30,8,4239,2,0,38,1010,2458,4,22,136,43,7.40,132.20,4.35,52.10,141,2918,22,0,20
83,7,2024,Blake Corum,Upside Lite,8.87,74.60,0.37,Michigan,2,11/25/00,24.85,SR,23.44,BELL CALF,3DOWN,68,205,4.53,3,0.00%,6.56%,20.41%,28.03%,23.72%,25.87%,25.87%,3.11%,3.65%,3.65%,3.65%,20.78,97.36,31.17,0.34,5.89,7.51,0.06,132.60,3.84,47.00,6.00,3.00,3.00,4.00,9.00,4.00,7.00,3.00,6.0,1.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,77,786,2,12,26,1,2.96,36.50,1.88,19.50,73,1502,5,0,9,944,2573,11,34,144,49,6.56,132.60,3.84,47.00,141,2744,24,1,18,1461,2867,18,35,248,73,5.89,97.60,3.36,40.90,82,2639,10,1,20,1245,2537,27,41,258,30,4.80,27.40,2.42,31.80,117,3206,16,1,24
84,5,2022,James Cook,Upside Lite,8.83,74.30,0.35,Georgia,1,9/25/99,26.02,SR,22.61,JITTERBUG,+RECEIVER,71,199,4.42,2,0.00%,5.73%,5.60%,12.40%,15.09%,15.09%,15.09%,8.92%,7.25%,8.09%,8.09%,21.96,104.28,27.75,0.24,6.70,11.77,0.19,86.60,3.91,39.80,2.00,8.00,2.00,7.00,6.00,7.00,2.00,4.00,7.0,1.00,0,3876,0,42,0,0,0.00,0.00,0.00,0.00,0,2653,0,0,24,284,3343,2,30,41,9,6.90,87.60,3.90,65.80,89,3165,2,0,34,188,2591,2,21,31,6,6.10,80.00,3.42,37.20,132,3122,16,0,26,303,1742,3,18,45,11,6.70,55.40,2.60,34.70,223,2499,16,0,19,728,2864,7,29,113,25,6.40,86.60,3.91,39.80,274,3778,27,0,39
85,9,2023,Zach Evans,Upside Lite,8.81,74.00,0.34,Ole Miss,1,5/30/01,24.35,JR,21.92,DYNAMIC,3DOWN,71,202,4.46,6,0.00%,0.00%,13.23%,29.70%,17.61%,23.65%,23.65%,9.04%,4.14%,6.59%,6.59%,20.28,102.10,28.17,0.28,7.00,10.83,0.08,126.60,4.30,45.90,5.00,7.00,4.00,6.00,8.00,8.00,6.00,6.00,2.0,1.00,0,2036,0,14,0,0,0.00,0.00,0.00,0.00,0,2749,0,0,18,0,2448,0,23,0,0,0.00,0.00,0.00,0.00,0,2444,0,0,15,415,1945,4,23,54,14,7.70,139.30,5.76,58.60,76,1767,8,0,11,648,1182,5,21,92,26,7.00,126.60,4.30,45.10,130,1438,10,0,19,930,3079,9,33,144,35,6.50,89.10,3.56,45.90,119,2878,12,0,22
86,8,2024,Audric Estime,Upside Lite,8.80,73.70,0.34,Notre Dame,2,9/6/03,22.07,JR,20.65,BELL COW,3DOWN,71,221,4.59,5,0.00%,0.00%,7.03%,20.21%,28.59%,28.59%,28.59%,5.01%,4.80%,4.91%,4.91%,19.01,99.58,30.82,0.31,6.40,10.65,0.08,126.50,4.27,44.10,8.00,5.00,8.00,5.00,8.00,6.00,6.00,6.00,3.0,0.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,60,288,0,4,7,1,8.57,89.80,6.29,35.00,0,565,0,0,5,906,2458,11,25,156,39,5.81,92.80,3.65,29.40,135,2692,9,1,25,1341,2228,18,26,209,64,6.40,126.50,4.27,44.10,142,2958,17,0,29
87,12,2025,Dylan Sampson,Upside Lite,8.79,73.30,0.33,Tennessee,1,9/14/04,21.05,JR,20.63,DYNAMIC,SLASHER,68,200,4.42,4,0.00%,0.00%,7.90%,14.51%,28.06%,28.06%,28.06%,6.00%,4.97%,5.48%,5.48%,19.99,104.80,30.41,0.29,5.77,8.63,0.07,107.50,3.60,36.40,8.00,6.00,5.00,7.00,8.00,3.00,5.00,2.00,4.0,0.50,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,388,1995,6,0,58,10,0.00,82.40,4.57,59.00,27,3261,3,0,0,605,2458,7,0,107,31,5.65,99.40,3.24,36.40,175,2918,17,1,0,1488,2936,22,32,258,70,5.77,107.50,3.60,30.40,143,2876,20,0,22
88,7,2019,Tony Pollard,Upside Lite,8.72,73.00,0.30,Memphis,6,4/30/97,28.43,RS JR,22.00,BELL CALF,+RECEIVER,70,210,4.52,4,0.00%,0.00%,7.58%,11.07%,13.89%,13.89%,10.41%,12.31%,13.45%,13.45%,10.09%,N/A,100.62,30.13,0.30,7.70,12.42,0.33,120.40,4.97,60.40,0.00,9.00,0.00,6.00,8.00,9.00,6.00,8.00,4.0,1.00,0,2476,0,31,0,0,0.00,0.00,0.00,0.00,0,3076,0,0,23,0,2333,0,29,0,0,0.00,0.00,0.00,0.00,0,3997,0,0,30,159,2071,1,23,31,7,5.10,85.50,3.42,11.90,298,3957,29,0,34,230,2562,2,33,30,9,7.70,120.40,4.97,60.40,536,4355,36,0,39,559,3919,6,48,79,19,7.10,87.10,3.54,47.80,458,3405,39,0,28
89,6,2021,Chuba Hubbard,Upside Lite,8.65,72.40,0.27,Oklahoma State,3,6/11/99,26.32,JR,21.90,BELL COW,HORSE,72,210,4.51,4,0.00%,0.00%,15.12%,38.67%,14.46%,26.57%,23.91%,6.58%,1.97%,4.28%,3.85%,19.24,101.52,28.48,0.23,6.40,12.13,0.06,96.00,3.96,49.20,5.00,4.00,7.00,6.00,5.00,6.00,4.00,4.00,4.0,1.00,0,2221,0,32,0,0,0.00,0.00,0.00,0.00,0,4211,0,0,29,0,2337,0,34,0,0,0.00,0.00,0.00,0.00,0,5059,0,0,37,754,2474,7,30,122,27,6.20,94.00,3.87,31.40,229,4028,8,0,33,2090,2985,21,27,328,77,6.40,96.00,3.96,49.20,192,2916,23,0,23,627,2060,5,17,133,22,4.70,44.30,2.50,32.70,52,2635,8,0,18
89,8,2019,Bryce Love,Upside Lite,8.65,72.40,0.27,Stanford,5,7/8/97,28.24,SR,21.81,JITTERBUG,3DOWN,69,200,4.35,4,0.00%,7.74%,18.05%,39.50%,16.82%,28.16%,23.93%,1.27%,2.79%,2.79%,2.37%,19.16,111.71,29.53,0.29,8.10,9.41,0.11,134.10,4.60,66.40,5.00,2.00,7.00,9.00,8.00,9.00,7.00,7.00,4.0,0.00,0,2064,0,22,0,0,0.00,0.00,0.00,0.00,0,2988,0,0,20,226,3132,2,33,29,8,7.80,156.70,4.31,65.00,246,2965,15,0,30,779,2720,3,20,112,31,7.00,134.10,4.60,56.60,83,2056,8,0,15,2116,2833,19,31,262,76,8.10,125.10,4.30,66.40,33,2608,6,0,23,734,1403,6,16,165,43,4.40,94.10,3.55,41.30,99,3550,20,0,29
91,13,2025,Jordan James,Upside Lite,8.43,72.10,0.18,Oregon,2,3/29/04,21.51,JR,21.09,BELL CALF,3DOWN,69,205,4.55,5,0.00%,0.00%,3.94%,12.04%,24.09%,24.09%,24.09%,2.72%,5.29%,5.29%,5.29%,20.45,95.66,30.27,0.31,7.07,8.21,0.10,108.30,4.04,37.40,6.00,5.00,4.00,3.00,8.00,8.00,5.00,5.00,3.0,1.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,191,2158,5,26,45,7,4.24,40.60,2.33,12.60,6,2848,1,0,23,764,2583,11,34,108,33,7.07,108.30,4.04,37.40,132,4857,15,1,49,1268,2211,15,28,233,57,5.44,79.70,3.18,18.40,207,3913,26,0,24
92,7,2018,Ronald Jones,Upside Lite,8.30,71.80,0.13,USC,5,8/3/97,28.17,JR,20.74,BELL COW,HORSE,72,200,4.65,2,0.00%,1.46%,16.67%,18.66%,25.68%,25.68%,21.83%,2.12%,4.46%,4.46%,3.79%,18.09,85.56,27.12,0.22,6.40,9.12,0.05,84.30,3.90,48.20,4.00,4.00,10.00,1.00,5.00,6.00,2.00,4.00,7.0,0.00,0,2419,0,0,0,0,0.00,0.00,0.00,0.00,0,3180,0,0,0,14,2092,0,0,2,0,7.00,0.00,0.00,0.00,73,3856,9,0,0,983,2355,8,0,153,34,6.40,84.30,3.75,48.20,39,3776,7,0,0,1081,2609,12,0,177,33,6.10,68.40,3.90,45.90,76,3593,11,0,0,1550,2591,19,0,261,58,5.90,75.10,3.50,46.40,186,4168,14,0,0
93,10,2017,Samaje Perine,Upside Lite,8.27,71.50,0.11,Oklahoma,3,9/16/95,30.05,JR,21.63,BRUISER,SLASHER,71,233,4.66,4,0.00%,0.00%,30.14%,21.15%,16.21%,23.18%,20.86%,2.60%,2.56%,2.58%,2.32%,18.97,98.82,32.49,0.28,6.00,8.15,0.05,100.40,3.61,47.30,4.00,2.00,8.00,5.00,8.00,4.00,6.00,4.00,4.0,0.75,0,2098,0,0,0,0,0.00,0.00,0.00,0.00,0,4374,0,0,0,0,2911,0,0,0,0,0.00,0.00,0.00,0.00,0,2588,0,0,0,1713,3395,21,0,262,74,6.50,100.40,3.61,47.30,108,2646,15,0,0,1354,2887,16,0,226,50,6.00,79.80,3.55,43.10,104,4006,14,0,0,1063,3078,12,0,196,31,5.40,55.40,3.26,36.40,106,4134,10,0,0
94,9,2019,Benny Snell Jr.,Upside Lite,8.25,71.20,0.10,Kentucky,1,2/27/98,27.60,JR,21.17,BELL CALF,HORSE,70,224,4.66,4,0.00%,0.00%,20.67%,30.89%,33.17%,33.17%,33.17%,2.90%,5.00%,5.00%,5.00%,18.52,95.00,32.14,0.24,5.90,7.41,0.06,94.50,4.04,39.00,9.00,5.00,9.00,3.00,5.00,4.00,3.00,5.00,4.0,0.00,0,1840,0,21,0,0,0.00,0.00,0.00,0.00,0,2774,0,0,14,0,1952,0,22,0,0,0.00,0.00,0.00,0.00,0,2512,0,0,10,1090,3044,13,30,186,44,5.90,94.50,4.04,39.00,39,2419,2,0,17,1334,2102,19,27,264,44,5.10,54.00,3.36,34.20,71,2446,10,0,10,1451,2592,16,27,288,46,5.00,52.90,3.23,29.50,105,2099,17,0,14
95,14,2025,Devin Neal,Upside Lite,8.22,70.90,0.09,Kansas,3,8/12/03,22.14,JR,21.72,BELL COW,SLASHER,71,213,4.58,6,0.00%,21.24%,22.38%,26.32%,30.30%,30.30%,27.27%,9.42%,10.62%,10.62%,9.55%,18.07,96.82,29.70,0.30,5.79,9.41,0.11,106.30,3.73,48.00,7.00,9.00,10.00,4.00,8.00,3.00,5.00,3.00,2.0,0.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,705,1555,8,14,159,27,4.43,51.40,2.94,31.10,57,2033,7,1,14,1093,2395,9,29,179,38,6.11,69.10,2.88,48.00,183,3307,21,1,33,828,1783,9,22,203,60,4.08,106.30,3.59,46.00,200,2123,21,1,9,1262,2537,16,29,218,46,5.79,84.20,3.73,37.10,266,2506,26,1,16
96,6,2022,Brian Robinson Jr.,Upside Lite,8.22,70.60,0.09,Alabama,1,3/22/99,26.54,RS SR,23.12,BRUISER,3DOWN,74,225,4.53,3,2.65%,3.47%,8.49%,7.21%,22.38%,22.38%,22.38%,0.56%,5.83%,5.83%,5.83%,22.47,106.86,28.89,0.29,5.30,8.58,0.11,100.30,4.05,34.30,4.00,6.00,1.00,8.00,8.00,2.00,4.00,5.00,6.0,1.00,165,3509,2,36,24,6,6.90,111.50,4.46,19.40,0,2708,0,0,28,272,2976,2,33,63,10,4.30,48.90,3.08,13.20,0,4854,0,0,52,440,2191,5,27,96,18,4.60,57.20,2.92,24.10,124,4449,11,0,49,482,2385,6,37,91,23,5.30,100.30,4.05,18.00,26,4656,6,0,42,1343,2250,14,21,271,79,5.00,92.40,3.29,34.30,296,5073,35,0,48
97,10,2019,Trayveon Williams,Upside Lite,8.21,70.30,0.09,Texas A&M,1,10/18/97,27.96,JR,21.53,BELL CALF,SLASHER,68,206,4.51,6,0.00%,0.00%,18.88%,18.74%,33.24%,33.24%,33.24%,5.88%,8.59%,8.59%,8.59%,18.88,99.58,31.32,0.26,6.80,8.43,0.09,91.40,3.79,48.70,9.00,8.00,8.00,5.00,6.00,7.00,3.00,3.00,2.0,0.00,0,1949,0,20,0,0,0.00,0.00,0.00,0.00,0,3971,0,0,39,0,2198,0,13,0,0,0.00,0.00,0.00,0.00,0,3323,0,0,25,1055,2754,8,28,156,40,6.80,91.40,3.72,47.10,91,3317,19,0,25,799,2023,8,26,173,17,4.60,27.30,2.77,34.80,192,3266,20,0,22,1756,2847,18,28,270,47,6.50,74.90,3.79,48.70,282,3284,28,0,25
98,8,2018,John Kelly,Upside Lite,8.19,70.00,0.08,Tennessee,1,10/4/96,29.00,JR,21.57,BELL CALF,3DOWN,70,216,4.64,6,0.00%,0.00%,3.01%,11.44%,30.83%,30.83%,30.83%,1.65%,14.35%,14.35%,14.35%,20.93,93.20,30.99,0.32,6.20,8.14,0.16,131.60,4.28,39.40,8.00,10.00,3.00,2.00,8.00,5.00,7.00,6.00,2.0,0.25,0,2261,0,0,0,0,0.00,0.00,0.00,0.00,0,1979,0,0,0,0,1903,0,0,0,0,0.00,0.00,0.00,0.00,0,2914,0,0,0,165,2908,1,0,40,11,4.10,68.80,2.50,33.90,0,2582,0,0,0,609,2668,5,0,98,31,6.20,131.60,4.28,39.40,51,3100,6,0,0,778,1409,9,0,189,38,4.10,74.10,3.22,38.00,299,2084,37,0,0
99,10,2023,Chase Brown,Upside Lite,8.16,69.70,0.07,Illinois,2,3/21/00,25.54,RS SR,23.12,DYNAMIC,3DOWN,69,209,4.43,5,7.40%,0.42%,21.56%,28.99%,37.99%,37.99%,37.99%,7.58%,8.72%,8.72%,8.72%,20.46,108.53,30.86,0.26,5.90,10.63,0.08,116.90,4.14,41.30,10.00,8.00,4.00,9.00,6.00,4.00,5.00,5.00,3.0,0.00,345,2593,0,32,71,15,4.90,60.10,3.04,27.80,75,3086,1,0,20,18,1874,0,19,3,1,6.00,155.60,4.67,0.00,0,2409,0,0,19,538,1569,3,9,102,20,5.30,59.90,3.26,41.30,64,1223,7,0,10,1005,2083,5,12,170,44,5.90,116.90,4.14,41.10,142,1874,14,0,13,1632,2175,10,18,329,82,5.00,70.30,2.84,32.00,240,2753,27,0,15
100,6,2016,Jonathan Williams,Upside Lite,8.16,69.40,0.06,Arkansas,1,2/2/94,31.67,SR,22.25,BELL COW,SLASHER,71,220,4.56,5,0.00%,9.50%,22.68%,24.59%,0.00%,24.59%,24.59%,4.26%,0.00%,2.13%,2.13%,19.59,101.76,30.68,0.31,5.66,16.70,0.04,101.90,3.48,34.30,6.00,2.00,6.00,6.00,10.00,3.00,8.00,4.00,3.0,1.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,231,1306,0,11,0,0,0.00,0.00,0.00,0.00,208,3317,8,2,21,900,2504,4,14,0,0,0.00,0.00,0.00,0.00,72,1782,7,2,15,1194,2834,12,31,211,65,5.66,101.90,3.48,34.30,104,2444,8,0,21,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0
101,7,2016,Paul Perkins,Upside Lite,8.14,69.10,0.06,UCLA,5,11/16/94,30.88,JR,21.46,BELL CALF,SLASHER,70,208,4.54,5,0.00%,0.00%,14.92%,29.11%,26.10%,27.60%,23.46%,5.99%,6.58%,6.58%,5.59%,19.81,97.92,29.84,0.31,6.30,9.30,0.11,115.60,3.58,41.90,5.00,6.00,5.00,4.00,10.00,5.00,9.00,5.00,3.0,0.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,573,2556,6,36,0,0,0.00,0.00,0.00,0.00,296,3269,24,0,25,1569,2724,9,26,249,31,6.30,43.00,2.88,41.90,201,3358,26,2,23,1333,2298,14,26,236,73,5.65,115.60,3.58,39.90,247,3756,30,1,23
102,15,2025,Jaydon Blue,Upside Lite,8.08,68.80,0.03,Texas,1,1/8/04,21.73,JR,21.32,JITTERBUG,+RECEIVER,69,196,4.28,5,0.00%,0.00%,0.85%,8.00%,16.65%,16.65%,16.65%,3.38%,8.73%,8.73%,8.73%,20.67,116.82,28.94,0.28,6.12,9.13,0.23,113.10,3.83,39.60,2.00,8.00,3.00,10.00,7.00,5.00,5.00,3.00,3.0,0.75,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,33,1694,0,20,15,1,2.20,11.60,1.73,0.00,0,2173,0,0,15,398,2638,3,29,65,18,6.12,84.20,3.17,38.90,137,4047,14,1,25,728,2382,8,20,135,37,5.39,113.10,3.83,39.60,365,4182,41,6,31
103,7,2021,Khalil Herbert,Upside Lite,8.06,68.50,0.02,Virginia Tech,4,4/21/98,27.45,RS SR,23.04,DYNAMIC,3DOWN,69,210,4.5,6,4.30%,14.10%,11.66%,7.64%,27.87%,27.87%,25.08%,-0.04%,8.11%,8.11%,7.30%,22.39,102.42,31.01,0.43,9.20,10.71,0.06,218.30,5.21,72.70,6.00,7.00,1.00,6.00,10.00,10.00,10.00,9.00,2.0,0.00,189,2563,3,27,44,4,4.30,19.60,2.50,42.90,45,2885,7,0,16,663,2254,4,19,120,21,5.50,51.00,2.97,52.80,38,2717,8,0,14,494,2266,5,19,113,25,4.40,69.90,3.16,44.90,39,2307,2,0,18,388,2289,2,22,42,18,9.20,218.30,5.21,72.70,-1,2775,1,0,25,1172,2641,8,27,155,42,7.60,126.30,4.74,55.30,179,2207,10,0,13
104,11,2017,Jeremy McNichols,Upside Lite,8.05,68.10,0.02,Boise State,7,12/26/95,29.78,JR,21.35,DYNAMIC,SLASHER,69,212,4.49,5,0.00%,0.00%,4.45%,27.73%,35.49%,35.49%,23.07%,11.46%,12.45%,12.45%,8.10%,19.69,104.32,31.30,0.21,9.40,10.42,0.11,68.90,3.54,52.40,5.00,8.00,6.00,7.00,4.00,10.00,3.00,4.00,3.0,0.00,0,2186,0,0,0,0,0.00,0.00,0.00,0.00,0,2901,0,0,0,0,2578,0,0,0,0,0.00,0.00,0.00,0.00,0,3610,0,0,0,159,2994,1,0,17,1,9.40,9.60,3.06,45.30,149,3926,15,0,0,1346,2488,20,0,238,49,5.70,68.90,3.50,52.40,462,4032,51,0,0,1698,2268,23,0,312,62,5.40,66.50,3.54,38.50,483,3878,39,0,0
105,11,2023,Roschon Johnson,Upside Lite,8.03,67.80,0.01,Texas,3,1/31/01,24.67,SR,22.25,BELL COW,3DOWN,72,219,4.58,4,0.00%,13.34%,9.87%,12.79%,14.12%,14.12%,12.71%,3.07%,4.42%,4.42%,3.98%,N/A,99.54,29.70,0.49,5.90,7.50,0.13,198.00,4.28,39.60,1.00,4.00,0.00,5.00,10.00,4.00,9.00,6.00,4.0,1.50,0,2143,0,24,0,0,0.00,0.00,0.00,0.00,0,3615,0,0,28,650,2295,7,26,123,26,5.30,77.30,3.64,26.20,158,3761,23,0,32,418,1953,6,20,80,27,5.20,144.40,4.10,40.90,51,2801,8,0,32,569,2392,5,25,95,36,5.90,144.90,4.06,34.40,83,2705,11,0,29,600,2258,5,29,94,46,5.80,198.00,4.28,39.60,128,2897,14,0,22
106,8,2016,Kenneth Dixon,Upside Lite,8.02,67.50,0.01,Louisiana Tech,10,1/21/94,31.70,SR,22.28,BELL CALF,SLASHER,70,215,4.56,4,0.00%,17.72%,27.36%,29.90%,29.10%,29.50%,17.70%,10.90%,13.53%,13.53%,8.12%,18.62,99.45,30.85,0.28,5.40,11.07,0.15,98.80,3.33,49.20,3.00,8.00,9.00,5.00,9.00,2.00,7.00,4.00,4.0,0.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,1194,2726,27,47,0,0,0.00,0.00,0.00,0.00,35,4209,10,1,33,917,1602,4,12,0,0,0.00,0.00,0.00,0.00,85,2060,14,1,8,1293,2080,23,32,253,71,5.11,98.80,3.33,45.60,385,3531,30,6,29,1064,1758,19,23,197,54,5.40,98.80,3.27,49.20,480,3549,35,7,24
107,12,2023,Evan Hull,Upside Lite,7.99,67.20,-0.01,Northwestern,2,10/26/00,24.94,RS JR,22.52,DYNAMIC,+RECEIVER,70,209,4.47,5,0.00%,7.99%,7.70%,32.91%,36.02%,36.02%,36.02%,12.41%,21.24%,21.24%,21.24%,20.87,104.70,29.99,0.26,5.10,9.04,0.20,97.40,3.60,43.80,10.00,10.00,3.00,7.00,6.00,1.00,4.00,2.00,3.0,0.00,0,1609,0,25,0,0,0.00,0.00,0.00,0.00,0,3352,0,0,17,285,2161,4,17,46,9,6.20,89.30,4.57,57.20,0,1404,0,0,6,209,1465,2,16,25,5,8.40,92.10,4.76,74.20,41,1781,6,0,12,1009,1740,7,12,196,50,5.10,97.40,3.60,43.80,264,2128,33,0,13,914,1501,5,11,220,51,4.20,62.90,2.74,28.10,536,2524,54,0,10
108,7,2026,Jadarian Price,Upside Lite,7.92,66.90,-0.04,Notre Dame,2,10/9/03,21.98,RS JR,22.56,DYNAMIC,+RECEIVER,71,210,4.41,3,0.00%,0.00%,5.87%,11.61%,13.97%,12.79%,12.79%,0.32%,0.00%,0.32%,0.32%,N/A,111.04,29.29,0.26,6.93,8.33,0.00,97.30,4.50,58.30,1.00,0.00,0.00,9.00,6.00,7.00,4.00,7.00,6.0,1.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,272,2532,3,28,47,14,5.79,140.80,4.57,47.40,65,3205,5,1,31,744,3323,7,45,121,27,6.15,97.30,4.50,58.30,10,3170,4,0,24,187,544,0,0,27,7,6.93,83.50,3.22,49.20,0,795,0,0,0
109,9,2016,Alex Collins,Upside Lite,7.86,66.60,-0.06,Arkansas,1,8/26/94,31.11,JR,21.68,BELL CALF,PLODDER,70,217,4.59,5,0.00%,0.00%,25.41%,21.14%,27.11%,27.11%,27.11%,0.37%,1.84%,1.84%,1.84%,19.03,97.78,31.13,0.21,5.83,5.04,0.05,65.60,3.38,38.90,7.00,1.00,8.00,4.00,6.00,4.00,4.00,4.00,3.0,1.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,1026,2504,4,14,0,0,0.00,0.00,0.00,0.00,63,1782,11,0,15,1107,2834,12,31,203,39,5.45,65.60,3.38,38.00,9,2444,3,0,21,1580,2578,20,31,271,58,5.83,63.50,3.01,38.90,64,3487,13,0,31
110,9,2018,Kerryon Johnson,Upside Lite,7.86,66.30,-0.06,Auburn,1,6/30/97,28.26,JR,20.84,BELL COW,PLODDER,71,213,4.54,2,0.00%,0.00%,6.86%,17.80%,25.10%,25.10%,25.10%,5.67%,5.91%,5.91%,5.91%,19.18,100.27,29.70,0.21,4.90,8.15,0.08,67.50,2.98,32.00,6.00,6.00,7.00,5.00,4.00,1.00,1.00,0.00,7.0,0.00,0,4596,0,0,0,0,0.00,0.00,0.00,0.00,0,2422,0,0,0,0,3321,0,0,0,0,0.00,0.00,0.00,0.00,0,2984,0,0,0,208,2553,3,0,53,11,3.90,43.10,2.19,9.10,122,2257,13,0,0,895,3527,11,0,182,39,4.90,67.50,2.98,25.10,125,2203,17,0,0,1394,3056,18,0,285,50,4.90,53.50,2.90,32.00,193,3267,24,0,0
