Overall RK,Class Rk,Year,Player Name,,QB Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Year,Draft Age,Archetype,Height,Weight,40 Time,Draft Cap,DOM1,DOM2,DOM3,DOM4,DOM5,TDOM,DOM+,RDOM1,RDOM2,ADOM,RDOM+,BOUT,Speed,Comp,YPC,ADJ%,BTT%,TWP%,DAA,YPA,MTF/A,YCO/A,BOUT,YPC+,ADJ%+,BTT%+,TWP%+,DAA+,RDOM++,YPA+,MTF/A+,YCO/A+,DC+,BAMA,Raw Passing,Pass Grade,Raw Run,Run Grade,Pass Yards,Team Yds,Pass TDs,INT,ATT,COMP,ADJ%,BTT,TWP,DAA,Rush Yds,Team Yds,ATT,YPC,TDs,MTF,YCO/A,EXP,Pass Yards,Team Yds,Pass TDs,INT,ATT,COMP,ADJ%,BTT,TWP,DAA,Rush Yds,Team Yds,ATT,YPC,TDs,MTF,YCO/A,EXP,Pass Yards,Team Yds,Pass TDs,INT,ATT,COMP,ADJ%,BTT,TWP,DAA,Rush Yds,Team Yds,ATT,YPC,TDs,MTF,YCO/A,EXP,Pass Yards,Team Yds,Pass TDs,INT,ATT,COMP,ADJ%,BTT,TWP,DAA,Rush Yds,Team Yds,ATT,YPC,TDs,MTF,YCO/A,EXP,Pass Yards,Team Yds,Pass TDs,INT,ATT,COMP,ADJ%,BTT,TWP,DAA,Rush Yds,Team Yds,ATT,YPC,TDs,MTF,YCO/A,EXP,
79,7,2023,Clayton Tune,Outlier,4.87,61.80,-0.12,Houston,6,3/23/99,26.53,RS SR,24.11,Dual Threat,75,220,4.64,5,20.70%,62.75%,95.95%,93.21%,99.58%,99.58%,74.69%,16.96%,35.11%,35.11%,26.34%,20.45,94.93,67.8%,12.21,79.5%,6.0%,2.7%,48%,6.30,0.24,2.88,4.0,4.0,9.0,4.0,8.0,4.0,9.0,6.0,7.0,6.0,1.0,0.0,8.6,8.6,1.1,1.1,795,3841,8,2,117,59,65,5.0,7.8,22.2,164,3031,11,6,1,2,3.4,9,1531,2440,11,9,181,106,68,6.5,5.4,43.8,380,2474,31,8,2,5,2.94,9,2040,2126,15,10,287,170,72,6.00,2.90,35,352,1255,37,6,5,1,2.88,14,3542,3800,30,10,425,288,78,5.6,2.7,46.7,384,2264,41,5,2,7,2.64,12,4065,4082,40,10,496,333,80,5.80,3.00,48.00,697,1985,55,6.30,5,13,2.88,22,
80,8,2023,Jake Haener,Outlier,4.82,61.30,-0.13,Fresno State,7,3/10/99,26.57,RS SR,24.15,Pocket Passer,72,207,4.8,4,3.21%,0.00%,94.43%,96.49%,76.56%,86.52%,64.89%,9.75%,2.60%,6.17%,4.63%,21.50,77.99,71.3%,11.46,78.8%,8.3%,2.2%,57%,3.50,0.07,2.24,1.0,3.0,8.0,8.0,9.0,8.0,1.0,1.0,0.0,3.0,3.0,0.0,10.3,7.7,0.2,0.0,107,3337,1,1,13,9,75,23.1,14.3,100.0,-2,2613,2,-1,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,2019,2138,14,5,232,150,75,8.30,2.70,57,201,947,17,5,3,2,2.55,6,4098,4247,33,9,490,330,75,4.3,2.4,38.0,195,2001,22,4,3,1,2.24,5,2900,3788,20,3,355,253,79,4.30,2.20,48.70,55,2112,15,2.10,2,1,1.77,1,
81,3,2015,Bryce Petty,Outlier,4.75,60.80,-0.15,Baylor,3,5/31/91,34.35,SR,23.92,Distributor,75,226,4.87,4,0.00%,0.94%,2.19%,89.97%,81.04%,85.51%,76.96%,0.00%,8.47%,8.47%,7.63%,22.27,80.36,62.8%,14.28,72.9%,5.8%,2.4%,44%,3.80,0.06,1.35,0.0,10.0,2.0,3.0,9.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,7.8,6.2,0.2,0.1,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,43,4569,0,0,4,3,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,97,4427,1,0,10,7,0,0.00,0.00,0,0,1,0,0,0,0,0.00,0,4200,4668,32,3,403,250,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,3855,4757,29,7,430,270,73,5.80,2.40,44.20,250,2950,48,3.80,6,3,1.35,5,
82,7,2022,Malik Willis,Outlier,4.74,60.30,-0.15,Liberty,8,5/25/99,26.36,RS SR,22.94,Run First,72,219,4.5,3,1.38%,0.83%,0.00%,89.26%,86.24%,87.75%,57.04%,54.27%,53.14%,53.70%,34.91%,21.29,106.81,64.3%,13.75,73.6%,11.0%,3.7%,51%,8.10,0.44,5.26,2.0,8.0,3.0,10.0,4.0,5.0,10.0,10.0,10.0,10.0,3.0,0.0,9.0,9.0,1.5,0.8,45,3267,1,0,6,5,83,0.0,0.0,0.0,230,3284,16,14,1,4,7.3,6,24,2892,0,0,7,5,71,0.0,0.0,0.0,88,2347,9,7,1,2,2.50,4,0,1,0,0,0,0,0,0.00,0.00,0,0,1,0,0,0,0,0.00,0,2253,2524,20,6,263,169,74,7.1,5.3,47.1,1043,1922,78,8,14,21,3.93,42,2859,3315,27,12,339,208,70,11.00,3.70,50.70,1220,2296,86,8.10,13,38,5.26,46,
83,10,2021,Feleipe Franks,Outlier,4.72,59.90,-0.16,Arkansas,1,12/22/97,27.78,SR,23.36,Game Manager,77,227,4.83,0,0.00%,72.76%,88.51%,17.85%,86.26%,87.39%,87.39%,4.06%,19.47%,19.47%,19.47%,19.70,83.42,68.1%,13.07,80.3%,6.6%,2.7%,68%,4.40,0.16,2.49,6.0,7.0,10.0,5.0,8.0,10.0,8.0,2.0,3.0,4.0,0.0,0.0,11.7,8.7,0.6,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,1437,1975,9,8,231,125,67,3.8,5.9,36.2,206,1950,9,7,0,5,3.34,6,2457,2776,24,6,322,188,70,4.40,3.40,43,459,2914,82,4,7,13,1.92,14,698,3910,5,3,71,54,84,2.6,2.3,62.5,76,1874,14,4,1,1,2.48,3,2072,2402,17,4,238,162,80,6.60,2.70,68.00,338,1736,45,4.30,1,4,2.49,11,
84,5,2017,Joshua Dobbs,Outlier,4.71,59.40,-0.16,Tennessee,1,1/26/95,30.69,SR,22.27,Run First,75,216,4.64,4,0.00%,35.12%,41.08%,89.54%,94.94%,94.94%,94.94%,26.52%,35.89%,35.89%,35.89%,20.61,93.20,62.5%,13.08,72.4%,4.3%,4.2%,56%,8.10,0.32,5.41,3.0,7.0,2.0,0.0,2.0,7.0,10.0,10.0,10.0,10.0,3.0,0.0,5.2,5.2,1.5,0.8,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,695,1979,2,6,121,72,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,1197,2914,9,6,178,112,72,2.70,6.70,36,553,2218,82,6,8,21,3.56,20,2312,2582,15,5,348,207,70,3.4,5.1,47.8,816,3077,99,6,11,32,4.37,26,2943,3100,27,12,360,225,72,4.30,4.20,55.80,1029,2867,98,8.10,12,25,5.41,33,
85,6,2017,Chad Kelly,Outlier,4.69,58.90,-0.17,Ole Miss,1,3/26/94,31.53,SR,23.10,Mobile Passer,73,215,4.75,7,0.00%,0.00%,0.00%,92.76%,72.98%,82.87%,82.87%,24.30%,21.83%,23.07%,23.07%,21.45,84.47,64.8%,13.45,75.5%,6.6%,3.9%,53%,6.80,0.24,3.97,1.0,7.0,5.0,5.0,3.0,6.0,8.0,7.0,7.0,9.0,1.0,0.0,7.8,7.8,1.2,0.9,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,0,1,0,0,0,0,0,0.00,0.00,0,0,1,0,0,0,0,0.00,0,4036,4351,31,13,460,298,76,6.6,3.9,52.9,626,2576,65,7,10,10,3.97,23,2758,3779,19,8,328,205,72,4.60,4.50,43.60,431,1974,33,6.70,5,8,2.34,17,
86,15,2026,Josh Hoover,Outlier,4.65,58.40,-0.18,TCU,3,2/15/04,21.63,RS JR,22.21,Pocket Passer,74,200,4.7,5,0.00%,0.00%,58.89%,97.15%,97.66%,97.40%,87.66%,5.35%,5.33%,5.34%,4.81%,19.56,81.97,68.0%,14.29,76.7%,4.2%,2.6%,55%,3.50,0.05,3.25,6.0,10.0,6.0,0.0,8.0,7.0,1.0,1.0,0.0,7.0,1.0,0.0,9.1,6.9,0.3,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,2206,3746,15,9,298,185,71,4.20,3.70,42,66,1979,12,6,2,2,1.25,2,3952,4068,27,11,474,314,77,3.4,3.4,54.5,86,1608,41,2,4,2,1.10,2,1000,1024,11,2,103,70,74,2.80,2.60,35.70,28,525,8,3.50,0,0,3.25,1,
87,8,2022,Bailey Zappe,Outlier,4.61,57.90,-0.19,Western Kentucky,10,4/26/99,26.44,RS SR,23.02,Pocket Passer,72,215,4.88,4,10.65%,19.14%,7.55%,99.51%,98.26%,98.89%,59.33%,18.75%,8.51%,13.63%,8.18%,21.37,75.82,68.7%,12.51,77.5%,6.5%,2.8%,59%,3.60,0.07,2.75,2.0,5.0,7.0,5.0,7.0,9.0,3.0,1.0,0.0,6.0,3.0,0.0,9.4,7.1,0.4,0.0,199,1869,0,0,33,21,82,2.7,2.3,33.3,12,1106,5,0,0,0,1.2,0,568,2968,5,3,83,44,70,2.3,3.8,63.6,67,1369,16,0,0,1,1.19,4,303,4011,2,0,40,29,89,7.30,7.80,80,18,1540,4,0,0,0,1.75,1,1829,1838,15,1,218,142,78,4.3,2.8,51.9,66,352,16,0,0,1,2.75,1,5940,6045,62,11,691,475,77,6.50,3.10,58.90,140,1645,15,3.60,3,1,1.15,3,
88,7,2025,Shedeur Sanders,Outlier,4.60,57.40,-0.19,Colorado,3,2/7/02,23.65,SR,23.23,Distributor,74,215,4.75,5,0.00%,100.00%,97.07%,91.34%,100.00%,100.00%,90.00%,28.37%,24.92%,26.64%,23.98%,19.58,84.47,73.4%,11.71,81.8%,5.0%,1.3%,49%,6.30,0.33,3.64,6.0,4.0,10.0,2.0,10.0,4.0,9.0,6.0,10.0,8.0,1.0,0.0,8.9,7.1,1.2,0.6,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,3232,3232,30,8,419,273,77,5.0,2.1,50.7,282,1468,72,4,3,10,2.76,9,3743,3856,40,6,493,348,81,3.20,2.00,45,373,2143,62,6,6,19,3.48,13,3229,3535,27,3,435,298,79,5.0,1.3,42.9,379,1336,60,6,4,20,3.58,15,4133,4133,37,10,481,353,82,5.00,1.30,49.30,305,1224,64,4.80,4,10,3.64,12,
89,7,2016,Cardale Jones,Outlier,4.57,57.00,-0.20,Ohio State,2,9/29/92,33.02,JR,23.59,Game Manager,77,264,4.81,4,0.00%,0.00%,0.11%,23.06%,59.05%,59.05%,59.05%,8.62%,8.44%,8.53%,8.53%,22.93,98.64,61.9%,13.29,72.7%,3.3%,0.8%,54%,5.30,0.32,3.51,0.0,7.0,2.0,0.0,10.0,7.0,3.0,4.0,10.0,8.0,3.0,0.0,7.2,5.4,0.9,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,3,2846,0,0,2,1,0,0.00,0.00,0,0,1,0,0,0,0,0.00,0,855,3707,7,2,92,56,71,3.1,0.8,54.2,367,4257,56,5,1,8,3.51,17,1449,2454,8,5,176,109,73,3.30,6.60,46.90,283,3355,41,5.30,2,13,3.34,11,
90,4,2015,Brett Hundley,Outlier,4.57,56.50,-0.20,UCLA,5,6/15/93,32.31,JR,21.88,Dual Threat,75,226,4.63,5,0.00%,0.00%,96.89%,93.94%,93.54%,95.21%,80.93%,0.00%,28.04%,28.04%,23.84%,19.22,98.36,68.2%,11.63,78.1%,4.1%,3.1%,40%,6.30,0.14,2.35,7.0,4.0,8.0,0.0,6.0,0.0,9.0,6.0,2.0,4.0,1.0,0.0,5.7,5.7,0.8,0.8,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,3740,3860,29,11,478,318,0,0.00,0.00,0,0,1,0,0,0,0,0.00,0,3071,3269,24,9,371,248,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,3141,3358,22,5,396,270,78,4.10,3.10,40.40,820,2924,76,6.30,10,11,2.35,30,
91,7,2020,Jake Fromm,Outlier,4.55,56.00,-0.21,Georgia,1,7/30/98,27.18,JR,21.76,Pocket Passer,74,219,4.9,5,0.00%,0.00%,97.44%,86.86%,91.45%,94.44%,94.44%,1.84%,3.10%,3.10%,3.10%,19.10,75.98,67.3%,12.20,75.7%,6.0%,1.6%,58%,2.10,0.00,1.20,7.0,4.0,5.0,4.0,10.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,8.6,6.5,0.0,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,2585,2653,24,7,295,182,73,4.20,3.80,58,195,4052,36,4,3,5,2.31,10,2749,3165,30,6,306,206,76,6.0,2.3,39.2,63,3433,21,2,0,0,0.94,1,2855,3122,24,5,386,234,68,5.80,1.60,36.00,85,2743,25,2.10,0,0,1.20,2,
92,11,2021,Kellen Mond,Outlier Lite,4.49,55.50,-0.23,Texas A&M,1,6/22/99,26.28,SR,21.86,Run First,76,225,4.71,3,0.00%,41.79%,94.79%,94.67%,97.48%,97.48%,97.48%,30.14%,15.93%,23.04%,23.04%,19.21,91.44,63.1%,12.97,71.6%,6.1%,2.4%,44%,6.60,0.05,3.57,7.0,6.0,1.0,4.0,9.0,1.0,8.0,7.0,0.0,8.0,3.0,0.0,6.1,6.1,0.9,0.4,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,1365,3266,8,6,226,116,65,4.6,4.0,27.3,471,2272,59,6,3,11,2.99,16,3113,3284,24,9,425,240,66,6.10,3.80,37,657,3062,98,5,7,12,2.89,21,2897,3060,20,9,421,258,72,2.9,2.8,35.9,690,2289,75,7,8,4,3.57,24,2282,2341,19,3,298,188,71,3.90,2.40,43.80,334,2097,59,4.50,4,3,1.33,15,
93,8,2016,Connor Cook,Outlier Lite,4.44,55.00,-0.24,Michigan State,2,1/29/93,32.68,RS SR,23.26,Pocket Passer,76,217,4.79,4,0.00%,3.44%,92.95%,93.08%,95.46%,95.46%,95.46%,3.99%,6.47%,6.47%,6.47%,20.60,82.44,57.8%,13.67,66.5%,7.6%,4.1%,59%,3.10,0.02,1.17,3.0,8.0,0.0,7.0,2.0,9.0,2.0,0.0,0.0,0.0,3.0,0.0,7.4,5.5,0.1,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,94,2729,1,1,17,9,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,2755,2964,22,6,380,223,0,0.00,0.00,0,0,1,0,0,0,0,0.00,0,3214,3453,24,8,367,212,65,6.7,4.9,49.0,124,3108,41,2,2,1,1.04,3,3130,3279,24,7,412,229,67,7.60,4.10,59.40,148,2286,35,3.10,0,0,1.17,5,
94,6,2019,Trace McSorley,Outlier Lite,4.44,54.50,-0.24,Penn State,2,8/23/95,30.12,SR,23.69,Run First,72,202,4.57,6,0.00%,6.64%,99.04%,94.62%,88.29%,93.67%,93.67%,25.74%,32.03%,32.03%,32.03%,21.04,92.62,66.0%,13.11,75.6%,6.6%,1.8%,53%,6.10,0.10,2.60,2.0,7.0,5.0,5.0,10.0,6.0,10.0,6.0,1.0,5.0,1.0,0.0,9.5,9.5,0.8,0.4,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,185,2788,2,0,41,20,63,7.3,2.3,50.0,43,1998,11,3,0,0,1.64,1,3615,3650,29,8,391,224,69,6.60,3.30,48,515,2622,85,4,7,13,2.02,21,3569,3772,28,10,429,283,76,4.3,1.8,52.5,608,2362,101,5,11,10,1.95,18,2504,2836,18,7,360,191,69,6.30,2.40,42.40,928,2897,108,6.10,12,11,2.60,32,
95,9,2024,Michael Pratt,Outlier Lite,4.43,54.10,-0.24,Tulane,8,9/30/01,24.01,SR,22.59,Game Manager,75,220,4.58,7,0.00%,85.19%,89.25%,90.58%,79.90%,85.24%,55.41%,19.65%,14.96%,17.31%,11.25%,18.93,100.00,65.4%,13.00,77.3%,6.5%,1.7%,50%,5.32,0.17,3.55,8.0,7.0,7.0,5.0,10.0,5.0,4.0,4.0,3.0,8.0,1.0,0.0,10.0,7.5,0.7,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,1806,2120,20,8,254,140,72,5.2,3.2,46.2,439,2834,90,5,8,11,2.72,14,2375,2661,21,8,332,190,70,3.70,5.00,50,318,2182,77,4,5,12,2.56,9,3000,3312,27,5,340,215,77,3.7,1.7,45.5,596,3033,112,5,10,19,3.55,20,2405,3010,22,5,283,185,74,6.50,3.90,47.20,348,2326,96,3.63,5,10,2.07,14,
96,16,2026,Beau Pribula,Outlier Lite,4.34,53.60,-0.27,Missouri,1,10/5/03,21.99,JR,22.58,Mobile Passer,74,212,4.7,0,0.00%,0.00%,5.34%,7.54%,93.85%,93.85%,93.85%,7.56%,15.15%,15.15%,15.15%,21.92,86.89,74.3%,11.45,77.3%,4.2%,2.1%,75%,6.70,0.24,2.61,1.0,3.0,7.0,0.0,9.0,10.0,6.0,7.0,7.0,5.0,0.0,0.0,8.0,8.0,0.9,0.7,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,149,2791,4,0,21,11,70,4.30,0.00,50,338,2527,55,6,6,14,3.15,11,275,3646,5,1,35,26,82,7.9,0.0,75.0,256,3388,38,7,4,9,2.61,8,962,1025,8,2,116,84,77,4.20,2.10,54.50,187,1234,28,6.68,3,3,1.54,9,
97,5,2015,Sean Mannion,Outlier Lite,4.31,53.10,-0.28,Oregon State,5,4/25/93,32.45,SR,22.02,Pocket Passer,76,230,5.14,3,0.00%,96.72%,61.27%,96.24%,96.07%,96.39%,81.93%,0.00%,0.58%,0.58%,0.49%,18.36,65.90,66.3%,11.22,71.4%,5.6%,3.0%,45%,0.40,0.00,0.09,10.0,3.0,1.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,4.5,3.4,0.0,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,3328,3441,16,18,473,305,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,2446,3992,15,13,309,200,0,0.00,0.00,0,0,1,0,0,0,0,0.00,0,4662,4844,37,15,603,400,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,3175,3305,15,8,457,283,71,5.60,3.00,45.30,10,1728,16,0.40,1,0,0.09,0,
98,7,2018,Alex McGough,Outlier Lite,4.30,52.60,-0.28,FIU,10,11/19/95,29.88,SR,22.45,Mobile Passer,74,220,4.74,7,0.00%,82.09%,94.92%,69.52%,92.41%,93.67%,56.20%,9.86%,17.80%,17.80%,10.68%,18.79,87.16,65.4%,12.07,76.5%,5.0%,3.2%,50%,6.40,0.19,2.09,9.0,4.0,6.0,2.0,6.0,5.0,4.0,6.0,4.0,3.0,1.0,0.0,6.7,6.7,0.6,0.5,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,1655,2016,13,10,276,138,65,1.4,6.5,26.8,292,1887,46,4,4,3,1.92,8,2709,2854,21,8,420,268,77,3.40,4.70,50,256,1476,39,4,3,3,1.89,9,1891,2720,13,11,286,167,70,4.3,4.8,40.0,195,1977,18,6,4,2,2.09,6,2801,3031,17,8,355,232,74,5.00,3.20,39.60,407,2286,43,6.40,5,8,1.44,14,
99,6,2015,Garrett Grayson,Outlier Lite,4.30,52.10,-0.28,Colorado State,7,5/29/91,34.36,SR,23.93,Pocket Passer,74,220,4.8,3,0.00%,24.47%,37.51%,99.09%,95.79%,97.44%,73.08%,0.00%,5.55%,5.55%,4.16%,22.27,82.89,64.5%,14.67,75.4%,5.9%,3.6%,53%,3.20,0.07,0.36,0.0,10.0,5.0,3.0,4.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,8.5,6.4,0.0,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,542,2215,7,3,138,78,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,946,2522,7,3,138,78,0,0.00,0.00,0,0,1,0,0,0,0,0.00,0,3696,3730,23,11,478,297,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,4005,4181,32,7,423,273,75,5.90,3.60,52.80,125,2253,14,3.20,0,1,0.36,4,
100,8,2025,Cam Miller,Outlier Lite,4.27,51.60,-0.29,North Dakota State,11,6/18/01,24.29,RS SR,23.87,Dual Threat,73,212,4.62,6,28.98%,63.81%,97.49%,90.49%,90.55%,94.02%,51.71%,19.41%,22.82%,22.82%,12.55%,20.22,93.07,72.9%,12.59,78.4%,8.9%,1.3%,61%,5.70,0.11,2.16,4.0,5.0,8.0,9.0,10.0,10.0,5.0,5.0,1.0,3.0,1.0,0.0,12.0,9.0,0.5,0.5,355,1225,2,3,59,30,64,6.2,3.6,25.0,192,2231,53,4,4,4,1.8,4,1444,2263,14,3,152,103,74,5.0,2.1,40.5,303,4310,66,4,4,2,2.02,9,1978,2029,13,5,243,160,73,5.10,4.60,46,637,4076,122,5,15,9,1.72,19,2750,3039,19,4,294,210,78,8.9,1.3,60.9,723,3725,126,6,13,11,2.16,27,3247,3586,33,4,354,258,78,5.50,2.30,51.70,734,3216,128,5.70,12,14,2.00,22,
101,17,2026,Darian Mensah,Outlier Lite,4.26,51.20,-0.29,Duke,4,1/25/05,20.68,RS SO,21.27,Pocket Passer,75,205,4.7,0,0.00%,0.00%,0.00%,92.87%,97.92%,95.39%,85.86%,8.66%,1.97%,5.31%,4.78%,19.61,84.02,67.2%,12.95,78.6%,7.1%,2.9%,52%,5.00,0.14,1.66,6.0,6.0,8.0,6.0,7.0,6.0,1.0,4.0,2.0,1.0,0.0,0.0,9.8,7.3,0.3,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,0,1,0,0,0,0,0,0.00,0.00,0,0,1,0,0,0,0,0.00,0,2722,2931,22,6,287,189,66,5.6,4.5,49.1,250,2888,50,5,1,7,1.66,10,1036,1058,8,2,119,80,79,7.10,2.90,52.20,8,407,7,1.14,0,0,0.43,0,
102,9,2023,Stetson Bennett,Outlier Lite,4.22,50.70,-0.31,Georgia,1,10/28/97,27.93,RS SR,25.51,Distributor,71,192,4.67,4,0.00%,8.33%,46.98%,75.73%,93.11%,93.11%,93.11%,11.61%,8.06%,9.84%,9.84%,23.86,80.74,68.1%,13.37,76.7%,5.9%,2.4%,56%,7.50,0.19,3.07,0.0,7.0,6.0,3.0,9.0,8.0,4.0,9.0,4.0,7.0,3.0,0.0,9.5,7.6,0.9,0.5,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,260,3122,2,1,27,20,85,6.9,6.5,75.0,6,2743,6,1,1,1,1.75,1,1174,2499,8,6,158,86,64,6.00,3.90,30,101,1939,16,4,2,1,1.91,3,2861,3778,29,7,288,184,77,5.5,3.5,56.1,347,2989,27,8,1,5,3.07,14,4132,4438,27,7,454,309,76,5.90,2.40,50.00,254,3151,47,4.30,10,2,0.69,9,
103,10,2023,Dorian Thompson-Robinson,Outlier Lite,4.15,50.20,-0.33,UCLA,5,11/14/99,25.89,RS SR,23.47,Dual Threat,74,203,4.56,5,45.85%,88.06%,71.80%,88.06%,91.22%,91.22%,77.54%,25.46%,23.00%,24.23%,20.59%,19.81,93.90,69.3%,11.88,77.4%,4.9%,2.6%,36%,6.60,0.18,2.58,5.0,4.0,7.0,1.0,8.0,0.0,8.0,7.0,4.0,5.0,1.0,0.0,6.2,6.2,0.9,0.9,1308,2853,7,4,195,113,69,3.0,4.6,47.2,206,2110,19,6,0,1,3.0,9,2700,3066,21,12,365,216,69,2.6,5.0,33.3,505,2143,42,6,4,9,2.87,19,1128,1571,12,4,140,91,72,3.40,5.60,36,361,1721,31,7,3,4,3.78,13,2390,2714,21,6,284,175,71,4.9,2.6,36.0,706,2773,62,6,9,11,2.45,28,3159,3463,27,10,384,266,77,2.80,4.10,35.00,741,3222,67,6.60,12,12,2.58,25,
104,7,2019,Jarrett Stidham,Outlier Lite,4.14,49.70,-0.33,Auburn,1,8/8/96,29.16,RS JR,22.73,Pocket Passer,74,218,4.81,4,0.00%,33.63%,0.00%,96.60%,96.65%,96.65%,96.65%,10.99%,6.95%,8.97%,8.97%,21.08,81.45,66.3%,12.48,75.3%,5.2%,3.0%,42%,5.00,0.18,2.35,2.0,4.0,5.0,2.0,7.0,0.0,3.0,4.0,4.0,4.0,3.0,0.0,5.5,4.1,0.6,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,1266,3764,12,2,109,75,81,12.3,1.4,57.1,99,4323,18,3,2,1,2.15,3,0,1,0,0,0,0,0,0.00,0.00,0,0,1,0,0,0,0,0.00,0,3156,3267,18,6,371,246,75,5.2,3.0,41.9,361,3284,33,5,4,6,2.35,15,2795,2892,18,5,372,224,74,4.40,3.70,37.70,163,2347,30,3.10,3,0,1.91,4,
105,9,2025,Graham Mertz,Outlier Lite,4.13,49.20,-0.33,Florida,1,12/6/00,24.82,RS SR,24.41,Pocket Passer,74,216,5.03,6,97.71%,94.04%,88.91%,93.54%,70.09%,83.90%,83.90%,4.56%,8.81%,8.81%,8.81%,19.75,67.49,76.6%,10.99,82.4%,6.6%,1.4%,47%,3.90,0.08,2.18,6.0,2.0,10.0,5.0,10.0,4.0,3.0,1.0,0.0,3.0,1.0,0.0,9.1,6.8,0.3,0.0,1238,1267,9,5,194,118,71,4.5,2.2,38.9,109,1227,27,4,2,0,1.0,3,1958,2082,10,11,286,169,70,4.3,5.2,34.1,70,2872,33,2,4,0,0.82,3,2125,2390,19,10,287,164,67,6.60,3.20,47,94,2507,30,3,2,2,1.47,4,2910,3111,20,3,362,261,80,3.9,1.4,41.0,94,2062,40,2,4,3,2.18,4,791,1129,6,2,94,72,82,4.00,4.30,36.40,71,806,18,3.90,1,1,1.61,3,
